dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.000000,19.000000,0.000077,0.007739,0.386951,19.347556,3.141593
0.020000,52.000000,19.000000,0.000387,0.023217,0.773902,19.347556,3.141593
0.020000,52.000000,19.000000,0.001083,0.046434,1.160853,19.347556,3.141593
0.020000,52.000000,19.000000,0.002322,0.077390,1.547804,19.347556,3.141593
0.020000,52.000000,19.000000,0.004256,0.116085,1.934756,19.347556,3.141593
0.020000,51.997957,19.000000,0.007043,0.162519,2.321707,19.347556,3.141593
0.020000,51.994165,19.000000,0.010835,0.216693,2.708658,19.347556,3.141593
0.020000,51.989212,19.000000,0.015788,0.278605,3.095609,19.347556,3.141593
0.020000,51.982944,19.000000,0.022056,0.348256,3.482560,19.347556,3.141593
0.020000,51.975205,19.000000,0.029795,0.425646,3.869511,19.347556,3.141593
0.020000,51.965841,19.000000,0.039159,0.510775,4.256462,19.347556,3.141593
0.020000,51.954696,19.000000,0.050304,0.603644,4.643413,19.347556,3.141593
0.020000,51.941617,19.000000,0.063383,0.704251,5.030364,19.347556,3.141593
0.020000,51.926449,19.000000,0.078551,0.812597,5.417316,19.347556,3.141593
0.020000,51.909036,19.000000,0.095964,0.928683,5.804267,19.347556,3.141593
0.020000,51.889224,19.000000,0.115776,1.052507,6.191218,19.347556,3.141593
0.020000,51.866936,19.000000,0.138064,1.176331,6.191218,0.000000,3.141593
0.020000,51.842171,19.000000,0.162829,1.300156,6.191218,0.000000,3.141593
0.020000,51.814930,19.000000,0.190070,1.423980,6.191218,-0.000000,3.141593
0.020000,51.785212,19.000000,0.219788,1.547804,6.191218,0.000000,3.141593
0.020000,51.753017,19.000000,0.251983,1.671629,6.191218,0.000000,3.141593
0.020000,51.718347,19.000000,0.286653,1.795453,6.191218,0.000000,3.141593
0.020000,51.681199,19.000000,0.323801,1.919278,6.191218,-0.000000,3.141593
0.020000,51.641576,19.000000,0.363424,2.043102,6.191218,0.000000,3.141593
0.020000,51.599475,19.000000,0.405525,2.166926,6.191218,-0.000000,3.141593
0.020000,51.554898,19.000000,0.450102,2.290751,6.191218,0.000000,3.141593
0.020000,51.507845,19.000000,0.497155,2.414575,6.191218,0.000000,3.141593
0.020000,51.458315,19.000000,0.546685,2.538399,6.191218,-0.000000,3.141593
0.020000,51.406309,19.000000,0.598691,2.662224,6.191218,0.000000,3.141593
0.020000,51.351827,19.000000,0.653173,2.786048,6.191218,0.000000,3.141593
0.020000,51.294867,19.000000,0.710133,2.909872,6.191218,0.000000,3.141593
0.020000,51.235432,19.000000,0.769568,3.033697,6.191218,-0.000000,3.141593
0.020000,51.173519,19.000000,0.831481,3.157521,6.191218,0.000000,3.141593
0.020000,51.109131,19.000000,0.895869,3.281345,6.191218,0.000000,3.141593
0.020000,51.042266,19.000000,0.962734,3.405170,6.191218,0.000000,3.141593
0.020000,50.972924,19.000000,1.032076,3.528994,6.191218,-0.000000,3.141593
0.020000,50.901106,19.000000,1.103894,3.652818,6.191218,0.000000,3.141593
0.020000,50.826811,19.000000,1.178189,3.776643,6.191218,0.000000,3.141593
0.020000,50.750118,19.000000,1.254882,3.892728,5.804267,-19.347556,3.141593
0.020000,50.671180,19.000000,1.333820,4.001074,5.417316,-19.347556,3.141593
0.020000,50.590152,19.000000,1.414848,4.101682,5.030364,-19.347556,3.141593
0.020000,50.507190,19.000000,1.497810,4.194550,4.643413,-19.347556,3.141593
0.020000,50.422447,19.000000,1.582553,4.279679,4.256462,-19.347556,3.141593
0.020000,50.336080,19.000000,1.668920,4.357070,3.869511,-19.347556,3.141593
0.020000,50.248242,19.000000,1.756758,4.426721,3.482560,-19.347556,3.141593
0.020000,50.159088,19.000000,1.845912,4.488633,3.095609,-19.347556,3.141593
0.020000,50.068774,19.000000,1.936226,4.542806,2.708658,-19.347556,3.141593
0.020000,49.977454,19.000000,2.027546,4.589240,2.321707,-19.347556,3.141593
0.020000,49.885282,19.000000,2.119718,4.627935,1.934756,-19.347556,3.141593
0.020000,49.792414,19.000000,2.212586,4.658891,1.547804,-19.347556,3.141593
0.020000,49.699004,19.000000,2.305996,4.682108,1.160853,-19.347556,3.141593
0.020000,49.605207,19.000000,2.399793,4.697586,0.773902,-19.347556,3.141593
0.020000,49.511177,19.000000,2.493823,4.705326,0.386951,-19.347556,3.141593
0.020000,49.417134,19.000000,2.587866,4.699014,-0.315590,-35.127067,3.141593
0.020000,49.323294,19.000000,2.681706,4.684963,-0.702541,-19.347556,3.141593
0.020000,49.229813,19.000000,2.775187,4.663173,-1.089492,-19.347556,3.141593
0.020000,49.136845,19.000000,2.868155,4.633644,-1.476444,-19.347556,3.141593
0.020000,49.044545,19.000000,2.960455,4.596376,-1.863395,-19.347556,3.141593
0.020000,48.953067,19.000000,3.051933,4.551369,-2.250346,-19.347556,3.141593
0.020000,48.862567,19.000000,3.142433,4.498623,-2.637297,-19.347556,3.141593
0.020000,48.773200,19.000000,3.231800,4.438138,-3.024248,-19.347556,3.141593
0.020000,48.685119,19.000000,3.319881,4.369914,-3.411199,-19.347556,3.141593
0.020000,48.598480,19.000000,3.406520,4.293951,-3.798150,-19.347556,3.141593
0.020000,48.513438,19.000000,3.491562,4.210249,-4.185101,-19.347556,3.141593
0.020000,48.430148,19.000000,3.574852,4.118808,-4.572052,-19.347556,3.141593
0.020000,48.348763,19.000000,3.656237,4.019628,-4.959004,-19.347556,3.141593
0.020000,48.269440,19.000000,3.735560,3.912709,-5.345955,-19.347556,3.141593
0.020000,48.192332,19.000000,3.812668,3.798051,-5.732906,-19.347556,3.141593
0.020000,48.117595,19.000000,3.887405,3.675654,-6.119857,-19.347556,3.141593
0.020000,48.045321,19.000000,3.959679,3.551830,-6.191218,-3.568044,3.141593
0.020000,47.975522,19.000000,4.029478,3.428005,-6.191218,-0.000000,3.141593
0.020000,47.908200,19.000000,4.096800,3.304181,-6.191218,0.000000,3.141593
0.020000,47.843355,19.000000,4.161645,3.180357,-6.191218,0.000000,3.141593
0.020000,47.780986,19.000000,4.224014,3.056532,-6.191218,0.000000,3.141593
0.020000,47.721094,19.000000,4.283906,2.932708,-6.191218,0.000000,3.141593
0.020000,47.663678,19.000000,4.341322,2.808883,-6.191218,-0.000000,3.141593
0.020000,47.608738,19.000000,4.396262,2.685059,-6.191218,0.000000,3.141593
0.020000,47.556275,19.000000,4.448725,2.561235,-6.191218,0.000000,3.141593
0.020000,47.506289,19.000000,4.498711,2.437410,-6.191218,0.000000,3.141593
0.020000,47.458779,19.000000,4.546221,2.313586,-6.191218,-0.000000,3.141593
0.020000,47.413746,19.000000,4.591254,2.189762,-6.191218,0.000000,3.141593
0.020000,47.371189,19.000000,4.633811,2.065937,-6.191218,0.000000,3.141593
0.020000,47.331108,19.000000,4.673892,1.942113,-6.191218,-0.000000,3.141593
0.020000,47.293504,19.000000,4.711496,1.818289,-6.191218,0.000000,3.141593
0.020000,47.258376,19.000000,4.746624,1.694464,-6.191218,0.000000,3.141593
0.020000,47.225725,19.000000,4.779275,1.570640,-6.191218,0.000000,3.141593
0.020000,47.195551,19.000000,4.809449,1.446816,-6.191218,-0.000000,3.141593
0.020000,47.167853,19.000000,4.837147,1.322991,-6.191218,0.000000,3.141593
0.020000,47.142631,19.000000,4.862369,1.199167,-6.191218,-0.000000,3.141593
0.020000,47.119886,19.000000,4.885114,1.075343,-6.191218,0.000000,3.141593
0.020000,47.099618,19.000000,4.905382,0.951518,-6.191218,0.000000,3.141593
0.020000,47.081762,19.000000,4.923238,0.834006,-5.875628,15.779511,3.141593
0.020000,47.066180,19.000000,4.938820,0.724232,-5.488676,19.347556,3.141593
0.020000,47.052716,19.000000,4.952284,0.622198,-5.101725,19.347556,3.141593
0.020000,47.041215,19.000000,4.963785,0.527902,-4.714774,19.347556,3.141593
0.020000,47.031522,19.000000,4.973478,0.441346,-4.327823,19.347556,3.141593
0.020000,47.023483,19.000000,4.981517,0.362528,-3.940872,19.347556,3.141593
0.020000,47.016944,19.000000,4.988056,0.291450,-3.553921,19.347556,3.141593
0.020000,47.011748,19.000000,4.993252,0.228110,-3.166970,19.347556,3.141593
0.020000,47.007742,19.000000,4.997258,0.172510,-2.780019,19.347556,3.141593
0.020000,47.004770,19.000000,5.000230,0.124649,-2.393068,19.347556,3.141593
0.020000,47.002679,19.000000,5.002321,0.084526,-2.006116,19.347556,3.141593
0.020000,47.001312,19.000000,5.003688,0.052143,-1.619165,19.347556,3.141593
0.020000,47.000515,19.000000,5.004485,0.027499,-1.232214,19.347556,3.141593
0.020000,47.000134,19.000000,5.004866,0.010593,-0.845263,19.347556,3.141593
0.020000,47.000014,19.000000,5.004986,0.001427,-0.458312,19.347556,3.141593
0.020000,47.000000,19.000000,5.005000,0.000000,-0.071361,19.347556,3.141593
0.020000,47.000000,19.000000,5.005000,0.000000,0.000000,3.568044,3.141593
