dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.865761,6.270239,0.000008,0.000799,0.039949,1.997447,6.278313
0.020000,4.865761,6.270239,0.000040,0.002397,0.079898,1.997447,6.278317
0.020000,4.865761,6.270239,0.000112,0.004794,0.119847,1.997447,6.278325
0.020000,4.865761,6.270239,0.000240,0.007990,0.159796,1.997447,6.278339
0.020000,4.865761,6.270239,0.000439,0.011985,0.199745,1.997447,6.278360
0.020000,4.865761,6.270239,0.000727,0.016779,0.239694,1.997447,6.278392
0.020000,4.865761,6.270239,0.001119,0.022371,0.279643,1.997447,6.278435
0.020000,4.865996,6.270238,0.001630,0.028763,0.319592,1.997447,6.278491
0.020000,4.866643,6.270235,0.002277,0.035954,0.359541,1.997447,6.278562
0.020000,4.867442,6.270231,0.003076,0.043944,0.399489,1.997447,6.278649
0.020000,4.868409,6.270227,0.004043,0.052733,0.439438,1.997447,6.278755
0.020000,4.869559,6.270222,0.005193,0.062320,0.479387,1.997447,6.278880
0.020000,4.870909,6.270216,0.006544,0.072707,0.519336,1.997447,6.279028
0.020000,4.872475,6.270209,0.008110,0.083893,0.559285,1.997447,6.279199
0.020000,4.874273,6.270202,0.009907,0.095877,0.599234,1.997447,6.279395
0.020000,4.876318,6.270195,0.011953,0.108661,0.639183,1.997447,6.279617
0.020000,4.878627,6.270187,0.014262,0.122244,0.679132,1.997447,6.279869
0.020000,4.881216,6.270179,0.016850,0.136625,0.719081,1.997447,6.280150
0.020000,4.884100,6.270170,0.019735,0.151806,0.759030,1.997447,6.280463
0.020000,4.887296,6.270162,0.022931,0.167786,0.798979,1.997447,6.280809
0.020000,4.890820,6.270155,0.026454,0.184564,0.838928,1.997447,6.281191
0.020000,4.894687,6.270148,0.030321,0.202142,0.878877,1.997447,6.281608
0.020000,4.898914,6.270142,0.034548,0.220518,0.918826,1.997447,6.282064
0.020000,4.903516,6.270138,0.039150,0.239694,0.958775,1.997447,6.282559
0.020000,4.908509,6.270136,0.044144,0.259668,0.998724,1.997447,6.283095
0.020000,4.913902,6.270137,0.049537,0.279643,0.998724,-0.000000,0.000487
0.020000,4.919695,6.270142,0.055329,0.299617,0.998724,0.000000,0.001105
0.020000,4.925887,6.270151,0.061521,0.319592,0.998724,0.000000,0.001764
0.020000,4.932479,6.270165,0.068113,0.339566,0.998724,0.000000,0.002463
0.020000,4.939470,6.270184,0.075104,0.359541,0.998724,-0.000000,0.003202
0.020000,4.946860,6.270211,0.082495,0.379515,0.998724,0.000000,0.003981
0.020000,4.954650,6.270245,0.090285,0.399489,0.998724,0.000000,0.004798
0.020000,4.962840,6.270288,0.098474,0.419464,0.998724,-0.000000,0.005654
0.020000,4.971428,6.270340,0.107063,0.439438,0.998724,0.000000,0.006548
0.020000,4.980417,6.270403,0.116052,0.459413,0.998724,0.000000,0.007479
0.020000,4.989804,6.270478,0.125440,0.479387,0.998724,-0.000000,0.008447
0.020000,4.999591,6.270566,0.135227,0.499362,0.998724,0.000000,0.009451
0.020000,5.009778,6.270667,0.145414,0.519336,0.998724,0.000000,0.010491
0.020000,5.020364,6.270784,0.156001,0.539311,0.998724,-0.000000,0.011565
0.020000,5.031349,6.270917,0.166987,0.559285,0.998724,0.000000,0.012674
0.020000,5.042733,6.271068,0.178372,0.579260,0.998724,-0.000000,0.013816
0.020000,5.054517,6.271238,0.190157,0.599234,0.998724,0.000000,0.014991
0.020000,5.066700,6.271428,0.202341,0.619209,0.998724,0.000000,0.016198
0.020000,5.079282,6.271639,0.214925,0.639183,0.998724,-0.000000,0.017436
0.020000,5.092263,6.271874,0.227909,0.659158,0.998724,0.000000,0.018704
0.020000,5.105644,6.272133,0.241292,0.679132,0.998724,0.000000,0.020002
0.020000,5.119423,6.272418,0.255074,0.699107,0.998724,-0.000000,0.021329
0.020000,5.133602,6.272730,0.269256,0.719081,0.998724,0.000000,0.022683
0.020000,5.148179,6.273071,0.283837,0.739055,0.998724,0.000000,0.024064
0.020000,5.163155,6.273442,0.298818,0.759030,0.998724,-0.000000,0.025471
0.020000,5.178530,6.273845,0.314198,0.779004,0.998724,0.000000,0.026903
0.020000,5.194304,6.274280,0.329978,0.798979,0.998724,-0.000000,0.028359
0.020000,5.210477,6.274751,0.346158,0.818953,0.998724,0.000000,0.029837
0.020000,5.227048,6.275258,0.362736,0.838928,0.998724,0.000000,0.031337
0.020000,5.244017,6.275803,0.379715,0.858902,0.998724,0.000000,0.032858
0.020000,5.261385,6.276387,0.397093,0.878877,0.998724,0.000000,0.034398
0.020000,5.279152,6.277013,0.414870,0.898851,0.998724,-0.000000,0.035957
0.020000,5.297316,6.277680,0.433047,0.918826,0.998724,0.000000,0.037533
0.020000,5.315879,6.278392,0.451623,0.938800,0.998724,-0.000000,0.039124
0.020000,5.334839,6.279150,0.470599,0.958775,0.998724,0.000000,0.040731
0.020000,5.354198,6.279955,0.489974,0.978749,0.998724,-0.000000,0.042351
0.020000,5.373954,6.280808,0.509749,0.998724,0.998724,0.000000,0.043983
0.020000,5.394108,6.281712,0.529923,1.018698,0.998724,0.000000,0.045626
0.020000,5.414660,6.282667,0.550496,1.038673,0.998724,0.000000,0.047278
0.020000,5.435609,6.283676,0.571470,1.058647,0.998724,-0.000000,0.048939
0.020000,5.456955,6.284739,0.592842,1.078622,0.998724,-0.000000,0.050606
