dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.865761,6.270239,0.000008,0.000799,0.039949,1.997447,6.278313
0.020000,4.865761,6.270239,0.000008,0.000000,-0.039949,-3.994895,6.278317
0.020000,4.865761,6.270239,0.000008,0.000000,0.000000,1.997447,6.278325
0.020000,4.865761,6.270239,0.000008,0.000000,0.000000,0.000000,6.278339
0.020000,4.865761,6.270239,0.000008,0.000000,0.000000,0.000000,6.278360
0.020000,4.865761,6.270239,0.000008,0.000000,0.000000,0.000000,6.278392
0.020000,4.865761,6.270239,0.000008,0.000000,0.000000,0.000000,6.278435
0.020000,4.865996,6.270238,0.000243,0.011732,0.586595,29.329774,6.278491
0.020000,4.866643,6.270235,0.000890,0.032359,1.031338,22.237139,6.278562
0.020000,4.867442,6.270231,0.001689,0.039949,0.379512,-32.591291,6.278649
0.020000,4.868409,6.270227,0.002656,0.048338,0.419464,1.997574,6.278755
0.020000,4.869559,6.270222,0.003806,0.057527,0.459416,1.997587,6.278880
0.020000,4.870909,6.270216,0.005156,0.067514,0.499360,1.997234,6.279028
0.020000,4.872475,6.270209,0.006722,0.078300,0.539310,1.997464,6.279199
0.020000,4.874273,6.270202,0.008520,0.089885,0.579260,1.997505,6.279395
0.020000,4.876318,6.270195,0.010565,0.102269,0.619212,1.997613,6.279617
0.020000,4.878627,6.270187,0.012874,0.115452,0.659154,1.997107,6.279869
0.020000,4.881216,6.270179,0.015463,0.129435,0.699106,1.997601,6.280150
0.020000,4.884100,6.270170,0.018347,0.144216,0.739058,1.997584,6.280463
0.020000,4.887296,6.270162,0.021543,0.159796,0.779005,1.997382,6.280809
0.020000,4.890820,6.270155,0.025067,0.176175,0.818948,1.997151,6.281191
0.020000,4.894687,6.270148,0.028934,0.193353,0.858908,1.997963,6.281608
0.020000,4.898914,6.270142,0.033161,0.211330,0.898849,1.997049,6.282064
0.020000,4.903516,6.270138,0.037763,0.230106,0.938799,1.997497,6.282559
0.020000,4.908509,6.270136,0.042756,0.249681,0.978753,1.997734,6.283095
0.020000,4.913902,6.270137,0.048149,0.269655,0.998721,0.998404,0.000487
0.020000,4.919695,6.270142,0.053942,0.289630,0.998723,0.000077,0.001105
0.020000,4.925887,6.270151,0.060134,0.309604,0.998722,-0.000041,0.001764
0.020000,4.932479,6.270165,0.066726,0.329579,0.998726,0.000199,0.002463
0.020000,4.939470,6.270184,0.073717,0.349553,0.998723,-0.000169,0.003202
0.020000,4.946860,6.270211,0.081107,0.369528,0.998723,0.000036,0.003981
0.020000,4.954650,6.270245,0.088897,0.389502,0.998725,0.000066,0.004798
0.020000,4.962840,6.270288,0.097087,0.409477,0.998723,-0.000088,0.005654
0.020000,4.971428,6.270340,0.105676,0.429451,0.998722,-0.000033,0.006548
0.020000,4.980417,6.270403,0.114664,0.449426,0.998724,0.000080,0.007479
0.020000,4.989804,6.270478,0.124052,0.469400,0.998723,-0.000064,0.008447
0.020000,4.999591,6.270566,0.133840,0.489375,0.998724,0.000092,0.009451
0.020000,5.009778,6.270667,0.144027,0.509349,0.998725,0.000041,0.010491
0.020000,5.020364,6.270784,0.154613,0.529323,0.998721,-0.000210,0.011565
0.020000,5.031349,6.270917,0.165599,0.549298,0.998725,0.000191,0.012674
0.020000,5.042733,6.271068,0.176985,0.569272,0.998722,-0.000162,0.013816
0.020000,5.054517,6.271238,0.188770,0.589247,0.998726,0.000209,0.014991
0.020000,5.066700,6.271428,0.200954,0.609221,0.998721,-0.000254,0.016198
0.020000,5.079282,6.271639,0.213538,0.629196,0.998725,0.000209,0.017436
0.020000,5.092263,6.271874,0.226521,0.649170,0.998724,-0.000029,0.018704
0.020000,5.105644,6.272133,0.239904,0.669145,0.998721,-0.000188,0.020002
0.020000,5.119423,6.272418,0.253687,0.689119,0.998725,0.000234,0.021329
0.020000,5.133602,6.272730,0.267869,0.709094,0.998724,-0.000089,0.022683
0.020000,5.148179,6.273071,0.282450,0.729068,0.998724,0.000033,0.024064
0.020000,5.163155,6.273442,0.297431,0.749043,0.998722,-0.000099,0.025471
0.020000,5.178530,6.273845,0.312811,0.769017,0.998724,0.000074,0.026903
0.020000,5.194304,6.274280,0.328591,0.788992,0.998723,-0.000021,0.028359
0.020000,5.210477,6.274751,0.344770,0.808966,0.998723,0.000011,0.029837
0.020000,5.227048,6.275258,0.361349,0.828941,0.998723,-0.000014,0.031337
0.020000,5.244017,6.275803,0.378327,0.848915,0.998724,0.000042,0.032858
0.020000,5.261385,6.276387,0.395705,0.868889,0.998723,-0.000075,0.034398
0.020000,5.279152,6.277013,0.413482,0.888864,0.998724,0.000091,0.035957
0.020000,5.297316,6.277680,0.431659,0.908838,0.998723,-0.000074,0.037533
0.020000,5.315879,6.278392,0.450236,0.928813,0.998723,-0.000005,0.039124
0.020000,5.334839,6.279150,0.469211,0.948787,0.998725,0.000101,0.040731
0.020000,5.354198,6.279955,0.488586,0.968762,0.998723,-0.000103,0.042351
0.020000,5.373954,6.280808,0.508361,0.988736,0.998723,0.000027,0.043983
0.020000,5.394108,6.281712,0.528535,1.008711,0.998724,0.000011,0.045626
0.020000,5.414660,6.282667,0.549109,1.028685,0.998723,-0.000010,0.047278
0.020000,5.435609,6.283676,0.570082,1.048660,0.998724,0.000020,0.048939
0.020000,5.456955,6.284739,0.591455,1.068634,0.998724,-0.000008,0.050606
0.020000,5.478698,6.285859,0.613227,1.088609,0.998723,-0.000017,0.052279
0.020000,5.500839,6.287036,0.635399,1.108583,0.998724,0.000021,0.053956
0.020000,5.523376,6.288272,0.657970,1.128558,0.998723,-0.000008,0.055635
0.020000,5.546310,6.289569,0.680941,1.148532,0.998723,-0.000001,0.057314
0.020000,5.569640,6.290927,0.704311,1.168507,0.998724,0.000005,0.058993
0.020000,5.593367,6.292348,0.728080,1.188481,0.998724,-0.000001,0.060670
0.020000,5.617491,6.293834,0.752249,1.208455,0.998724,0.000008,0.062344
0.020000,5.642010,6.295385,0.776818,1.228430,0.998723,-0.000021,0.064011
0.020000,5.666926,6.297003,0.801786,1.248404,0.998724,0.000024,0.065672
0.020000,5.692238,6.298689,0.827154,1.268379,0.998724,-0.000009,0.067324
0.020000,5.717945,6.300443,0.852921,1.288353,0.998724,0.000020,0.068966
0.020000,5.744048,6.302268,0.879087,1.308328,0.998723,-0.000036,0.070595
0.020000,5.770546,6.304163,0.905653,1.328302,0.998724,0.000029,0.072211
0.020000,5.797440,6.306130,0.932619,1.348277,0.998723,-0.000039,0.073811
0.020000,5.824729,6.308170,0.959984,1.368251,0.998725,0.000077,0.075394
0.020000,5.852413,6.310283,0.987748,1.388226,0.998723,-0.000077,0.076958
0.020000,5.880492,6.312470,1.015913,1.408200,0.998724,0.000046,0.078500
0.020000,5.908965,6.314732,1.044476,1.428175,0.998723,-0.000043,0.080020
0.020000,5.937834,6.317069,1.073439,1.448149,0.998724,0.000059,0.081515
0.020000,5.967097,6.319481,1.102801,1.468124,0.998724,-0.000029,0.082983
0.020000,5.996755,6.321970,1.132563,1.488098,0.998724,0.000023,0.084423
0.020000,6.026807,6.324534,1.162725,1.508073,0.998723,-0.000049,0.085832
0.020000,6.057254,6.327175,1.193286,1.528047,0.998724,0.000051,0.087208
0.020000,6.088095,6.329893,1.224246,1.548022,0.998724,-0.000020,0.088550
0.020000,6.119330,6.332686,1.255606,1.567996,0.998724,0.000033,0.089856
0.020000,6.150959,6.335556,1.287366,1.587970,0.998723,-0.000059,0.091122
0.020000,6.182983,6.338503,1.319524,1.607945,0.998724,0.000046,0.092349
0.020000,6.215401,6.341524,1.352083,1.627919,0.998723,-0.000052,0.093532
0.020000,6.248213,6.344621,1.385041,1.647894,0.998725,0.000097,0.094670
0.020000,6.279428,6.347645,1.416401,1.568038,-3.992781,-249.575284,0.099384
0.020000,6.313008,6.351091,1.450158,1.687842,5.990175,499.147801,0.104950
0.020000,6.346968,6.354749,1.484315,1.707817,0.998744,-249.571551,0.109453
0.020000,6.381310,6.358586,1.518870,1.727792,0.998742,-0.000116,0.112882
0.020000,6.416038,6.362567,1.553826,1.747767,0.998769,0.001367,0.115219
0.020000,6.451156,6.366656,1.589181,1.767741,0.998725,-0.002231,0.116443
0.020000,6.486667,6.370815,1.624935,1.787716,0.998723,-0.000070,0.116523
0.020000,6.522578,6.375002,1.661089,1.807690,0.998725,0.000089,0.115420
0.020000,6.558892,6.379173,1.697642,1.827664,0.998686,-0.001953,0.113087
0.020000,6.595616,6.383281,1.734595,1.847639,0.998740,0.002713,0.109466
0.020000,6.632754,6.387273,1.771947,1.867612,0.998635,-0.005274,0.104488
0.020000,6.670312,6.391094,1.809699,1.887586,0.998713,0.003906,0.098071
0.020000,6.708294,6.394684,1.847850,1.907557,0.998566,-0.007342,0.090121
0.020000,6.746704,6.397974,1.886401,1.927530,0.998617,0.002543,0.080525
0.020000,6.785545,6.400892,1.925351,1.947500,0.998516,-0.005035,0.069154
0.020000,6.824817,6.403356,1.964700,1.967470,0.998528,0.000598,0.055858
0.020000,6.864519,6.405276,2.004449,1.987445,0.998727,0.009913,0.040463
0.020000,6.904647,6.406553,2.044597,2.007407,0.998107,-0.030961,0.022775
0.020000,6.945191,6.407075,2.085145,2.027377,0.998474,0.018322,0.002569
0.020000,6.986136,6.406719,2.126091,2.047333,0.997839,-0.031719,6.262780
0.020000,7.027460,6.405348,2.167437,2.067301,0.998373,0.026658,6.236759
0.020000,7.069128,6.402809,2.209182,2.087262,0.998050,-0.016122,6.207388
0.020000,7.111093,6.398937,2.251327,2.107211,0.997450,-0.030007,6.174348
0.020000,7.153294,6.393546,2.293870,2.127154,0.997183,-0.013324,6.137310
0.020000,7.195644,6.386442,2.336812,2.147102,0.997395,0.010576,6.095961
0.020000,7.238034,6.377414,2.380153,2.167043,0.997033,-0.018108,6.050034
0.020000,7.280324,6.366249,2.423892,2.186969,0.996283,-0.037487,5.999349
0.020000,7.322342,6.352733,2.468030,2.206895,0.996290,0.000342,5.943869
0.020000,7.363880,6.336667,2.512566,2.226816,0.996068,-0.011092,5.883762
0.020000,7.404700,6.317882,2.557501,2.246738,0.996127,0.002967,5.819457
0.020000,7.444539,6.296251,2.602834,2.266665,0.996339,0.010557,5.751675
0.020000,7.483127,6.271707,2.648566,2.286602,0.996861,0.026119,5.681425
0.020000,7.520197,6.244250,2.694697,2.306556,0.997672,0.040546,5.609935
0.020000,7.555512,6.213952,2.741228,2.326530,0.998718,0.052285,5.538535
0.020000,7.588880,6.180952,2.788158,2.346514,0.999189,0.023548,5.468520
0.020000,7.620163,6.145433,2.835489,2.366520,1.000305,0.055804,5.401011
0.020000,7.649284,6.107615,2.883220,2.386543,1.001169,0.043234,5.336874
0.020000,7.676222,6.067729,2.931351,2.406548,1.000250,-0.045948,5.276680
0.020000,7.701003,6.026001,2.979882,2.426578,1.001478,0.061398,5.220726
0.020000,7.723691,5.982647,3.028814,2.446599,1.001073,-0.020257,5.169079
0.020000,7.744373,5.937859,3.078147,2.466620,1.001010,-0.003166,5.121638
0.020000,7.763150,5.891807,3.127879,2.486640,1.001015,0.000257,5.078190
0.020000,7.780134,5.844639,3.178012,2.506614,0.998716,-0.114949,5.038457
0.020000,7.795434,5.796479,3.228544,2.526619,1.000232,0.075782,5.002133
0.020000,7.809160,5.747431,3.279476,2.546621,1.000127,-0.005222,4.968905
0.020000,7.821415,5.697583,3.330809,2.566637,1.000764,0.031830,4.938473
0.020000,7.832295,5.647008,3.382541,2.586590,0.997667,-0.154857,4.910557
0.020000,7.841341,5.600430,3.429989,2.372386,-10.710192,-585.392948,4.903711
0.020000,7.851386,5.548867,3.482522,2.626643,12.712823,1171.150779,4.905867
0.020000,7.861618,5.496933,3.535454,2.646617,0.998719,-585.705214,4.907941
0.020000,7.872033,5.444628,3.588786,2.666592,0.998724,0.000266,4.909929
0.020000,7.882629,5.391952,3.642517,2.686566,0.998737,0.000613,4.911830
0.020000,7.893402,5.338904,3.696648,2.706541,0.998710,-0.001335,4.913641
0.020000,7.904349,5.285484,3.751178,2.726515,0.998736,0.001304,4.915361
0.020000,7.915466,5.231690,3.806108,2.746490,0.998726,-0.000509,4.916986
0.020000,7.926749,5.177524,3.861437,2.766464,0.998718,-0.000404,4.918515
0.020000,7.938194,5.122983,3.917166,2.786439,0.998729,0.000540,4.919945
0.020000,7.949798,5.068067,3.973294,2.806413,0.998726,-0.000109,4.921274
0.020000,7.961554,5.012776,4.029822,2.826388,0.998726,-0.000034,4.922500
0.020000,7.973459,4.957107,4.086749,2.846362,0.998726,0.000026,4.923620
0.020000,7.985507,4.901061,4.144076,2.866337,0.998727,0.000062,4.924632
0.020000,7.997693,4.844635,4.201802,2.886311,0.998716,-0.000554,4.925533
0.020000,8.010012,4.787830,4.259928,2.906286,0.998729,0.000650,4.926322
0.020000,8.022457,4.730643,4.318453,2.926260,0.998726,-0.000169,4.926996
0.020000,8.035022,4.673074,4.377378,2.946235,0.998722,-0.000181,4.927552
0.020000,8.047702,4.615121,4.436702,2.966209,0.998725,0.000133,4.927988
0.020000,8.060488,4.556782,4.496426,2.986184,0.998726,0.000026,4.928301
0.020000,8.073375,4.498056,4.556549,3.006158,0.998723,-0.000140,4.928489
0.020000,8.086355,4.438941,4.617072,3.026133,0.998724,0.000050,4.928549
0.020000,8.099420,4.379437,4.677994,3.046107,0.998724,0.000007,4.928480
0.020000,8.112563,4.319540,4.739315,3.066082,0.998723,-0.000041,4.928277
0.020000,8.125775,4.259250,4.801036,3.086056,0.998723,-0.000026,4.927940
0.020000,8.139048,4.198564,4.863157,3.106031,0.998726,0.000150,4.927464
0.020000,8.152373,4.137480,4.925677,3.126005,0.998722,-0.000200,4.926847
0.020000,8.165741,4.075997,4.988597,3.145979,0.998717,-0.000205,4.926087
0.020000,8.179142,4.014112,5.051916,3.165954,0.998731,0.000663,4.925181
0.020000,8.192566,3.951824,5.115634,3.185928,0.998713,-0.000879,4.924126
0.020000,8.206004,3.889130,5.179752,3.205903,0.998727,0.000700,4.922920
0.020000,8.219445,3.826028,5.244270,3.225877,0.998721,-0.000319,4.921559
0.020000,8.232877,3.762516,5.309187,3.245851,0.998718,-0.000143,4.920041
0.020000,8.246291,3.698591,5.374503,3.265826,0.998720,0.000086,4.918363
0.020000,8.259672,3.634252,5.440219,3.285800,0.998720,0.000039,4.916522
0.020000,8.273011,3.569496,5.506335,3.305775,0.998720,-0.000034,4.914515
0.020000,8.286294,3.504321,5.572850,3.325749,0.998717,-0.000120,4.912339
0.020000,8.299508,3.438724,5.639764,3.345723,0.998713,-0.000208,4.909991
0.020000,8.312641,3.372704,5.707078,3.365698,0.998725,0.000579,4.907469
0.020000,8.325678,3.306257,5.774792,3.385672,0.998715,-0.000482,4.904769
0.020000,8.338606,3.239382,5.842905,3.405646,0.998713,-0.000091,4.901889
0.020000,8.351409,3.172077,5.911417,3.425621,0.998716,0.000116,4.898824
0.020000,8.364073,3.104339,5.980329,3.445595,0.998719,0.000180,4.895574
0.020000,8.376583,3.036165,6.049640,3.465569,0.998710,-0.000484,4.892133
0.020000,8.388922,2.967555,6.119351,3.485543,0.998712,0.000148,4.888501
0.020000,8.401074,2.898506,6.189462,3.505518,0.998713,0.000035,4.884673
0.020000,8.413023,2.829016,6.259972,3.525492,0.998712,-0.000055,4.880646
0.020000,8.424751,2.759083,6.330881,3.545466,0.998710,-0.000098,4.876418
0.020000,8.436241,2.688706,6.402190,3.565440,0.998709,-0.000067,4.871987
0.020000,8.447474,2.617883,6.473898,3.585415,0.998710,0.000066,4.867348
0.020000,8.458431,2.546613,6.546006,3.605389,0.998704,-0.000282,4.862500
0.020000,8.469094,2.474894,6.618513,3.625363,0.998709,0.000226,4.857440
0.020000,8.479443,2.402726,6.691420,3.645337,0.998702,-0.000334,4.852165
0.020000,8.489458,2.330107,6.764726,3.665311,0.998717,0.000755,4.846672
0.020000,8.499118,2.257037,6.838432,3.685285,0.998681,-0.001820,4.840961
0.020000,8.508403,2.183516,6.912537,3.705259,0.998709,0.001383,4.835027
0.020000,8.517290,2.109543,6.987041,3.725233,0.998704,-0.000210,4.828870
0.020000,8.525759,2.035119,7.061946,3.745207,0.998699,-0.000250,4.822487
0.020000,8.533787,1.960245,7.137249,3.765181,0.998696,-0.000160,4.815877
0.020000,8.541351,1.884920,7.212952,3.785155,0.998698,0.000092,4.809038
0.020000,8.548428,1.809147,7.289055,3.805129,0.998709,0.000538,4.801969
0.020000,8.554995,1.732928,7.365557,3.825103,0.998708,-0.000043,4.794668
0.020000,8.561028,1.656263,7.442458,3.845076,0.998627,-0.004060,4.787136
0.020000,8.566503,1.579156,7.519760,3.865051,0.998763,0.006830,4.779372
0.020000,8.571395,1.501610,7.597460,3.885024,0.998631,-0.006632,4.771375
0.020000,8.575679,1.423628,7.675560,3.904999,0.998776,0.007243,4.763145
0.020000,8.579331,1.345213,7.754059,3.924971,0.998569,-0.010313,4.754684
0.020000,8.582326,1.266371,7.832958,3.944946,0.998761,0.009561,4.745991
0.020000,8.584638,1.187106,7.912257,3.964921,0.998734,-0.001342,4.737069
0.020000,8.586241,1.107425,7.991955,3.984893,0.998638,-0.004774,4.727920
0.020000,8.587111,1.027332,8.072052,4.004866,0.998642,0.000194,4.718544
0.020000,8.586885,1.062955,8.107675,1.781172,-111.184703,-5609.167277,1.578671
0.020000,8.586017,1.143847,8.188572,4.044825,113.182655,11218.367944,1.584340
0.020000,8.584695,1.225132,8.269868,4.064800,0.998748,-5609.195349,1.589726
0.020000,8.582938,1.306809,8.351563,4.084775,0.998752,0.000190,1.594824
0.020000,8.580766,1.388875,8.433658,4.104750,0.998760,0.000378,1.599630
0.020000,8.578200,1.471329,8.516153,4.124725,0.998729,-0.001526,1.604141
0.020000,8.575259,1.554171,8.599047,4.144700,0.998743,0.000662,1.608351
0.020000,8.571967,1.637400,8.682340,4.164675,0.998773,0.001524,1.612257
0.020000,8.568346,1.721014,8.766033,4.184649,0.998705,-0.003399,1.615855
0.020000,8.564418,1.805015,8.850126,4.204625,0.998770,0.003251,1.619140
0.020000,8.560207,1.889402,8.934618,4.224600,0.998736,-0.001695,1.622108
0.020000,8.555738,1.974176,9.019509,4.244574,0.998726,-0.000513,1.624756
0.020000,8.551037,2.059337,9.104800,4.264549,0.998748,0.001117,1.627078
0.020000,8.546129,2.144887,9.190491,4.284524,0.998739,-0.000469,1.629072
0.020000,8.541041,2.230826,9.276581,4.304498,0.998734,-0.000265,1.630732
0.020000,8.535801,2.317157,9.363070,4.324473,0.998731,-0.000110,1.632055
0.020000,8.530436,2.403880,9.449959,4.344448,0.998731,-0.000029,1.633036
0.020000,8.524977,2.490998,9.537248,4.364422,0.998730,-0.000039,1.633670
0.020000,8.519452,2.578511,9.624936,4.384397,0.998727,-0.000150,1.633953
0.020000,8.513893,2.666423,9.713023,4.404371,0.998723,-0.000213,1.633880
0.020000,8.508331,2.754735,9.801510,4.424346,0.998724,0.000064,1.633446
0.020000,8.502799,2.843449,9.890396,4.444320,0.998712,-0.000604,1.632646
0.020000,8.497330,2.932567,9.979682,4.464295,0.998730,0.000881,1.631475
0.020000,8.491958,3.022092,10.069368,4.484269,0.998704,-0.001292,1.629928
0.020000,8.486718,3.112024,10.159452,4.504243,0.998706,0.000136,1.627999
0.020000,8.481646,3.202366,10.249937,4.524217,0.998725,0.000910,1.625682
0.020000,8.476781,3.293120,10.340821,4.544191,0.998698,-0.001321,1.622973
