dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.002000,0.100000,5.000000,5.874592
0.020000,0.000000,0.000000,0.000020,0.000000,-0.100000,-10.000000,5.874587
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,5.000000,5.874574
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874552
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874517
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874469
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874406
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874330
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874239
0.020000,0.000000,0.000000,0.000020,0.000000,0.000000,0.000000,5.874135
0.020000,0.001514,-0.000656,0.001670,0.082513,4.125651,206.282551,5.874016
0.020000,0.003257,-0.001413,0.003570,0.095003,0.624479,-175.058586,5.873883
0.020000,0.005184,-0.002248,0.005670,0.104995,0.499617,-6.243132,5.873737
0.020000,0.007293,-0.003164,0.007970,0.115001,0.500316,0.034955,5.873576
0.020000,0.009587,-0.004160,0.010470,0.125004,0.500120,-0.009764,5.873401
0.020000,0.012063,-0.005236,0.013170,0.134991,0.499350,-0.038544,5.873212
0.020000,0.014723,-0.006392,0.016070,0.145009,0.500931,0.079066,5.873008
0.020000,0.017565,-0.007629,0.019170,0.154994,0.499248,-0.084149,5.872790
0.020000,0.020591,-0.008946,0.022470,0.165005,0.500562,0.065690,5.872558
0.020000,0.023800,-0.010343,0.025970,0.174994,0.499415,-0.057321,5.872311
0.020000,0.027192,-0.011821,0.029670,0.185007,0.500652,0.061844,5.872050
0.020000,0.030766,-0.013380,0.033570,0.194991,0.499234,-0.070917,5.871774
0.020000,0.034524,-0.015021,0.037670,0.205007,0.500797,0.078158,5.871484
0.020000,0.038465,-0.016742,0.041970,0.215000,0.499614,-0.059168,5.871178
0.020000,0.042588,-0.018545,0.046470,0.224991,0.499579,-0.001718,5.870858
0.020000,0.046894,-0.020429,0.051170,0.235009,0.500861,0.064100,5.870523
0.020000,0.051382,-0.022395,0.056070,0.245002,0.499651,-0.060532,5.870172
0.020000,0.056053,-0.024443,0.061170,0.254997,0.499750,0.004958,5.869807
0.020000,0.060906,-0.026573,0.066470,0.264993,0.499838,0.004407,5.869426
0.020000,0.065941,-0.028785,0.071970,0.275006,0.500618,0.038977,5.869030
0.020000,0.071159,-0.031080,0.077670,0.285003,0.499876,-0.037057,5.868619
0.020000,0.076559,-0.033457,0.083570,0.295001,0.499908,0.001565,5.868191
0.020000,0.082140,-0.035918,0.089670,0.305000,0.499950,0.002115,5.867748
0.020000,0.087904,-0.038462,0.095970,0.315000,0.499981,0.001538,5.867290
0.020000,0.093849,-0.041089,0.102470,0.325000,0.500000,0.000956,5.866815
0.020000,0.099976,-0.043801,0.109170,0.335000,0.500007,0.000368,5.866324
0.020000,0.106285,-0.046596,0.116070,0.345000,0.500003,-0.000226,5.865817
0.020000,0.112774,-0.049476,0.123170,0.355000,0.499986,-0.000826,5.865293
0.020000,0.119445,-0.052440,0.130470,0.364999,0.499958,-0.001432,5.864753
0.020000,0.126297,-0.055490,0.137970,0.374997,0.499917,-0.002043,5.864196
0.020000,0.133330,-0.058624,0.145670,0.384995,0.499863,-0.002661,5.863622
0.020000,0.140544,-0.061845,0.153570,0.395004,0.500483,0.030994,5.863032
0.020000,0.147939,-0.065151,0.161670,0.405004,0.500010,-0.023675,5.862423
0.020000,0.155514,-0.068543,0.169970,0.415000,0.499764,-0.012312,5.861798
0.020000,0.163269,-0.072023,0.178470,0.424993,0.499660,-0.005166,5.861155
0.020000,0.171205,-0.075589,0.187170,0.435005,0.500609,0.047426,5.860494
0.020000,0.179320,-0.079243,0.196070,0.445002,0.499867,-0.037080,5.859816
0.020000,0.187615,-0.082984,0.205170,0.454991,0.499409,-0.022885,5.859119
0.020000,0.196090,-0.086814,0.214470,0.465009,0.500925,0.075789,5.858404
0.020000,0.204744,-0.090732,0.223970,0.474996,0.499344,-0.079068,5.857670
0.020000,0.213578,-0.094739,0.233670,0.485003,0.500336,0.049612,5.856917
0.020000,0.222590,-0.098836,0.243570,0.494998,0.499760,-0.028822,5.856146
0.020000,0.231782,-0.103023,0.253670,0.505003,0.500236,0.023808,5.855355
0.020000,0.241152,-0.107300,0.263970,0.514994,0.499583,-0.032639,5.854545
0.020000,0.250700,-0.111669,0.274470,0.525007,0.500631,0.052375,5.853715
0.020000,0.260426,-0.116128,0.285170,0.534994,0.499332,-0.064927,5.852865
0.020000,0.270331,-0.120679,0.296070,0.545003,0.500473,0.057036,5.851995
0.020000,0.280413,-0.125323,0.307170,0.555003,0.500016,-0.022817,5.851105
0.020000,0.290672,-0.130060,0.318470,0.564996,0.499616,-0.020026,5.850194
0.020000,0.301108,-0.134890,0.329970,0.574996,0.500006,0.019513,5.849262
0.020000,0.311722,-0.139814,0.341670,0.585006,0.500529,0.026153,5.848309
0.020000,0.322512,-0.144833,0.353570,0.595002,0.499787,-0.037087,5.847334
