dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.002000,0.100000,5.000000,5.874592
0.020000,0.000000,0.000000,0.000100,0.006000,0.200000,5.000000,5.874587
0.020000,0.000000,0.000000,0.000280,0.012000,0.300000,5.000000,5.874574
0.020000,0.000000,0.000000,0.000600,0.020000,0.400000,5.000000,5.874552
0.020000,0.000000,0.000000,0.001100,0.030000,0.500000,5.000000,5.874517
0.020000,0.000000,0.000000,0.001800,0.040000,0.500000,0.000000,5.874469
0.020000,0.000000,0.000000,0.002700,0.050000,0.500000,0.000000,5.874406
0.020000,0.000000,0.000000,0.003800,0.060000,0.500000,-0.000000,5.874330
0.020000,0.000000,0.000000,0.005100,0.070000,0.500000,0.000000,5.874239
0.020000,0.000000,0.000000,0.006600,0.080000,0.500000,-0.000000,5.874135
0.020000,0.001514,-0.000656,0.008300,0.090000,0.500000,0.000000,5.874016
0.020000,0.003257,-0.001413,0.010200,0.100000,0.500000,0.000000,5.873883
0.020000,0.005184,-0.002248,0.012300,0.110000,0.500000,-0.000000,5.873737
0.020000,0.007293,-0.003164,0.014600,0.120000,0.500000,0.000000,5.873576
0.020000,0.009587,-0.004160,0.017100,0.130000,0.500000,0.000000,5.873401
0.020000,0.012063,-0.005236,0.019800,0.140000,0.500000,0.000000,5.873212
0.020000,0.014723,-0.006392,0.022700,0.150000,0.500000,-0.000000,5.873008
0.020000,0.017565,-0.007629,0.025800,0.160000,0.500000,0.000000,5.872790
0.020000,0.020591,-0.008946,0.029100,0.170000,0.500000,0.000000,5.872558
0.020000,0.023800,-0.010343,0.032600,0.180000,0.500000,-0.000000,5.872311
0.020000,0.027192,-0.011821,0.036300,0.190000,0.500000,0.000000,5.872050
0.020000,0.030766,-0.013380,0.040200,0.200000,0.500000,0.000000,5.871774
0.020000,0.034524,-0.015021,0.044300,0.210000,0.500000,-0.000000,5.871484
0.020000,0.038465,-0.016742,0.048600,0.220000,0.500000,0.000000,5.871178
0.020000,0.042588,-0.018545,0.053100,0.230000,0.500000,0.000000,5.870858
0.020000,0.046894,-0.020429,0.057800,0.240000,0.500000,-0.000000,5.870523
0.020000,0.051382,-0.022395,0.062700,0.250000,0.500000,0.000000,5.870172
0.020000,0.056053,-0.024443,0.067800,0.260000,0.500000,0.000000,5.869807
0.020000,0.060906,-0.026573,0.073100,0.270000,0.500000,0.000000,5.869426
0.020000,0.065941,-0.028785,0.078600,0.280000,0.500000,0.000000,5.869030
0.020000,0.071159,-0.031080,0.084300,0.290000,0.500000,-0.000000,5.868619
0.020000,0.076559,-0.033457,0.090200,0.300000,0.500000,0.000000,5.868191
0.020000,0.082140,-0.035918,0.096300,0.310000,0.500000,0.000000,5.867748
0.020000,0.087904,-0.038462,0.102600,0.320000,0.500000,0.000000,5.867290
0.020000,0.093849,-0.041089,0.109100,0.330000,0.500000,0.000000,5.866815
0.020000,0.099976,-0.043801,0.115800,0.340000,0.500000,0.000000,5.866324
0.020000,0.106285,-0.046596,0.122700,0.350000,0.500000,-0.000000,5.865817
0.020000,0.112774,-0.049476,0.129800,0.360000,0.500000,0.000000,5.865293
0.020000,0.119445,-0.052440,0.137100,0.370000,0.500000,0.000000,5.864753
0.020000,0.126297,-0.055490,0.144600,0.380000,0.500000,0.000000,5.864196
0.020000,0.133330,-0.058624,0.152300,0.390000,0.500000,0.000000,5.863622
0.020000,0.140544,-0.061845,0.160200,0.400000,0.500000,0.000000,5.863032
0.020000,0.147939,-0.065151,0.168300,0.410000,0.500000,-0.000000,5.862423
0.020000,0.155514,-0.068543,0.176600,0.420000,0.500000,0.000000,5.861798
0.020000,0.163269,-0.072023,0.185100,0.430000,0.500000,0.000000,5.861155
0.020000,0.171205,-0.075589,0.193800,0.440000,0.500000,0.000000,5.860494
0.020000,0.179320,-0.079243,0.202700,0.450000,0.500000,0.000000,5.859816
0.020000,0.187615,-0.082984,0.211800,0.460000,0.500000,0.000000,5.859119
0.020000,0.196090,-0.086814,0.221100,0.470000,0.500000,-0.000000,5.858404
0.020000,0.204744,-0.090732,0.230600,0.480000,0.500000,0.000000,5.857670
