dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000007,0.000699,0.034937,1.746832,5.874593
0.020000,0.000000,0.000000,0.000007,0.000000,-0.034937,-3.493664,5.874591
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,1.746832,5.874587
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874579
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874567
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874550
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874526
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874495
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874458
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874414
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874363
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874305
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874240
0.020000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,5.874168
0.020000,0.000540,-0.000234,0.000596,0.029452,1.472610,73.630477,5.874090
0.020000,0.001662,-0.000721,0.001819,0.061144,1.584592,5.599129,5.874005
0.020000,0.002874,-0.001246,0.003140,0.066032,0.244417,-67.008734,5.873913
0.020000,0.004175,-0.001811,0.004558,0.070920,0.244381,-0.001834,5.873814
0.020000,0.005566,-0.002414,0.006074,0.075807,0.244341,-0.001971,5.873708
0.020000,0.007047,-0.003057,0.007688,0.080706,0.244948,0.030354,5.873595
0.020000,0.008617,-0.003739,0.009400,0.085599,0.244682,-0.013329,5.873475
0.020000,0.010277,-0.004460,0.011210,0.090485,0.244268,-0.020692,5.873348
0.020000,0.012026,-0.005220,0.013117,0.095369,0.244218,-0.002522,5.873215
0.020000,0.013866,-0.006020,0.015123,0.100275,0.245311,0.054661,5.873074
0.020000,0.015794,-0.006858,0.017226,0.105161,0.244287,-0.051182,5.872926
0.020000,0.017812,-0.007736,0.019427,0.110043,0.244111,-0.008806,5.872771
0.020000,0.019920,-0.008654,0.021726,0.114947,0.245171,0.052999,5.872610
0.020000,0.022118,-0.009610,0.024122,0.119834,0.244376,-0.039732,5.872441
0.020000,0.024405,-0.010607,0.026617,0.124714,0.243994,-0.019103,5.872265
0.020000,0.026781,-0.011642,0.029209,0.129625,0.245534,0.076981,5.872082
0.020000,0.029247,-0.012718,0.031899,0.134503,0.243898,-0.081792,5.871892
0.020000,0.031802,-0.013832,0.034687,0.139398,0.244742,0.042202,5.871694
0.020000,0.034447,-0.014987,0.037573,0.144291,0.244652,-0.004493,5.871490
0.020000,0.037181,-0.016181,0.040557,0.149174,0.244156,-0.024819,5.871278
