dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.260000,19.475944,0.000079,0.007894,0.394708,19.735387,0.000043
0.020000,33.260000,19.475944,0.000079,0.000000,-0.394708,-39.470775,0.000039
0.020000,33.260000,19.475944,0.000079,0.000000,0.000000,19.735387,0.000030
0.020000,33.260000,19.475944,0.000079,0.000000,0.000000,0.000000,0.000015
0.020000,33.260782,19.475944,0.000861,0.039080,1.953991,97.699531,6.283176
0.020000,33.263623,19.475944,0.003702,0.142095,5.150749,159.837899,6.283141
0.020000,33.267492,19.475943,0.007571,0.193407,2.565601,-129.257396,6.283093
0.020000,33.272544,19.475943,0.012623,0.252613,2.960308,19.735377,6.283032
0.020000,33.278938,19.475941,0.019017,0.319713,3.355016,19.735369,6.282954
0.020000,33.286832,19.475939,0.026911,0.394708,3.749724,19.735405,6.282858
0.020000,33.296384,19.475936,0.036463,0.477596,4.144431,19.735376,6.282743
0.020000,33.307752,19.475930,0.047831,0.568379,4.539139,19.735404,6.282607
0.020000,33.321014,19.475921,0.061093,0.663109,4.736493,9.867672,6.282449
0.020000,33.336171,19.475908,0.076250,0.757839,4.736493,0.000027,6.282270
0.020000,33.353222,19.475891,0.093301,0.852569,4.736493,-0.000028,6.282070
0.020000,33.372168,19.475868,0.112247,0.947299,4.736493,0.000023,6.281851
0.020000,33.393009,19.475838,0.133088,1.042028,4.736493,-0.000018,6.281613
0.020000,33.415744,19.475799,0.155823,1.136758,4.736493,0.000006,6.281356
0.020000,33.440373,19.475751,0.180453,1.231488,4.736493,0.000004,6.281082
0.020000,33.466898,19.475691,0.206977,1.326218,4.736493,-0.000011,6.280792
0.020000,33.495317,19.475619,0.235396,1.420948,4.736493,0.000012,6.280486
0.020000,33.525630,19.475532,0.265709,1.515678,4.736493,0.000001,6.280166
0.020000,33.557838,19.475429,0.297918,1.610408,4.736493,-0.000012,6.279833
0.020000,33.591941,19.475309,0.332020,1.705137,4.736493,0.000005,6.279489
0.020000,33.627938,19.475170,0.368018,1.799867,4.736493,0.000003,6.279133
0.020000,33.665829,19.475009,0.405910,1.894597,4.736493,-0.000009,6.278769
0.020000,33.705615,19.474826,0.445696,1.989327,4.736493,0.000014,6.278397
0.020000,33.747296,19.474618,0.487377,2.084057,4.736493,-0.000011,6.278020
0.020000,33.790871,19.474385,0.530953,2.178787,4.736493,0.000004,6.277638
0.020000,33.836341,19.474124,0.576423,2.273517,4.736493,-0.000000,6.277253
0.020000,33.883705,19.473834,0.623788,2.368246,4.736493,0.000001,6.276867
0.020000,33.932963,19.473513,0.673048,2.462976,4.736493,-0.000001,6.276482
0.020000,33.984116,19.473160,0.724202,2.557706,4.736493,0.000002,6.276101
0.020000,34.037163,19.472774,0.777251,2.652436,4.736493,-0.000001,6.275724
0.020000,34.092105,19.472354,0.832194,2.747166,4.736493,0.000001,6.275354
0.020000,34.148941,19.471899,0.889032,2.841896,4.736493,0.000000,6.274994
0.020000,34.207672,19.471407,0.947764,2.936626,4.736493,0.000001,6.274644
0.020000,34.268297,19.470879,1.008392,3.031355,4.736493,-0.000000,6.274309
0.020000,34.330737,19.470315,1.070834,3.122138,4.539139,-9.867693,6.273990
0.020000,34.394834,19.469716,1.134935,3.205027,4.144431,-19.735387,6.273690
0.020000,34.460432,19.469083,1.200535,3.280021,3.749724,-19.735387,6.273413
0.020000,34.527371,19.468421,1.267478,3.347122,3.355016,-19.735386,6.273161
0.020000,34.595494,19.467730,1.335604,3.406328,2.960308,-19.735390,6.272936
