dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,33.260000,19.475944,0.000079,0.007894,0.394708,19.735387,0.000043
0.020000,33.260000,19.475944,0.000395,0.023682,0.789415,19.735387,0.000039
0.020000,33.260000,19.475944,0.001105,0.047365,1.184123,19.735387,0.000030
0.020000,33.260000,19.475944,0.002368,0.078942,1.578831,19.735387,0.000015
0.020000,33.260782,19.475944,0.004342,0.118412,1.973539,19.735387,6.283176
0.020000,33.263623,19.475944,0.007184,0.165777,2.368246,19.735387,6.283141
0.020000,33.267492,19.475943,0.011052,0.221036,2.762954,19.735387,6.283093
0.020000,33.272544,19.475943,0.016104,0.284190,3.157662,19.735387,6.283032
0.020000,33.278938,19.475941,0.022498,0.355237,3.552370,19.735387,6.282954
0.020000,33.286832,19.475939,0.030392,0.434179,3.947077,19.735387,6.282858
0.020000,33.296384,19.475936,0.039944,0.521014,4.341785,19.735387,6.282743
0.020000,33.307752,19.475930,0.051312,0.615744,4.736493,19.735387,6.282607
0.020000,33.321014,19.475921,0.064574,0.710474,4.736493,-0.000000,6.282449
0.020000,33.336171,19.475908,0.079731,0.805204,4.736493,0.000000,6.282270
0.020000,33.353222,19.475891,0.096782,0.899934,4.736493,0.000000,6.282070
0.020000,33.372168,19.475868,0.115728,0.994664,4.736493,0.000000,6.281851
0.020000,33.393009,19.475838,0.136569,1.089393,4.736493,-0.000000,6.281613
0.020000,33.415744,19.475799,0.159304,1.184123,4.736493,0.000000,6.281356
0.020000,33.440373,19.475751,0.183934,1.278853,4.736493,-0.000000,6.281082
0.020000,33.466898,19.475691,0.210458,1.373583,4.736493,0.000000,6.280792
0.020000,33.495317,19.475619,0.238877,1.468313,4.736493,-0.000000,6.280486
0.020000,33.525630,19.475532,0.269191,1.563043,4.736493,0.000000,6.280166
0.020000,33.557838,19.475429,0.301399,1.657773,4.736493,-0.000000,6.279833
0.020000,33.591941,19.475309,0.335502,1.752502,4.736493,0.000000,6.279489
0.020000,33.627938,19.475170,0.371499,1.847232,4.736493,-0.000000,6.279133
0.020000,33.665829,19.475009,0.409391,1.941962,4.736493,0.000000,6.278769
0.020000,33.705615,19.474826,0.449177,2.036692,4.736493,0.000000,6.278397
0.020000,33.747296,19.474618,0.490859,2.131422,4.736493,-0.000000,6.278020
0.020000,33.790871,19.474385,0.534434,2.226152,4.736493,0.000000,6.277638
0.020000,33.836341,19.474124,0.579905,2.320882,4.736493,0.000000,6.277253
0.020000,33.883705,19.473834,0.627270,2.415611,4.736493,-0.000000,6.276867
0.020000,33.932963,19.473513,0.676529,2.510341,4.736493,0.000000,6.276482
0.020000,33.984116,19.473160,0.727683,2.605071,4.736493,0.000000,6.276101
0.020000,34.037163,19.472774,0.780732,2.699801,4.736493,0.000000,6.275724
0.020000,34.092105,19.472354,0.835675,2.794531,4.736493,-0.000000,6.275354
0.020000,34.148941,19.471899,0.892513,2.889261,4.736493,0.000000,6.274994
0.020000,34.207672,19.471407,0.951246,2.983991,4.736493,-0.000000,6.274644
0.020000,34.268297,19.470879,1.011873,3.078720,4.736493,0.000000,6.274309
0.020000,34.330737,19.470315,1.074316,3.165556,4.341785,-19.735387,6.273990
0.020000,34.394834,19.469716,1.138416,3.244498,3.947077,-19.735387,6.273690
0.020000,34.460432,19.469083,1.204017,3.315545,3.552370,-19.735387,6.273413
0.020000,34.527371,19.468421,1.270959,3.378698,3.157662,-19.735387,6.273161
0.020000,34.595494,19.467730,1.339086,3.433957,2.762954,-19.735387,6.272936
0.020000,34.664643,19.467014,1.408238,3.481322,2.368246,-19.735387,6.272740
0.020000,34.734660,19.466277,1.478259,3.520793,1.973539,-19.735387,6.272576
0.020000,34.805388,19.465522,1.548991,3.552370,1.578831,-19.735387,6.272444
0.020000,34.876668,19.464752,1.620275,3.576052,1.184123,-19.735387,6.272346
0.020000,34.948343,19.463973,1.691954,3.591840,0.789415,-19.735387,6.272283
0.020000,35.020254,19.463188,1.763870,3.599735,0.394708,-19.735387,6.272256
0.020000,35.092205,19.462401,1.835825,3.595781,-0.197703,-29.620537,6.272264
0.020000,35.163998,19.461618,1.907622,3.583932,-0.592411,-19.735387,6.272307
0.020000,35.235475,19.460844,1.979103,3.564190,-0.987118,-19.735387,6.272386
0.020000,35.306478,19.460081,2.050111,3.536553,-1.381826,-19.735387,6.272499
0.020000,35.376850,19.459333,2.120487,3.501023,-1.776534,-19.735387,6.272646
0.020000,35.446433,19.458606,2.190073,3.457598,-2.171242,-19.735387,6.272824
0.020000,35.515068,19.457902,2.258712,3.406279,-2.565949,-19.735387,6.273033
0.020000,35.582598,19.457224,2.326245,3.347066,-2.960657,-19.735387,6.273270
0.020000,35.648865,19.456576,2.392515,3.279959,-3.355365,-19.735387,6.273533
0.020000,35.713711,19.455959,2.457365,3.204957,-3.750073,-19.735387,6.273820
0.020000,35.776979,19.455376,2.520635,3.122061,-4.144780,-19.735387,6.274128
