dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000078,0.007802,0.390081,19.504043,2.878149
0.020000,36.820000,19.450000,0.000078,0.000000,-0.390081,-39.008085,2.878113
0.020000,36.820000,19.450000,0.000078,0.000000,0.000000,19.504043,2.878034
0.020000,36.820000,19.450000,0.000078,0.000000,0.000000,0.000000,2.877892
0.020000,36.820000,19.450000,0.000078,0.000000,0.000000,0.000000,2.877670
0.020000,36.819100,19.450243,0.001010,0.046621,2.331038,116.551897,2.877352
0.020000,36.815410,19.451243,0.004833,0.191138,7.225875,244.741831,2.876921
0.020000,36.810591,19.452550,0.009826,0.249650,2.925580,-215.014708,2.876360
0.020000,36.804494,19.454209,0.016146,0.315966,3.315789,19.510447,2.875653
0.020000,36.796967,19.456263,0.023947,0.390084,3.705939,19.507488,2.874786
0.020000,36.787862,19.458756,0.033387,0.471994,4.095494,19.477727,2.873746
0.020000,36.777030,19.461736,0.044621,0.561718,4.486205,19.535560,2.872520
0.020000,36.764323,19.465250,0.057806,0.659235,4.875832,19.481358,2.871098
0.020000,36.749591,19.469348,0.073097,0.764561,5.266290,19.522905,2.869471
0.020000,36.732687,19.474082,0.090651,0.877680,5.655943,19.482654,2.867633
0.020000,36.713466,19.479505,0.110623,0.998610,6.046536,19.529655,2.865580
0.020000,36.691779,19.485674,0.133170,1.127329,6.435947,19.470518,2.863311
0.020000,36.667483,19.492648,0.158447,1.263862,6.826640,19.534660,2.860829
0.020000,36.640433,19.500488,0.186611,1.408194,7.216602,19.498086,2.858138
0.020000,36.610559,19.509237,0.217739,1.556422,7.411387,9.739282,2.855257
0.020000,36.577869,19.518917,0.251832,1.704651,7.411461,0.003697,2.852211
0.020000,36.542369,19.529548,0.288890,1.852883,7.411606,0.007261,2.849030
0.020000,36.504067,19.541155,0.328912,2.001118,7.411734,0.006404,2.845745
0.020000,36.462969,19.553757,0.371899,2.149346,7.411392,-0.017143,2.842389
0.020000,36.419082,19.567377,0.417851,2.297571,7.411254,-0.006887,2.838997
0.020000,36.372413,19.582034,0.466767,2.445808,7.411841,0.029352,2.835606
0.020000,36.322969,19.597746,0.518648,2.594035,7.411369,-0.023613,2.832256
0.020000,36.270755,19.614529,0.573493,2.742269,7.411680,0.015552,2.828987
0.020000,36.215775,19.632396,0.631303,2.890498,7.411449,-0.011544,2.825841
0.020000,36.158034,19.651356,0.692077,3.038731,7.411649,0.010002,2.822862
0.020000,36.097533,19.671415,0.755817,3.186959,7.411432,-0.010839,2.820097
0.020000,36.034274,19.692573,0.822521,3.335194,7.411724,0.014597,2.817593
0.020000,35.968255,19.714828,0.892189,3.483421,7.411359,-0.018257,2.815400
0.020000,35.899475,19.738168,0.964822,3.631652,7.411544,0.009281,2.813570
0.020000,35.827926,19.762577,1.040420,3.779884,7.411613,0.003437,2.812157
0.020000,35.753601,19.788031,1.118982,3.928115,7.411556,-0.002882,2.811218
0.020000,35.676490,19.814497,1.200509,4.076346,7.411524,-0.001572,2.810811
0.020000,35.596578,19.841935,1.285000,4.224577,7.411547,0.001167,2.810999
0.020000,35.513921,19.870268,1.372379,4.368906,7.216495,-9.752630,2.811847
0.020000,35.428646,19.899384,1.462487,4.505434,6.826374,-19.506060,2.813419
0.020000,35.340875,19.929159,1.555170,4.634161,6.436356,-19.500857,2.815779
0.020000,35.250730,19.959460,1.650272,4.755084,6.046161,-19.509762,2.818990
0.020000,35.158327,19.990144,1.747636,4.868206,5.656066,-19.504749,2.823115
0.020000,35.063782,20.021057,1.847107,4.973525,5.265961,-19.505260,2.828215
0.020000,34.967208,20.052034,1.948528,5.071046,4.876082,-19.493966,2.834352
0.020000,34.868716,20.082901,2.051743,5.160757,4.485545,-19.526846,2.841586
0.020000,34.768420,20.113476,2.156596,5.242674,4.095827,-19.485891,2.849978
0.020000,34.666430,20.143568,2.262932,5.316780,3.705324,-19.525171,2.859587
0.020000,34.562863,20.172975,2.370594,5.383091,3.315526,-19.489891,2.870471
0.020000,34.457833,20.201491,2.479426,5.441592,2.925075,-19.522537,2.882684
0.020000,34.351463,20.228904,2.589272,5.492299,2.535322,-19.487649,2.896280
0.020000,34.243877,20.254994,2.699975,5.535194,2.144768,-19.527697,2.911305
0.020000,34.135209,20.279540,2.811381,5.570289,1.754723,-19.502235,2.927803
0.020000,34.025599,20.302320,2.923333,5.597590,1.365072,-19.482576,2.945808
0.020000,33.915199,20.323110,3.035674,5.617068,0.973876,-19.559816,2.965344
0.020000,33.804168,20.341694,3.148250,5.628768,0.585015,-19.443033,2.986424
0.020000,33.692737,20.357851,3.260846,5.629822,0.052708,-26.615367,3.009032
0.020000,33.581148,20.371378,3.373251,5.620252,-0.478480,-26.559387,3.033133
0.020000,33.469605,20.382098,3.485309,5.602889,-0.868180,-19.485001,3.058681
0.020000,33.358320,20.389853,3.596863,5.577719,-1.258492,-19.515608,3.085605
0.020000,33.247523,20.394510,3.707758,5.544746,-1.648658,-19.508284,3.113811
0.020000,33.137453,20.395964,3.817838,5.503977,-2.038449,-19.489541,3.143179
0.020000,33.028360,20.394144,3.926946,5.455407,-2.428513,-19.503233,3.173561
0.020000,32.920501,20.389018,4.034927,5.399038,-2.818418,-19.495229,3.204788
0.020000,32.814137,20.380592,4.141624,5.334866,-3.208598,-19.509000,3.236667
0.020000,32.709529,20.368915,4.246882,5.262900,-3.598324,-19.486275,3.268989
0.020000,32.606933,20.354078,4.350545,5.183136,-3.988206,-19.494116,3.301535
0.020000,32.506599,20.336217,4.452456,5.095575,-4.378025,-19.490954,3.334080
0.020000,32.408763,20.315505,4.552461,5.000217,-4.767913,-19.494393,3.366400
0.020000,32.313647,20.292154,4.650402,4.897053,-5.158216,-19.515146,3.398281
