dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000075,0.007504,0.375222,18.761087,2.878149
0.020000,36.820000,19.450000,0.000375,0.022513,0.750443,18.761087,2.878115
0.020000,36.820000,19.450000,0.001051,0.045027,1.125665,18.761087,2.878040
0.020000,36.820000,19.450000,0.002251,0.075044,1.500887,18.761087,2.877906
0.020000,36.820000,19.450000,0.004127,0.112567,1.876109,18.761087,2.877697
0.020000,36.819461,19.450146,0.006829,0.157593,2.251330,18.761087,2.877396
0.020000,36.815912,19.451107,0.010506,0.210124,2.626552,18.761087,2.876988
0.020000,36.811276,19.452364,0.015309,0.270160,3.001774,18.761087,2.876457
0.020000,36.805411,19.453959,0.021388,0.337700,3.376996,18.761087,2.875788
0.020000,36.798171,19.455933,0.028892,0.412744,3.752217,18.761087,2.874968
0.020000,36.789412,19.458330,0.037972,0.495293,4.127439,18.761087,2.873983
0.020000,36.778992,19.461193,0.048779,0.585346,4.502661,18.761087,2.872822
0.020000,36.766767,19.464570,0.061461,0.682904,4.877883,18.761087,2.871473
0.020000,36.752595,19.468505,0.076170,0.787966,5.253104,18.761087,2.869930
0.020000,36.736333,19.473051,0.093055,0.900532,5.628326,18.761087,2.868184
0.020000,36.717840,19.478256,0.112266,1.020603,6.003548,18.761087,2.866233
0.020000,36.696976,19.484175,0.133954,1.148179,6.378770,18.761087,2.864073
0.020000,36.673600,19.490865,0.158269,1.283258,6.753991,18.761087,2.861707
0.020000,36.647573,19.498382,0.185360,1.425843,7.129213,18.761087,2.859138
0.020000,36.618756,19.506788,0.215377,1.575931,7.504435,18.761087,2.856375
0.020000,36.587085,19.516126,0.248397,1.726020,7.504435,-0.000000,2.853435
0.020000,36.552564,19.526416,0.284418,1.876109,7.504435,0.000000,2.850347
0.020000,36.515203,19.537682,0.323441,2.026197,7.504435,-0.000000,2.847139
0.020000,36.475007,19.549945,0.365466,2.176286,7.504435,0.000000,2.843845
0.020000,36.431984,19.563227,0.410493,2.326375,7.504435,-0.000000,2.840498
0.020000,36.386141,19.577549,0.458521,2.476464,7.504435,0.000000,2.837133
0.020000,36.337483,19.592929,0.509551,2.626552,7.504435,-0.000000,2.833789
0.020000,36.286018,19.609384,0.563583,2.776641,7.504435,0.000000,2.830504
0.020000,36.231750,19.626930,0.620617,2.926730,7.504435,0.000000,2.827320
0.020000,36.174684,19.645576,0.680652,3.076818,7.504435,-0.000000,2.824280
0.020000,36.114823,19.665332,0.743690,3.226907,7.504435,0.000000,2.821429
0.020000,36.052167,19.686200,0.809729,3.376996,7.504435,0.000000,2.818812
0.020000,35.986718,19.708178,0.878769,3.527084,7.504435,0.000000,2.816480
0.020000,35.918473,19.731261,0.950812,3.677173,7.504435,-0.000000,2.814480
0.020000,35.847429,19.755433,1.025856,3.827262,7.504435,0.000000,2.812868
0.020000,35.773578,19.780676,1.103902,3.977351,7.504435,0.000000,2.811696
0.020000,35.696910,19.806960,1.184950,4.127439,7.504435,0.000000,2.811022
0.020000,35.617414,19.834250,1.269000,4.277528,7.504435,0.000000,2.810908
0.020000,35.535144,19.862474,1.355976,4.420112,7.129213,-18.761087,2.811414
0.020000,35.450224,19.891527,1.445729,4.555192,6.753991,-18.761087,2.812605
0.020000,35.362771,19.921294,1.538109,4.682767,6.378770,-18.761087,2.814542
0.020000,35.272903,19.951649,1.632965,4.802838,6.003548,-18.761087,2.817287
0.020000,35.180733,19.982456,1.730147,4.915405,5.628326,-18.761087,2.820901
0.020000,35.086371,20.013569,1.829506,5.020467,5.253104,-18.761087,2.825444
0.020000,34.989927,20.044831,1.930891,5.118025,4.877883,-18.761087,2.830976
0.020000,34.891507,20.076076,2.034152,5.208078,4.502661,-18.761087,2.837559
0.020000,34.791217,20.107130,2.139139,5.290627,4.127439,-18.761087,2.845250
0.020000,34.689166,20.137806,2.245702,5.365671,3.752217,-18.761087,2.854109
0.020000,34.585459,20.167912,2.353691,5.433211,3.376996,-18.761087,2.864193
0.020000,34.480206,20.197247,2.462956,5.493246,3.001774,-18.761087,2.875560
0.020000,34.373521,20.225603,2.573346,5.545777,2.626552,-18.761087,2.888263
0.020000,34.265520,20.252766,2.684712,5.590804,2.251330,-18.761087,2.902353
0.020000,34.156325,20.278517,2.796903,5.628326,1.876109,-18.761087,2.917877
0.020000,34.046066,20.302633,2.909770,5.658344,1.500887,-18.761087,2.934875
0.020000,33.934882,20.324892,3.023162,5.680857,1.125665,-18.761087,2.953380
0.020000,33.822920,20.345071,3.136929,5.695866,0.750443,-18.761087,2.973414
0.020000,33.710378,20.362947,3.250885,5.699703,0.191827,-27.930847,2.994979
0.020000,33.597537,20.378298,3.364767,5.688530,-0.558617,-37.522175,3.018043
0.020000,33.484661,20.390926,3.478351,5.669854,-0.933839,-18.761087,3.042561
0.020000,33.371948,20.400666,3.591486,5.643672,-1.309060,-18.761087,3.068477
0.020000,33.259615,20.407371,3.704023,5.609987,-1.684282,-18.761087,3.095714
0.020000,33.147888,20.410921,3.815810,5.568797,-2.059504,-18.761087,3.124169
0.020000,33.037003,20.411227,3.926699,5.520102,-2.434726,-18.761087,3.153716
0.020000,32.927208,20.408232,4.036539,5.463903,-2.809947,-18.761087,3.184203
0.020000,32.818755,20.401918,4.145180,5.400200,-3.185169,-18.761087,3.215456
0.020000,32.711899,20.392307,4.252472,5.328992,-3.560391,-18.761087,3.247282
0.020000,32.606894,20.379462,4.358265,5.250280,-3.935613,-18.761087,3.279475
0.020000,32.503988,20.363487,4.462409,5.164063,-4.310834,-18.761087,3.311817
0.020000,32.403420,20.344529,4.564753,5.070342,-4.686056,-18.761087,3.344090
0.020000,32.305416,20.322771,4.665147,4.969116,-5.061278,-18.761087,3.376079
0.020000,32.210186,20.298432,4.763442,4.860386,-5.436500,-18.761087,3.407580
0.020000,32.117922,20.271761,4.859488,4.744152,-5.811721,-18.761087,3.438402
0.020000,32.028795,20.243033,4.953133,4.620413,-6.186943,-18.761087,3.468377
0.020000,31.942957,20.212544,5.044229,4.489170,-6.562165,-18.761087,3.497355
0.020000,31.860536,20.180603,5.132625,4.350422,-6.937387,-18.761087,3.525212
0.020000,31.781645,20.147530,5.218171,4.204170,-7.312608,-18.761087,3.551847
0.020000,31.706342,20.113634,5.300753,4.054081,-7.504435,-9.591328,3.577194
0.020000,31.634604,20.079189,5.380334,3.903992,-7.504435,0.000000,3.601227
0.020000,31.566367,20.044438,5.456913,3.753904,-7.504435,-0.000000,3.623949
0.020000,31.501555,20.009609,5.530490,3.603815,-7.504435,0.000000,3.645376
0.020000,31.440097,19.974917,5.601066,3.453726,-7.504435,0.000000,3.665532
0.020000,31.381913,19.940557,5.668639,3.303638,-7.504435,0.000000,3.684449
0.020000,31.326923,19.906711,5.733211,3.153549,-7.504435,-0.000000,3.702165
0.020000,31.275051,19.873544,5.794781,3.003460,-7.504435,0.000000,3.718719
0.020000,31.226218,19.841210,5.853350,2.853372,-7.504435,0.000000,3.734154
0.020000,31.180350,19.809845,5.908916,2.703283,-7.504435,-0.000000,3.748514
0.020000,31.137374,19.779578,5.961481,2.553194,-7.504435,0.000000,3.761840
0.020000,31.097223,19.750522,6.011044,2.403105,-7.504435,-0.000000,3.774174
