dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000075,0.007504,0.375222,18.761087,2.878149
0.020000,36.820000,19.450000,0.000075,0.000000,-0.375222,-37.522175,2.878115
0.020000,36.820000,19.450000,0.000075,0.000000,0.000000,18.761087,2.878040
0.020000,36.820000,19.450000,0.000075,0.000000,0.000000,0.000000,2.877906
0.020000,36.820000,19.450000,0.000075,0.000000,0.000000,0.000000,2.877697
0.020000,36.819461,19.450146,0.000633,0.027921,1.396037,69.801871,2.877396
0.020000,36.815912,19.451107,0.004311,0.183855,7.796695,320.032895,2.876988
0.020000,36.811276,19.452364,0.009113,0.240141,2.814325,-249.118531,2.876457
0.020000,36.805411,19.453959,0.015192,0.303930,3.189431,18.755325,2.875788
0.020000,36.798171,19.455933,0.022696,0.375222,3.564605,18.758671,2.874968
0.020000,36.789412,19.458330,0.031777,0.454024,3.940094,18.774462,2.873983
0.020000,36.778992,19.461193,0.042583,0.540316,4.314601,18.725378,2.872822
0.020000,36.766767,19.464570,0.055266,0.634125,4.690465,18.793198,2.871473
0.020000,36.752595,19.468505,0.069974,0.735436,5.065542,18.753825,2.869930
0.020000,36.736333,19.473051,0.086859,0.844248,5.440608,18.753326,2.868184
0.020000,36.717840,19.478256,0.106071,0.960569,5.816030,18.771059,2.866233
0.020000,36.696976,19.484175,0.127759,1.084388,6.190950,18.746011,2.864073
0.020000,36.673600,19.490865,0.152073,1.215720,6.566623,18.783676,2.861707
0.020000,36.647573,19.498382,0.179164,1.354548,6.941377,18.737675,2.859138
0.020000,36.618756,19.506788,0.209182,1.500888,7.317035,18.782900,2.856375
0.020000,36.587085,19.516126,0.242201,1.650974,7.504266,9.361557,2.853435
0.020000,36.552564,19.526416,0.278222,1.801066,7.504636,0.018488,2.850347
0.020000,36.515203,19.537682,0.317245,1.951151,7.504209,-0.021340,2.847139
0.020000,36.475007,19.549945,0.359270,2.101246,7.504794,0.029248,2.843845
0.020000,36.431984,19.563227,0.404297,2.251327,7.504051,-0.037156,2.840498
0.020000,36.386141,19.577549,0.452325,2.401416,7.504415,0.018203,2.837133
0.020000,36.337483,19.592929,0.503355,2.551507,7.504584,0.008473,2.833789
0.020000,36.286018,19.609384,0.557387,2.701596,7.504443,-0.007088,2.830504
0.020000,36.231750,19.626930,0.614421,2.851685,7.504428,-0.000708,2.827320
0.020000,36.174684,19.645576,0.674456,3.001772,7.504360,-0.003437,2.824280
0.020000,36.114823,19.665332,0.737494,3.151862,7.504499,0.006981,2.821429
0.020000,36.052167,19.686200,0.803533,3.301953,7.504539,0.002012,2.818812
0.020000,35.986718,19.708178,0.872574,3.452039,7.504295,-0.012215,2.816480
0.020000,35.918473,19.731261,0.944616,3.602130,7.504585,0.014514,2.814480
0.020000,35.847429,19.755433,1.019660,3.752216,7.504297,-0.014414,2.812868
0.020000,35.773578,19.780676,1.097707,3.902307,7.504544,0.012366,2.811696
0.020000,35.696910,19.806960,1.178755,4.052395,7.504391,-0.007685,2.811022
0.020000,35.617414,19.834250,1.262804,4.202485,7.504471,0.004021,2.810908
0.020000,35.535144,19.862474,1.349781,4.348821,7.316822,-9.382450,2.811414
0.020000,35.450224,19.891527,1.439534,4.487653,6.941595,-18.761360,2.812605
0.020000,35.362771,19.921294,1.531913,4.618979,6.566329,-18.763278,2.814542
0.020000,35.272903,19.951649,1.626769,4.742803,6.191176,-18.757653,2.817287
