dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.000000,19.000000,0.000073,0.007329,0.366458,18.322900,3.141593
0.020000,52.000000,19.000000,0.000073,0.000000,-0.366458,-36.645801,3.141593
0.020000,52.000000,19.000000,0.000073,0.000000,0.000000,18.322900,3.141593
0.020000,51.999801,19.000000,0.000272,0.009937,0.496870,24.843506,3.141593
0.020000,51.997969,19.000000,0.002104,0.091615,4.083855,179.349243,3.141593
0.020000,51.995330,19.000000,0.004743,0.131925,2.015519,-103.416797,3.141593
0.020000,51.991739,19.000000,0.008334,0.179564,2.381977,18.322900,3.141593
0.020000,51.987049,19.000000,0.013025,0.234533,2.748435,18.322900,3.141593
0.020000,51.981185,19.000000,0.018888,0.293166,2.931664,9.161450,3.141593
0.020000,51.974149,19.000000,0.025924,0.351800,2.931664,0.000000,3.141593
0.020000,51.965941,19.000000,0.034133,0.410433,2.931664,0.000000,3.141593
0.020000,51.956559,19.000000,0.043514,0.469066,2.931664,0.000000,3.141593
0.020000,51.946005,19.000000,0.054068,0.527700,2.931664,0.000000,3.141593
0.020000,51.934279,19.000000,0.065795,0.586333,2.931664,0.000000,3.141593
0.020000,51.921379,19.000000,0.078694,0.644966,2.931664,0.000000,3.141593
0.020000,51.907307,19.000000,0.092766,0.703599,2.931664,-0.000000,3.141593
0.020000,51.892063,19.000000,0.108011,0.762233,2.931664,0.000000,3.141593
0.020000,51.875645,19.000000,0.124428,0.820866,2.931664,-0.000000,3.141593
0.020000,51.858055,19.000000,0.142018,0.879499,2.931664,0.000000,3.141593
0.020000,51.839293,19.000000,0.160781,0.938133,2.931664,0.000000,3.141593
0.020000,51.819357,19.000000,0.180716,0.996766,2.931664,0.000000,3.141593
0.020000,51.798249,19.000000,0.201824,1.055399,2.931664,0.000000,3.141593
0.020000,51.775969,19.000000,0.224105,1.114032,2.931664,-0.000000,3.141593
0.020000,51.752515,19.000000,0.247558,1.172666,2.931664,0.000000,3.141593
0.020000,51.727889,19.000000,0.272184,1.231299,2.931664,-0.000000,3.141593
0.020000,51.702091,19.000000,0.297983,1.289932,2.931664,0.000000,3.141593
0.020000,51.675119,19.000000,0.324954,1.348565,2.931664,0.000000,3.141593
0.020000,51.646975,19.000000,0.353098,1.407199,2.931664,-0.000000,3.141593
0.020000,51.617659,19.000000,0.382414,1.465832,2.931664,0.000000,3.141593
0.020000,51.587170,19.000000,0.412904,1.524465,2.931664,-0.000000,3.141593
0.020000,51.555508,19.000000,0.444566,1.583099,2.931664,0.000000,3.141593
0.020000,51.522673,19.000000,0.477400,1.641732,2.931664,-0.000000,3.141593
0.020000,51.488666,19.000000,0.511408,1.700365,2.931664,-0.000000,3.141593
0.020000,51.453486,19.000000,0.546588,1.758998,2.931664,0.000000,3.141593
0.020000,51.417133,19.000000,0.582940,1.817632,2.931664,0.000000,3.141593
0.020000,51.379608,19.000000,0.620466,1.876265,2.931664,0.000000,3.141593
0.020000,51.340910,19.000000,0.659164,1.934898,2.931664,0.000000,3.141593
0.020000,51.301039,19.000000,0.699034,1.993532,2.931664,0.000000,3.141593
0.020000,51.260069,19.000000,0.740004,2.048500,2.748435,-9.161450,3.141593
0.020000,51.218146,19.000000,0.781927,2.096140,2.381977,-18.322900,3.141593
0.020000,51.175417,19.000000,0.824656,2.136450,2.015519,-18.322900,3.141593
0.020000,51.132029,19.000000,0.868045,2.169431,1.649061,-18.322900,3.141593
0.020000,51.088127,19.000000,0.911946,2.195083,1.282603,-18.322900,3.141593
0.020000,51.043859,19.000000,0.956214,2.213406,0.916145,-18.322900,3.141593
0.020000,50.999376,19.000000,1.000697,2.224132,0.536290,-18.992765,3.141593
0.020000,50.954904,19.000000,1.045169,2.223596,-0.026795,-28.154215,3.141593
0.020000,50.910663,19.000000,1.089410,2.212067,-0.576482,-27.484351,3.141593
0.020000,50.866799,19.000000,1.133274,2.193208,-0.942940,-18.322900,3.141593
0.020000,50.823458,19.000000,1.176615,2.167020,-1.309398,-18.322900,3.141593
