dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,52.000000,19.000000,0.000073,0.007329,0.366458,18.322900,3.141593
0.020000,52.000000,19.000000,0.000366,0.021987,0.732916,18.322900,3.141593
0.020000,52.000000,19.000000,0.001026,0.043975,1.099374,18.322900,3.141593
0.020000,51.999801,19.000000,0.002199,0.073292,1.465832,18.322900,3.141593
0.020000,51.997969,19.000000,0.004031,0.109937,1.832290,18.322900,3.141593
0.020000,51.995330,19.000000,0.006670,0.153912,2.198748,18.322900,3.141593
0.020000,51.991739,19.000000,0.010261,0.205216,2.565206,18.322900,3.141593
0.020000,51.987049,19.000000,0.014951,0.263850,2.931664,18.322900,3.141593
0.020000,51.981185,19.000000,0.020815,0.322483,2.931664,0.000000,3.141593
0.020000,51.974149,19.000000,0.027851,0.381116,2.931664,0.000000,3.141593
0.020000,51.965941,19.000000,0.036059,0.439750,2.931664,0.000000,3.141593
0.020000,51.956559,19.000000,0.045441,0.498383,2.931664,-0.000000,3.141593
0.020000,51.946005,19.000000,0.055995,0.557016,2.931664,0.000000,3.141593
0.020000,51.934279,19.000000,0.067721,0.615649,2.931664,0.000000,3.141593
0.020000,51.921379,19.000000,0.080621,0.674283,2.931664,0.000000,3.141593
0.020000,51.907307,19.000000,0.094693,0.732916,2.931664,0.000000,3.141593
0.020000,51.892063,19.000000,0.109937,0.791549,2.931664,-0.000000,3.141593
0.020000,51.875645,19.000000,0.126355,0.850183,2.931664,0.000000,3.141593
0.020000,51.858055,19.000000,0.143945,0.908816,2.931664,-0.000000,3.141593
0.020000,51.839293,19.000000,0.162707,0.967449,2.931664,0.000000,3.141593
0.020000,51.819357,19.000000,0.182643,1.026082,2.931664,-0.000000,3.141593
0.020000,51.798249,19.000000,0.203751,1.084716,2.931664,0.000000,3.141593
0.020000,51.775969,19.000000,0.226031,1.143349,2.931664,0.000000,3.141593
0.020000,51.752515,19.000000,0.249485,1.201982,2.931664,-0.000000,3.141593
0.020000,51.727889,19.000000,0.274111,1.260616,2.931664,0.000000,3.141593
0.020000,51.702091,19.000000,0.299909,1.319249,2.931664,0.000000,3.141593
0.020000,51.675119,19.000000,0.326881,1.377882,2.931664,0.000000,3.141593
0.020000,51.646975,19.000000,0.355025,1.436515,2.931664,-0.000000,3.141593
0.020000,51.617659,19.000000,0.384341,1.495149,2.931664,0.000000,3.141593
0.020000,51.587170,19.000000,0.414830,1.553782,2.931664,-0.000000,3.141593
0.020000,51.555508,19.000000,0.446492,1.612415,2.931664,0.000000,3.141593
0.020000,51.522673,19.000000,0.479327,1.671049,2.931664,-0.000000,3.141593
0.020000,51.488666,19.000000,0.513334,1.729682,2.931664,0.000000,3.141593
0.020000,51.453486,19.000000,0.548514,1.788315,2.931664,0.000000,3.141593
0.020000,51.417133,19.000000,0.584867,1.846948,2.931664,-0.000000,3.141593
