dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,12.500000,0.000008,0.000794,0.039683,1.984127,6.283166
0.020000,1.000000,12.500000,0.000040,0.002381,0.079365,1.984127,6.283166
0.020000,1.000000,12.500000,0.000111,0.004762,0.119048,1.984127,6.283167
0.020000,1.000000,12.500000,0.000238,0.007937,0.158730,1.984127,6.283167
0.020000,1.000000,12.500000,0.000437,0.011905,0.198413,1.984127,6.283167
0.020000,1.000000,12.500000,0.000722,0.016667,0.238095,1.984127,6.283167
0.020000,1.000000,12.500000,0.001111,0.022222,0.277778,1.984127,6.283168
0.020000,1.000000,12.500000,0.001619,0.028571,0.317460,1.984127,6.283169
0.020000,1.000000,12.500000,0.002262,0.035714,0.357143,1.984127,6.283169
0.020000,1.000000,12.500000,0.003056,0.043651,0.396825,1.984127,6.283171
0.020000,1.000000,12.500000,0.004016,0.052381,0.436508,1.984127,6.283172
0.020000,1.000000,12.500000,0.005159,0.061905,0.476190,1.984127,6.283173
0.020000,1.000000,12.500000,0.006500,0.072222,0.515873,1.984127,6.283175
0.020000,1.000000,12.500000,0.008056,0.083333,0.555556,1.984127,6.283177
0.020000,1.000000,12.500000,0.009841,0.095238,0.595238,1.984127,6.283180
0.020000,1.000000,12.500000,0.011873,0.107937,0.634921,1.984127,6.283182
0.020000,1.000167,12.500000,0.014167,0.121429,0.674603,1.984127,0.000000
0.020000,1.002738,12.500000,0.016738,0.135714,0.714286,1.984127,0.000004
0.020000,1.005603,12.500000,0.019603,0.150794,0.753968,1.984127,0.000008
0.020000,1.008778,12.500000,0.022778,0.166667,0.793651,1.984127,0.000012
0.020000,1.012278,12.500000,0.026278,0.183333,0.833333,1.984127,0.000017
0.020000,1.016119,12.500000,0.030119,0.200794,0.873016,1.984127,0.000022
0.020000,1.020317,12.500000,0.034317,0.219048,0.912698,1.984127,0.000027
0.020000,1.024889,12.500000,0.038889,0.238095,0.952381,1.984127,0.000034
0.020000,1.029849,12.500001,0.043849,0.257937,0.992063,1.984127,0.000040
0.020000,1.035214,12.500001,0.049214,0.278571,1.031746,1.984127,0.000047
0.020000,1.041000,12.500001,0.055000,0.300000,1.071429,1.984127,0.000055
0.020000,1.047222,12.500002,0.061222,0.322222,1.111111,1.984127,0.000063
0.020000,1.053897,12.500002,0.067897,0.345238,1.150794,1.984127,0.000072
0.020000,1.061040,12.500003,0.075040,0.369048,1.190476,1.984127,0.000082
0.020000,1.068667,12.500003,0.082667,0.393651,1.230159,1.984127,0.000092
0.020000,1.076794,12.500004,0.090794,0.419048,1.269841,1.984127,0.000103
0.020000,1.085437,12.500005,0.099437,0.445238,1.309524,1.984127,0.000114
0.020000,1.094611,12.500006,0.108611,0.472222,1.349206,1.984127,0.000127
0.020000,1.104333,12.500007,0.118333,0.500000,1.388889,1.984127,0.000139
0.020000,1.114619,12.500009,0.128619,0.528571,1.428571,1.984127,0.000153
0.020000,1.125484,12.500011,0.139484,0.557937,1.468254,1.984127,0.000167
0.020000,1.136944,12.500013,0.150944,0.588095,1.507937,1.984127,0.000182
0.020000,1.149016,12.500015,0.163016,0.619048,1.547619,1.984127,0.000198
0.020000,1.161714,12.500017,0.175714,0.650794,1.587302,1.984127,0.000215
0.020000,1.175056,12.500020,0.189056,0.683333,1.626984,1.984127,0.000232
0.020000,1.189056,12.500024,0.203056,0.716667,1.666667,1.984127,0.000250
0.020000,1.203730,12.500028,0.217730,0.750794,1.706349,1.984127,0.000269
0.020000,1.219095,12.500032,0.233095,0.785714,1.746032,1.984127,0.000289
0.020000,1.235167,12.500037,0.249167,0.821429,1.785714,1.984127,0.000310
0.020000,1.251960,12.500042,0.265960,0.857937,1.825397,1.984127,0.000331
0.020000,1.269492,12.500048,0.283492,0.895238,1.865079,1.984127,0.000354
0.020000,1.287778,12.500055,0.301778,0.933333,1.904762,1.984127,0.000377
0.020000,1.306833,12.500062,0.320833,0.972222,1.944444,1.984127,0.000401
0.020000,1.326675,12.500070,0.340675,1.011905,1.984127,1.984127,0.000426
0.020000,1.347317,12.500079,0.361317,1.052381,2.023810,1.984127,0.000452
0.020000,1.368778,12.500089,0.382778,1.093651,2.063492,1.984127,0.000479
0.020000,1.391071,12.500100,0.405071,1.135714,2.103175,1.984127,0.000506
0.020000,1.414214,12.500112,0.428214,1.178571,2.142857,1.984127,0.000535
0.020000,1.438222,12.500126,0.452222,1.222222,2.182540,1.984127,0.000564
0.020000,1.463111,12.500140,0.477111,1.266667,2.222222,1.984127,0.000595
0.020000,1.488897,12.500156,0.502897,1.311905,2.261905,1.984127,0.000626
0.020000,1.515595,12.500173,0.529595,1.357937,2.301587,1.984127,0.000658
0.020000,1.543222,12.500192,0.557222,1.404762,2.341270,1.984127,0.000691
0.020000,1.571794,12.500212,0.585794,1.452381,2.380952,1.984127,0.000725
0.020000,1.601325,12.500234,0.615325,1.500794,2.420635,1.984127,0.000760
0.020000,1.631833,12.500258,0.645833,1.550000,2.460317,1.984127,0.000796
0.020000,1.663333,12.500283,0.677333,1.600000,2.500000,1.984127,0.000833
0.020000,1.695833,12.500311,0.709833,1.650000,2.500000,-0.000000,0.000870
0.020000,1.729333,12.500341,0.743333,1.700000,2.500000,0.000000,0.000908
0.020000,1.763833,12.500373,0.777833,1.750000,2.500000,0.000000,0.000948
0.020000,1.799333,12.500407,0.813333,1.800000,2.500000,-0.000000,0.000988
0.020000,1.835833,12.500444,0.849833,1.850000,2.500000,0.000000,0.001028
0.020000,1.873333,12.500483,0.887333,1.900000,2.500000,-0.000000,0.001070
0.020000,1.911833,12.500525,0.925833,1.950000,2.500000,0.000000,0.001112
0.020000,1.951333,12.500570,0.965333,2.000000,2.500000,-0.000000,0.001154
0.020000,1.991833,12.500618,1.005833,2.050000,2.500000,0.000000,0.001198
0.020000,2.033333,12.500668,1.047333,2.100000,2.500000,0.000000,0.001242
0.020000,2.075833,12.500722,1.089833,2.150000,2.500000,-0.000000,0.001286
0.020000,2.119333,12.500779,1.133333,2.200000,2.500000,0.000000,0.001331
0.020000,2.163833,12.500839,1.177833,2.250000,2.500000,-0.000000,0.001376
0.020000,2.209333,12.500903,1.223333,2.300000,2.500000,0.000000,0.001422
