dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,12.500000,0.000008,0.000800,0.039978,1.998907,6.283166
0.020000,1.000000,12.500000,0.000008,0.000000,-0.039978,-3.997815,6.283166
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,1.998907,6.283167
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283167
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283167
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283167
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283168
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283169
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283169
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283171
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283172
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283173
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283175
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283177
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283180
0.020000,1.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283183
0.020000,1.000272,12.500000,0.000280,0.013610,0.680496,34.024785,0.000000
0.020000,1.002863,12.500000,0.002871,0.129529,5.795964,255.773417,0.000004
0.020000,1.005749,12.500000,0.005757,0.144321,0.739596,-252.818416,0.000008
0.020000,1.008947,12.500000,0.008955,0.159913,0.779574,1.998907,0.000012
0.020000,1.012474,12.500000,0.012482,0.176304,0.819552,1.998907,0.000017
0.020000,1.016343,12.500000,0.016351,0.193494,0.859530,1.998907,0.000022
0.020000,1.020573,12.500000,0.020581,0.211484,0.899508,1.998907,0.000028
0.020000,1.025179,12.500000,0.025187,0.230274,0.939486,1.998907,0.000034
0.020000,1.030176,12.500001,0.030184,0.249863,0.979465,1.998907,0.000041
0.020000,1.035573,12.500001,0.035581,0.269852,0.999454,0.999454,0.000048
0.020000,1.041370,12.500001,0.041378,0.289842,0.999454,0.000000,0.000056
0.020000,1.047566,12.500002,0.047574,0.309831,0.999454,-0.000001,0.000064
0.020000,1.054163,12.500002,0.054171,0.329820,0.999454,0.000001,0.000073
0.020000,1.061159,12.500003,0.061167,0.349809,0.999454,-0.000001,0.000082
0.020000,1.068555,12.500003,0.068563,0.369798,0.999454,0.000001,0.000092
0.020000,1.076351,12.500004,0.076359,0.389787,0.999454,-0.000001,0.000102
0.020000,1.084546,12.500005,0.084554,0.409776,0.999454,0.000001,0.000113
0.020000,1.093141,12.500006,0.093149,0.429765,0.999454,-0.000001,0.000125
0.020000,1.102137,12.500007,0.102145,0.449754,0.999454,0.000001,0.000136
0.020000,1.111531,12.500008,0.111539,0.469743,0.999454,0.000000,0.000149
0.020000,1.121326,12.500010,0.121334,0.489732,0.999454,-0.000001,0.000162
0.020000,1.131520,12.500012,0.131528,0.509721,0.999454,0.000001,0.000175
0.020000,1.142115,12.500014,0.142123,0.529710,0.999454,-0.000000,0.000189
0.020000,1.153109,12.500016,0.153117,0.549700,0.999454,-0.000000,0.000203
0.020000,1.164502,12.500018,0.164510,0.569689,0.999454,-0.000001,0.000218
0.020000,1.176296,12.500021,0.176304,0.589678,0.999454,0.000001,0.000234
0.020000,1.188489,12.500024,0.188497,0.609667,0.999454,-0.000000,0.000250
0.020000,1.201082,12.500027,0.201090,0.629656,0.999454,-0.000000,0.000266
0.020000,1.214075,12.500030,0.214083,0.649645,0.999454,-0.000000,0.000283
0.020000,1.227468,12.500034,0.227476,0.669634,0.999454,-0.000000,0.000300
0.020000,1.241260,12.500039,0.241268,0.689623,0.999454,-0.000000,0.000318
0.020000,1.255453,12.500043,0.255461,0.709612,0.999454,-0.000000,0.000336
0.020000,1.270045,12.500048,0.270053,0.729601,0.999454,0.000000,0.000354
0.020000,1.285037,12.500054,0.285045,0.749590,0.999454,0.000000,0.000373
0.020000,1.300428,12.500060,0.300436,0.769579,0.999454,0.000000,0.000393
0.020000,1.316219,12.500066,0.316227,0.789568,0.999454,0.000000,0.000413
0.020000,1.332411,12.500073,0.332419,0.809557,0.999454,0.000000,0.000433
0.020000,1.349002,12.500080,0.349010,0.829547,0.999454,0.000000,0.000454
0.020000,1.365992,12.500088,0.366000,0.849536,0.999454,-0.000002,0.000475
0.020000,1.383383,12.500097,0.383391,0.869525,0.999454,0.000001,0.000497
0.020000,1.401173,12.500106,0.401181,0.889514,0.999454,0.000001,0.000519
0.020000,1.419363,12.500115,0.419371,0.909503,0.999454,0.000000,0.000541
0.020000,1.437953,12.500126,0.437961,0.929492,0.999454,-0.000004,0.000564
0.020000,1.456943,12.500136,0.456951,0.949481,0.999454,0.000004,0.000587
0.020000,1.476332,12.500148,0.476340,0.969470,0.999454,0.000001,0.000611
0.020000,1.496121,12.500160,0.496129,0.989459,0.999454,-0.000006,0.000635
0.020000,1.516310,12.500173,0.516318,1.009448,0.999454,0.000007,0.000659
0.020000,1.536899,12.500187,0.536907,1.029437,0.999454,-0.000006,0.000684
0.020000,1.557887,12.500202,0.557895,1.049426,0.999454,0.000005,0.000709
0.020000,1.579276,12.500217,0.579284,1.069415,0.999454,-0.000004,0.000734
0.020000,1.601064,12.500234,0.601072,1.089404,0.999454,0.000005,0.000760
0.020000,1.623252,12.500251,0.623260,1.109394,0.999454,-0.000007,0.000786
0.020000,1.645839,12.500269,0.645847,1.129383,0.999454,0.000008,0.000812
0.020000,1.668827,12.500288,0.668835,1.149372,0.999454,-0.000006,0.000839
0.020000,1.692214,12.500308,0.692222,1.169361,0.999454,0.000002,0.000866
0.020000,1.716001,12.500329,0.716009,1.189350,0.999454,0.000003,0.000893
0.020000,1.740188,12.500351,0.740196,1.209339,0.999454,-0.000004,0.000921
0.020000,1.764774,12.500374,0.764782,1.229328,0.999454,-0.000000,0.000949
0.020000,1.789761,12.500398,0.789769,1.249317,0.999454,0.000003,0.000977
0.020000,1.815147,12.500423,0.815155,1.269306,0.999454,-0.000000,0.001005
0.020000,1.840933,12.500449,0.840941,1.289295,0.999454,-0.000000,0.001034
0.020000,1.867118,12.500477,0.867126,1.309284,0.999454,-0.000002,0.001063
0.020000,1.893704,12.500505,0.893712,1.329273,0.999454,0.000000,0.001092
0.020000,1.920689,12.500535,0.920697,1.349262,0.999454,0.000002,0.001121
0.020000,1.948074,12.500566,0.948082,1.369252,0.999454,-0.000000,0.001151
0.020000,1.975859,12.500599,0.975867,1.389241,0.999454,-0.000000,0.001181
0.020000,2.004043,12.500632,1.004051,1.409230,0.999454,-0.000000,0.001211
0.020000,2.032628,12.500667,1.032636,1.429219,0.999454,0.000000,0.001241
0.020000,2.061612,12.500704,1.061620,1.449208,0.999454,0.000000,0.001271
0.020000,2.090996,12.500741,1.091004,1.469197,0.999454,0.000000,0.001302
0.020000,2.120779,12.500781,1.120788,1.489186,0.999454,-0.000002,0.001332
0.020000,2.150963,12.500821,1.150971,1.509175,0.999454,-0.000001,0.001363
0.020000,2.181546,12.500864,1.181554,1.529164,0.999454,0.000003,0.001394
0.020000,2.212529,12.500907,1.212538,1.549153,0.999454,0.000001,0.001425
0.020000,2.243912,12.500952,1.243920,1.569142,0.999454,0.000001,0.001457
