dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,7.500000,0.000008,0.000799,0.039960,1.998004,0.000000
0.020000,1.000000,7.500000,0.000040,0.002398,0.079920,1.998004,0.000000
0.020000,1.000000,7.500000,0.000112,0.004795,0.119880,1.998004,0.000000
0.020000,1.000000,7.500000,0.000240,0.007992,0.159840,1.998004,0.000000
0.020000,1.000000,7.500000,0.000440,0.011988,0.199800,1.998004,0.000000
0.020000,1.000000,7.500000,0.000727,0.016783,0.239760,1.998004,0.000000
0.020000,1.000000,7.500000,0.001119,0.022378,0.279721,1.998004,0.000000
0.020000,1.000000,7.500000,0.001630,0.028771,0.319681,1.998004,0.000000
0.020000,1.000000,7.500000,0.002278,0.035964,0.359641,1.998004,0.000000
0.020000,1.000000,7.500000,0.003077,0.043956,0.399601,1.998004,0.000000
0.020000,1.000000,7.500000,0.004044,0.052747,0.439561,1.998004,0.000000
0.020000,1.000000,7.500000,0.005195,0.062338,0.479521,1.998004,0.000000
0.020000,1.000000,7.500000,0.006545,0.072727,0.519481,1.998004,0.000000
0.020000,1.001512,7.500000,0.008112,0.083916,0.559441,1.998004,6.283185
0.020000,1.003310,7.500000,0.009910,0.095904,0.599401,1.998004,6.283185
0.020000,1.005356,7.500000,0.011956,0.108691,0.639361,1.998004,6.283185
0.020000,1.007666,7.500000,0.014266,0.122278,0.679321,1.998004,6.283185
0.020000,1.010255,7.500000,0.016855,0.136663,0.719281,1.998004,6.283185
0.020000,1.013140,7.500000,0.019740,0.151848,0.759242,1.998004,6.283185
0.020000,1.016337,7.500000,0.022937,0.167832,0.799202,1.998004,6.283185
0.020000,1.019862,7.500000,0.026462,0.184616,0.839162,1.998004,6.283185
0.020000,1.023730,7.500000,0.030330,0.202198,0.879122,1.998004,6.283185
0.020000,1.027957,7.500000,0.034557,0.220580,0.919082,1.998004,6.283185
0.020000,1.032561,7.500000,0.039161,0.239760,0.959042,1.998004,6.283185
0.020000,1.037556,7.500000,0.044156,0.259741,0.999002,1.998004,6.283185
0.020000,1.042950,7.500000,0.049550,0.279721,0.999002,-0.000000,6.283185
0.020000,1.048745,7.500000,0.055345,0.299701,0.999002,0.000000,6.283184
0.020000,1.054939,7.500000,0.061539,0.319681,0.999002,-0.000000,6.283184
0.020000,1.061532,7.500000,0.068132,0.339661,0.999002,0.000000,6.283184
0.020000,1.068525,7.500000,0.075125,0.359641,0.999002,-0.000000,6.283184
0.020000,1.075918,7.500000,0.082518,0.379621,0.999002,0.000000,6.283184
0.020000,1.083710,7.500000,0.090310,0.399601,0.999002,0.000000,6.283184
0.020000,1.091902,7.500000,0.098502,0.419581,0.999002,-0.000000,6.283184
0.020000,1.100493,7.500000,0.107093,0.439561,0.999002,0.000000,6.283184
0.020000,1.109484,7.500000,0.116084,0.459541,0.999002,-0.000000,6.283183
0.020000,1.118875,7.500000,0.125475,0.479521,0.999002,-0.000000,6.283183
0.020000,1.128665,7.500000,0.135265,0.499501,0.999002,0.000000,6.283183
0.020000,1.138855,7.500000,0.145455,0.519481,0.999002,0.000000,6.283183
0.020000,1.149444,7.500000,0.156044,0.539461,0.999002,-0.000000,6.283183
0.020000,1.160433,7.500000,0.167033,0.559441,0.999002,0.000000,6.283183
0.020000,1.171822,7.500000,0.178422,0.579421,0.999002,0.000000,6.283183
0.020000,1.183610,7.500000,0.190210,0.599401,0.999002,-0.000000,6.283182
0.020000,1.195798,7.500000,0.202398,0.619381,0.999002,0.000000,6.283182
0.020000,1.208385,7.500000,0.214985,0.639361,0.999002,-0.000000,6.283182
0.020000,1.221372,7.500000,0.227972,0.659341,0.999002,0.000000,6.283182
0.020000,1.234759,7.500000,0.241359,0.679321,0.999002,-0.000000,6.283182
0.020000,1.248545,7.499999,0.255145,0.699301,0.999002,-0.000000,6.283181
