dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,6.433131,0.000008,0.000785,0.039249,1.962466,0.000000
0.020000,0.000000,6.433131,0.000008,0.000000,-0.039247,-3.924815,0.000000
0.020000,0.000000,6.433131,0.000008,0.000000,0.000003,1.962495,0.000000
0.020000,0.000000,6.433131,0.000008,0.000000,0.000004,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000000,0.000005,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000000,0.000006,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000001,0.000008,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000001,0.000009,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000001,0.000010,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000001,0.000011,0.000058,0.000000
0.020000,0.000000,6.433131,0.000008,0.000001,0.000012,0.000057,0.000000
0.020000,0.000000,6.433131,0.000008,0.000002,0.000013,0.000057,0.000000
0.020000,0.000000,6.433131,0.000008,0.000002,0.000014,0.000057,0.000000
0.020000,0.000368,6.433131,0.000376,0.018378,0.918815,45.940010,6.283185
0.020000,0.002134,6.433131,0.002142,0.088308,3.496505,128.884521,6.283185
0.020000,0.004143,6.433131,0.004151,0.100475,0.608347,-144.407928,6.283185
0.020000,0.006412,6.433131,0.006420,0.113427,0.647595,1.962410,6.283185
0.020000,0.008955,6.433131,0.008963,0.127164,0.686843,1.962410,6.283185
0.020000,0.011789,6.433131,0.011797,0.141686,0.726091,1.962411,6.283185
0.020000,0.014929,6.433131,0.014937,0.156993,0.765339,1.962411,6.283185
0.020000,0.018390,6.433131,0.018398,0.173084,0.804588,1.962412,6.283185
0.020000,0.022190,6.433131,0.022198,0.189961,0.843836,1.962412,6.283185
0.020000,0.026342,6.433131,0.026350,0.207623,0.883084,1.962413,6.283185
0.020000,0.030863,6.433131,0.030871,0.226069,0.922332,1.962414,6.283184
0.020000,0.035769,6.433131,0.035777,0.245301,0.961581,1.962415,6.283184
0.020000,0.041076,6.433131,0.041084,0.265318,1.000829,1.962415,6.283184
0.020000,0.046798,6.433131,0.046806,0.286119,1.040077,1.962416,6.283184
0.020000,0.052952,6.433131,0.052960,0.307706,1.079326,1.962417,6.283184
0.020000,0.059554,6.433131,0.059562,0.330077,1.118574,1.962419,6.283184
0.020000,0.066619,6.433131,0.066627,0.353234,1.157822,1.962420,6.283183
