dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,10.000000,0.000008,0.000800,0.040000,2.000000,6.281858
0.020000,1.000000,10.000000,0.000008,0.000000,-0.040000,-4.000000,6.281862
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,2.000000,6.281868
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.281881
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.281900
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.281927
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.281964
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282013
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282074
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282150
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282242
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282351
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282480
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282628
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282799
0.020000,1.000000,10.000000,0.000008,0.000000,0.000000,0.000000,6.282993
0.020000,1.000280,10.000000,0.000288,0.014000,0.700000,34.999985,0.000027
0.020000,1.002872,10.000000,0.002880,0.129600,5.779998,253.999892,0.000272
0.020000,1.005760,10.000002,0.005768,0.144400,0.740000,-251.999867,0.000545
0.020000,1.008960,10.000004,0.008968,0.160000,0.780001,2.000039,0.000848
0.020000,1.012488,10.000007,0.012496,0.176400,0.820002,2.000062,0.001181
0.020000,1.016360,10.000013,0.016368,0.193600,0.859994,1.999577,0.001546
0.020000,1.020592,10.000020,0.020600,0.211600,0.899999,2.000239,0.001945
0.020000,1.025200,10.000030,0.025208,0.230400,0.940009,2.000510,0.002380
0.020000,1.030200,10.000043,0.030208,0.250000,0.979995,1.999288,0.002850
0.020000,1.035600,10.000060,0.035608,0.270000,0.999992,0.999888,0.003358
0.020000,1.041400,10.000081,0.041408,0.290000,1.000025,0.001628,0.003903
0.020000,1.047600,10.000107,0.047608,0.310000,0.999962,-0.003127,0.004484
0.020000,1.054200,10.000139,0.054208,0.330000,1.000035,0.003615,0.005102
0.020000,1.061200,10.000177,0.061208,0.350000,0.999968,-0.003337,0.005757
0.020000,1.068600,10.000222,0.068608,0.370000,1.000038,0.003492,0.006448
0.020000,1.076399,10.000275,0.076408,0.389999,0.999953,-0.004247,0.007175
