dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,10.000000,0.000008,0.000798,0.039911,1.995570,6.281858
0.020000,1.000000,10.000000,0.000040,0.002395,0.079823,1.995570,6.281862
0.020000,1.000000,10.000000,0.000112,0.004789,0.119734,1.995570,6.281868
0.020000,1.000000,10.000000,0.000239,0.007982,0.159646,1.995570,6.281880
0.020000,1.000000,10.000000,0.000439,0.011973,0.199557,1.995570,6.281899
0.020000,1.000000,10.000000,0.000726,0.016763,0.239468,1.995570,6.281927
0.020000,1.000000,10.000000,0.001118,0.022350,0.279380,1.995570,6.281964
0.020000,1.000000,10.000000,0.001628,0.028736,0.319291,1.995570,6.282012
0.020000,1.000000,10.000000,0.002275,0.035920,0.359203,1.995570,6.282074
0.020000,1.000000,10.000000,0.003073,0.043903,0.399114,1.995570,6.282149
0.020000,1.000000,10.000000,0.004039,0.052683,0.439025,1.995570,6.282241
0.020000,1.000000,10.000000,0.005188,0.062262,0.478937,1.995570,6.282350
0.020000,1.000000,10.000000,0.006537,0.072639,0.518848,1.995570,6.282478
0.020000,1.000000,10.000000,0.008102,0.083814,0.558760,1.995570,6.282626
0.020000,1.000000,10.000000,0.009898,0.095787,0.598671,1.995570,6.282797
0.020000,1.000000,10.000000,0.011941,0.108559,0.638582,1.995570,6.282990
0.020000,1.000248,10.000000,0.014248,0.122129,0.678494,1.995570,0.000024
0.020000,1.002835,10.000000,0.016835,0.136497,0.718405,1.995570,0.000268
0.020000,1.005716,10.000002,0.019716,0.151663,0.758316,1.995570,0.000541
0.020000,1.008909,10.000004,0.022909,0.167628,0.798228,1.995570,0.000843
0.020000,1.012429,10.000007,0.026429,0.184391,0.838139,1.995570,0.001175
0.020000,1.016293,10.000013,0.030293,0.201952,0.878051,1.995570,0.001540
0.020000,1.020515,10.000020,0.034515,0.220311,0.917962,1.995570,0.001938
0.020000,1.025113,10.000030,0.039113,0.239468,0.957873,1.995570,0.002371
0.020000,1.030102,10.000043,0.044102,0.259424,0.997785,1.995570,0.002841
0.020000,1.035490,10.000059,0.049490,0.279380,0.997785,-0.000000,0.003348
0.020000,1.041277,10.000080,0.055277,0.299335,0.997785,0.000000,0.003891
0.020000,1.047463,10.000106,0.061464,0.319291,0.997785,0.000000,0.004471
0.020000,1.054049,10.000138,0.068049,0.339247,0.997785,0.000000,0.005088
0.020000,1.061033,10.000176,0.075033,0.359203,0.997785,-0.000000,0.005741
0.020000,1.068417,10.000221,0.082417,0.379158,0.997785,0.000000,0.006431
0.020000,1.076199,10.000273,0.090200,0.399114,0.997785,-0.000000,0.007156
0.020000,1.084381,10.000335,0.098382,0.419070,0.997785,0.000000,0.007917
0.020000,1.092961,10.000406,0.106963,0.439025,0.997785,-0.000000,0.008714
0.020000,1.101941,10.000488,0.115943,0.458981,0.997785,0.000000,0.009547
0.020000,1.111320,10.000582,0.125322,0.478937,0.997785,-0.000000,0.010414
0.020000,1.121097,10.000688,0.135100,0.498892,0.997785,0.000000,0.011317
0.020000,1.131274,10.000808,0.145277,0.518848,0.997785,0.000000,0.012254
0.020000,1.141850,10.000943,0.155854,0.538804,0.997785,-0.000000,0.013226
0.020000,1.152824,10.001094,0.166830,0.558760,0.997785,0.000000,0.014232
0.020000,1.164198,10.001261,0.178204,0.578715,0.997785,-0.000000,0.015273
0.020000,1.175970,10.001448,0.189978,0.598671,0.997785,0.000000,0.016346
0.020000,1.188141,10.001653,0.202151,0.618627,0.997785,0.000000,0.017453
