dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.998620,8.960001,0.000008,0.000794,0.039683,1.984127,6.281858
0.020000,0.998623,8.960001,0.000011,0.000157,-0.031844,-3.576317,6.281861
0.020000,0.998630,8.960001,0.000018,0.000353,0.009798,2.082101,6.281868
0.020000,0.998643,8.960001,0.000031,0.000627,0.013717,0.195937,6.281880
0.020000,0.998662,8.960001,0.000050,0.000980,0.017635,0.195896,6.281899
0.020000,0.998691,8.960001,0.000078,0.001411,0.021551,0.195827,6.281926
0.020000,0.998729,8.960001,0.000117,0.001920,0.025466,0.195726,6.281963
0.020000,0.998779,8.960001,0.000167,0.002508,0.029378,0.195585,6.282011
0.020000,0.998843,8.960001,0.000231,0.003173,0.033286,0.195397,6.282072
0.020000,0.998921,8.960001,0.000309,0.003917,0.037189,0.195156,6.282148
0.020000,0.999016,8.960000,0.000404,0.004739,0.041086,0.194855,6.282239
0.020000,0.999129,8.960000,0.000516,0.005638,0.044976,0.194488,6.282347
0.020000,0.999261,8.960000,0.000649,0.006616,0.048857,0.194048,6.282475
0.020000,0.999414,8.960000,0.000802,0.007670,0.052727,0.193528,6.282622
0.020000,0.999590,8.960000,0.000978,0.008802,0.056585,0.192921,6.282791
0.020000,0.999791,8.960000,0.001178,0.010010,0.060430,0.192221,6.282984
0.020000,1.000183,8.960000,0.001571,0.019629,0.480925,21.024744,0.000016
0.020000,1.003008,8.960000,0.004395,0.141228,6.079971,279.952287,0.000259
0.020000,1.006155,8.960002,0.007542,0.157348,0.805986,-263.699248,0.000530
0.020000,1.009641,8.960004,0.011029,0.174337,0.849436,2.172516,0.000830
0.020000,1.013485,8.960008,0.014873,0.192194,0.892861,2.171269,0.001161
0.020000,1.017704,8.960013,0.019091,0.210919,0.936249,2.169388,0.001524
0.020000,1.022314,8.960021,0.023702,0.230511,0.979617,2.168400,0.001920
0.020000,1.027333,8.960032,0.028721,0.250970,1.022960,2.167156,0.002350
0.020000,1.032779,8.960046,0.034167,0.272295,1.066242,2.164075,0.002817
0.020000,1.038669,8.960064,0.040057,0.294485,1.109486,2.162231,0.003322
0.020000,1.045020,8.960087,0.046407,0.317540,1.152735,2.162423,0.003865
0.020000,1.051849,8.960116,0.053237,0.341456,1.195834,2.154976,0.004449
0.020000,1.059173,8.960150,0.060561,0.366237,1.239014,2.158993,0.005074
0.020000,1.067011,8.960193,0.068399,0.391877,1.282008,2.149679,0.005742
0.020000,1.075378,8.960244,0.076766,0.418378,1.325074,2.153333,0.006454
0.020000,1.084293,8.960305,0.085681,0.445737,1.367916,2.142099,0.007211
0.020000,1.093771,8.960377,0.095160,0.473955,1.410893,2.148849,0.008015
0.020000,1.103832,8.960462,0.105221,0.503026,1.453583,2.134503,0.008867
0.020000,1.114490,8.960561,0.115880,0.532953,1.496347,2.138164,0.009768
0.020000,1.125764,8.960677,0.127155,0.563734,1.539023,2.133811,0.010719
0.020000,1.137671,8.960810,0.139062,0.595364,1.581545,2.126085,0.011721
0.020000,1.150227,8.960964,0.151619,0.627843,1.623915,2.118540,0.012775
0.020000,1.163449,8.961140,0.164842,0.661170,1.666368,2.122622,0.013883
0.020000,1.177354,8.961341,0.178749,0.695342,1.708619,2.112550,0.015045
0.020000,1.191960,8.961570,0.193356,0.730358,1.750762,2.107143,0.016262
0.020000,1.207282,8.961829,0.208680,0.766214,1.792793,2.101544,0.017536
0.020000,1.223337,8.962121,0.224738,0.802908,1.834708,2.095756,0.018866
0.020000,1.240143,8.962450,0.241547,0.840438,1.876503,2.089783,0.020254
0.020000,1.257715,8.962819,0.259123,0.878801,1.918176,2.083627,0.021701
