dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000055,6.040000,0.000008,0.000794,0.039683,1.984127,6.283133
0.020000,1.000054,6.040000,0.000008,0.000013,-0.039022,-3.935245,6.283133
0.020000,1.000054,6.040000,0.000009,0.000030,0.000825,1.992377,6.283133
0.020000,1.000053,6.040000,0.000010,0.000053,0.001155,0.016499,6.283135
0.020000,1.000051,6.040000,0.000012,0.000083,0.001485,0.016491,6.283136
0.020000,1.000049,6.040000,0.000014,0.000119,0.001815,0.016479,6.283138
0.020000,1.000046,6.040000,0.000017,0.000162,0.002144,0.016461,6.283141
0.020000,1.000041,6.040000,0.000021,0.000211,0.002473,0.016436,6.283146
0.020000,1.000036,6.040000,0.000027,0.000267,0.002801,0.016402,6.283151
0.020000,1.000029,6.040000,0.000033,0.000330,0.003128,0.016359,6.283157
0.020000,1.000021,6.040000,0.000041,0.000399,0.003454,0.016305,6.283165
0.020000,1.000012,6.040000,0.000051,0.000474,0.003779,0.016240,6.283174
0.020000,1.000001,6.040000,0.000062,0.000556,0.004102,0.016161,6.283185
0.020000,1.001443,6.040000,0.001505,0.072133,3.578827,178.736271,0.000012
0.020000,1.003214,6.040000,0.003275,0.088546,0.820654,-137.908647,0.000026
0.020000,1.005229,6.040000,0.005290,0.100746,0.610020,-10.531708,0.000042
0.020000,1.007504,6.040000,0.007565,0.113734,0.649389,1.968435,0.000060
0.020000,1.010054,6.040000,0.010115,0.127509,0.688761,1.968597,0.000081
0.020000,1.012896,6.040001,0.012957,0.142072,0.728136,1.968779,0.000103
0.020000,1.016044,6.040001,0.016105,0.157422,0.767516,1.968980,0.000129
0.020000,1.019515,6.040002,0.019576,0.173560,0.806900,1.969210,0.000156
0.020000,1.023325,6.040002,0.023386,0.190486,0.846289,1.969455,0.000187
0.020000,1.027489,6.040003,0.027550,0.208200,0.885684,1.969735,0.000220
0.020000,1.032023,6.040004,0.032084,0.226702,0.925085,1.970032,0.000256
0.020000,1.036943,6.040005,0.037004,0.245991,0.964492,1.970360,0.000295
0.020000,1.042264,6.040007,0.042325,0.266070,1.003906,1.970719,0.000337
0.020000,1.048003,6.040009,0.048064,0.286936,1.043328,1.971103,0.000382
0.020000,1.054175,6.040012,0.054236,0.308591,1.082759,1.971520,0.000430
0.020000,1.060796,6.040015,0.060857,0.331035,1.122198,1.971970,0.000482
0.020000,1.067881,6.040018,0.067942,0.354268,1.161647,1.972452,0.000537
0.020000,1.075447,6.040023,0.075508,0.378290,1.201107,1.972969,0.000596
0.020000,1.083509,6.040028,0.083570,0.403102,1.240577,1.973522,0.000659
0.020000,1.092083,6.040034,0.092144,0.428703,1.280059,1.974111,0.000725
0.020000,1.101185,6.040041,0.101246,0.455094,1.319554,1.974732,0.000795
0.020000,1.110830,6.040049,0.110891,0.482275,1.359062,1.975415,0.000868
0.020000,1.121035,6.040058,0.121096,0.510247,1.398584,1.976099,0.000946
0.020000,1.131815,6.040068,0.131876,0.539010,1.438122,1.976872,0.001028
0.020000,1.143187,6.040081,0.143248,0.568563,1.477674,1.977642,0.001113
0.020000,1.155165,6.040094,0.155226,0.598908,1.517244,1.978486,0.001203
0.020000,1.167766,6.040110,0.167827,0.630045,1.556832,1.979370,0.001297
0.020000,1.181005,6.040128,0.181066,0.661973,1.596437,1.980292,0.001395
0.020000,1.194899,6.040148,0.194960,0.694695,1.636063,1.981267,0.001497
0.020000,1.209463,6.040171,0.209524,0.728209,1.675709,1.982292,0.001603
0.020000,1.224713,6.040196,0.224775,0.762516,1.715375,1.983346,0.001713
0.020000,1.240666,6.040224,0.240727,0.797618,1.755066,1.984504,0.001828
0.020000,1.257336,6.040256,0.257397,0.833513,1.794779,1.985651,0.001946
0.020000,1.274740,6.040291,0.274801,0.870203,1.834517,1.986899,0.002069
0.020000,1.292894,6.040329,0.292955,0.907689,1.874280,1.988154,0.002196
0.020000,1.311813,6.040372,0.311874,0.945970,1.914070,1.989531,0.002327
0.020000,1.331514,6.040419,0.331575,0.985048,1.953888,1.990908,0.002462
0.020000,1.352012,6.040471,0.352074,1.024923,1.993736,1.992366,0.002601
0.020000,1.373324,6.040528,0.373386,1.065595,2.033613,1.993885,0.002743
0.020000,1.395465,6.040591,0.395527,1.107066,2.073522,1.995427,0.002890
0.020000,1.418452,6.040659,0.418514,1.149335,2.113465,1.997130,0.003040
