dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,5.000000,0.000008,0.000769,0.038445,1.922265,6.283133
0.020000,1.000000,5.000000,0.000038,0.002307,0.076891,1.922265,6.283133
0.020000,1.000000,5.000000,0.000108,0.004613,0.115336,1.922265,6.283133
0.020000,1.000000,5.000000,0.000231,0.007689,0.153781,1.922265,6.283134
0.020000,1.000000,5.000000,0.000423,0.011534,0.192227,1.922265,6.283136
0.020000,1.000000,5.000000,0.000700,0.016147,0.230672,1.922265,6.283138
0.020000,1.000000,5.000000,0.001076,0.021529,0.269117,1.922265,6.283141
0.020000,1.000000,5.000000,0.001569,0.027681,0.307562,1.922265,6.283145
0.020000,1.000000,5.000000,0.002191,0.034601,0.346008,1.922265,6.283150
0.020000,1.000000,5.000000,0.002960,0.042290,0.384453,1.922265,6.283156
0.020000,1.000000,5.000000,0.003891,0.050748,0.422898,1.922265,6.283164
0.020000,1.000000,5.000000,0.004998,0.059975,0.461344,1.922265,6.283173
0.020000,1.000000,5.000000,0.006297,0.069970,0.499789,1.922265,6.283183
0.020000,1.001197,5.000000,0.007797,0.079966,0.499789,-0.000000,0.000010
0.020000,1.002896,5.000000,0.009496,0.089962,0.499789,0.000000,0.000023
0.020000,1.004795,5.000000,0.011395,0.099958,0.499789,-0.000000,0.000038
0.020000,1.006894,5.000000,0.013494,0.109954,0.499789,0.000000,0.000055
0.020000,1.009193,5.000000,0.015793,0.119949,0.499789,-0.000000,0.000073
0.020000,1.011692,5.000001,0.018292,0.129945,0.499789,0.000000,0.000093
0.020000,1.014391,5.000001,0.020991,0.139941,0.499789,0.000000,0.000114
0.020000,1.017290,5.000001,0.023890,0.149937,0.499789,0.000000,0.000137
0.020000,1.020389,5.000002,0.026989,0.159932,0.499789,-0.000000,0.000162
0.020000,1.023687,5.000002,0.030287,0.169928,0.499789,-0.000000,0.000188
0.020000,1.027186,5.000003,0.033786,0.179924,0.499789,0.000000,0.000215
0.020000,1.030884,5.000004,0.037484,0.189920,0.499789,-0.000000,0.000245
0.020000,1.034783,5.000005,0.041383,0.199916,0.499789,0.000000,0.000275
0.020000,1.038881,5.000006,0.045481,0.209911,0.499789,0.000000,0.000307
0.020000,1.043179,5.000007,0.049779,0.219907,0.499789,0.000000,0.000341
0.020000,1.047677,5.000009,0.054277,0.229903,0.499789,-0.000000,0.000376
0.020000,1.052375,5.000011,0.058975,0.239899,0.499789,0.000000,0.000413
0.020000,1.057273,5.000013,0.063873,0.249894,0.499789,-0.000000,0.000451
0.020000,1.062371,5.000015,0.068971,0.259890,0.499789,0.000000,0.000490
0.020000,1.067669,5.000018,0.074269,0.269886,0.499789,-0.000000,0.000531
0.020000,1.073166,5.000021,0.079766,0.279882,0.499789,0.000000,0.000574
0.020000,1.078864,5.000025,0.085464,0.289878,0.499789,-0.000000,0.000618
0.020000,1.084761,5.000028,0.091361,0.299873,0.499789,0.000000,0.000663
0.020000,1.090859,5.000032,0.097459,0.309869,0.499789,-0.000000,0.000710
0.020000,1.097156,5.000037,0.103756,0.319865,0.499789,0.000000,0.000758
0.020000,1.103653,5.000042,0.110253,0.329861,0.499789,0.000000,0.000807
0.020000,1.110351,5.000048,0.116951,0.339857,0.499789,-0.000000,0.000858
0.020000,1.117248,5.000054,0.123848,0.349852,0.499789,0.000000,0.000910
0.020000,1.124345,5.000060,0.130945,0.359848,0.499789,-0.000000,0.000964
0.020000,1.131642,5.000068,0.138242,0.369844,0.499789,0.000000,0.001018
0.020000,1.139138,5.000076,0.145738,0.379840,0.499789,0.000000,0.001074
0.020000,1.146835,5.000084,0.153435,0.389835,0.499789,0.000000,0.001132
0.020000,1.154732,5.000093,0.161332,0.399831,0.499789,0.000000,0.001191
0.020000,1.162828,5.000103,0.169428,0.409827,0.499789,0.000000,0.001250
0.020000,1.171125,5.000114,0.177725,0.419823,0.499789,0.000000,0.001312
0.020000,1.179621,5.000125,0.186221,0.429819,0.499789,0.000000,0.001374
0.020000,1.188318,5.000137,0.194918,0.439814,0.499789,-0.000000,0.001437
0.020000,1.197214,5.000150,0.203814,0.449810,0.499789,0.000000,0.001502
0.020000,1.206310,5.000164,0.212910,0.459806,0.499789,0.000000,0.001568
0.020000,1.215606,5.000179,0.222206,0.469802,0.499789,0.000000,0.001635
0.020000,1.225102,5.000195,0.231702,0.479797,0.499789,-0.000000,0.001703
0.020000,1.234798,5.000212,0.241398,0.489793,0.499789,0.000000,0.001772
0.020000,1.244694,5.000230,0.251294,0.499789,0.499789,0.000000,0.001843
0.020000,1.254789,5.000249,0.261390,0.509785,0.499789,0.000000,0.001914
0.020000,1.265085,5.000269,0.271685,0.519781,0.499789,-0.000000,0.001987
0.020000,1.275581,5.000290,0.282181,0.529776,0.499789,0.000000,0.002060
0.020000,1.286276,5.000313,0.292876,0.539772,0.499789,0.000000,0.002134
0.020000,1.297172,5.000336,0.303772,0.549768,0.499789,0.000000,0.002210
0.020000,1.308267,5.000361,0.314867,0.559764,0.499789,-0.000000,0.002286
0.020000,1.319562,5.000387,0.326162,0.569759,0.499789,0.000000,0.002363
0.020000,1.331057,5.000415,0.337657,0.579755,0.499789,0.000000,0.002441
0.020000,1.342752,5.000444,0.349353,0.589751,0.499789,0.000000,0.002520
0.020000,1.354647,5.000475,0.361247,0.599747,0.499789,0.000000,0.002600
0.020000,1.366742,5.000506,0.373342,0.609743,0.499789,-0.000000,0.002681
0.020000,1.379037,5.000540,0.385637,0.619738,0.499789,0.000000,0.002762
0.020000,1.391531,5.000575,0.398132,0.629734,0.499789,0.000000,0.002844
0.020000,1.404226,5.000612,0.410827,0.639730,0.499789,0.000000,0.002927
0.020000,1.417120,5.000650,0.423721,0.649726,0.499789,0.000000,0.003011
0.020000,1.430215,5.000690,0.436816,0.659721,0.499789,0.000000,0.003095
0.020000,1.443509,5.000732,0.450110,0.669717,0.499789,-0.000000,0.003180
0.020000,1.457003,5.000775,0.463604,0.679713,0.499789,0.000000,0.003266
0.020000,1.470698,5.000820,0.477298,0.689709,0.499789,0.000000,0.003352
0.020000,1.484592,5.000868,0.491193,0.699705,0.499789,0.000000,0.003439
0.020000,1.498686,5.000917,0.505287,0.709700,0.499789,-0.000000,0.003526
0.020000,1.512979,5.000968,0.519581,0.719696,0.499789,0.000000,0.003614
0.020000,1.527473,5.001021,0.534075,0.729692,0.499789,0.000000,0.003702
0.020000,1.542167,5.001076,0.548768,0.739688,0.499789,0.000000,0.003791
0.020000,1.557061,5.001133,0.563662,0.749683,0.499789,0.000000,0.003880
0.020000,1.572154,5.001192,0.578756,0.759679,0.499789,0.000000,0.003969
0.020000,1.587447,5.001254,0.594049,0.769675,0.499789,0.000000,0.004059
0.020000,1.602941,5.001317,0.609543,0.779671,0.499789,0.000000,0.004149
0.020000,1.618634,5.001383,0.625236,0.789667,0.499789,0.000000,0.004240
0.020000,1.634527,5.001451,0.641129,0.799662,0.499789,0.000000,0.004330
0.020000,1.650620,5.001521,0.657223,0.809658,0.499789,0.000000,0.004421
0.020000,1.666913,5.001594,0.673516,0.819654,0.499789,0.000000,0.004512
0.020000,1.683406,5.001669,0.690009,0.829650,0.499789,0.000000,0.004603
0.020000,1.700099,5.001747,0.706702,0.839646,0.499789,-0.000000,0.004695
0.020000,1.716991,5.001827,0.723595,0.849641,0.499789,0.000000,0.004786
0.020000,1.734084,5.001910,0.740687,0.859637,0.499789,0.000000,0.004877
0.020000,1.751377,5.001995,0.757980,0.869633,0.499789,-0.000000,0.004969
0.020000,1.768869,5.002083,0.775473,0.879629,0.499789,0.000000,0.005060
0.020000,1.786561,5.002173,0.793165,0.889624,0.499789,0.000000,0.005151
0.020000,1.804453,5.002266,0.811058,0.899620,0.499789,0.000000,0.005242
0.020000,1.822546,5.002361,0.829150,0.909616,0.499789,0.000000,0.005333
0.020000,1.840838,5.002460,0.847442,0.919612,0.499789,0.000000,0.005424
0.020000,1.859330,5.002561,0.865934,0.929608,0.499789,0.000000,0.005514
