dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,5.000000,0.000008,0.000800,0.040000,1.999996,6.283133
0.020000,1.000000,5.000000,0.000008,0.000000,-0.040000,-3.999992,6.283133
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,1.999996,6.283133
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283135
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283136
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283138
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283142
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283146
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283151
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283157
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283165
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283174
0.020000,1.000000,5.000000,0.000008,0.000000,0.000000,0.000000,6.283185
0.020000,1.001520,5.000000,0.001528,0.075999,3.799958,189.997879,0.000012
0.020000,1.003320,5.000000,0.003328,0.090000,0.700033,-154.996228,0.000026
0.020000,1.005368,5.000000,0.005376,0.102400,0.619999,-4.001715,0.000043
0.020000,1.007680,5.000000,0.007688,0.115600,0.659999,1.999996,0.000061
0.020000,1.010272,5.000000,0.010280,0.129600,0.699999,1.999996,0.000082
0.020000,1.013160,5.000001,0.013168,0.144400,0.739998,1.999997,0.000105
0.020000,1.016360,5.000001,0.016368,0.160000,0.779998,1.999994,0.000130
0.020000,1.019888,5.000002,0.019896,0.176400,0.819998,1.999998,0.000158
0.020000,1.023760,5.000002,0.023768,0.193600,0.859998,1.999993,0.000188
0.020000,1.027992,5.000003,0.028000,0.211600,0.899998,1.999998,0.000222
0.020000,1.032600,5.000004,0.032608,0.230400,0.939998,1.999995,0.000258
0.020000,1.037600,5.000006,0.037608,0.249999,0.979998,1.999994,0.000297
0.020000,1.043000,5.000007,0.043008,0.269999,0.999998,1.000000,0.000340
0.020000,1.048800,5.000009,0.048808,0.289999,0.999998,-0.000000,0.000385
0.020000,1.055000,5.000012,0.055008,0.309999,0.999998,-0.000000,0.000433
0.020000,1.061600,5.000015,0.061608,0.329999,0.999998,-0.000000,0.000484
0.020000,1.068600,5.000019,0.068608,0.349999,0.999998,-0.000000,0.000539
0.020000,1.076000,5.000023,0.076008,0.369999,0.999998,0.000000,0.000596
0.020000,1.083800,5.000028,0.083808,0.389999,0.999998,0.000001,0.000656
0.020000,1.092000,5.000033,0.092008,0.409999,0.999998,0.000001,0.000718
0.020000,1.100600,5.000040,0.100608,0.429999,0.999998,-0.000006,0.000784
0.020000,1.109600,5.000047,0.109608,0.449999,0.999998,0.000005,0.000852
0.020000,1.119000,5.000055,0.119008,0.469999,0.999998,0.000004,0.000923
