dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.039988,9.995075,0.000008,0.000781,0.039070,1.953491,4.707653
0.020000,2.039988,9.995075,0.000008,0.000004,-0.038865,-3.896744,4.707653
0.020000,2.039988,9.995075,0.000008,0.000009,0.000256,1.956050,4.707653
0.020000,2.039988,9.995075,0.000008,0.000016,0.000358,0.005118,4.707654
0.020000,2.039988,9.995076,0.000009,0.000026,0.000461,0.005117,4.707654
0.020000,2.039988,9.995077,0.000010,0.000037,0.000563,0.005115,4.707655
0.020000,2.039988,9.995078,0.000011,0.000050,0.000665,0.005113,4.707656
0.020000,2.039988,9.995079,0.000012,0.000065,0.000767,0.005109,4.707657
0.020000,2.039988,9.995081,0.000014,0.000083,0.000869,0.005105,4.707659
0.020000,2.039988,9.995083,0.000016,0.000102,0.000971,0.005099,4.707661
0.020000,2.039988,9.995085,0.000018,0.000124,0.001073,0.005092,4.707663
0.020000,2.039988,9.995088,0.000021,0.000147,0.001175,0.005083,4.707666
0.020000,2.039988,9.995092,0.000025,0.000173,0.001276,0.005072,4.707669
0.020000,2.039986,9.994664,0.000452,0.021354,1.059064,52.889386,4.707673
0.020000,2.039978,9.992911,0.002205,0.087677,3.316153,112.854467,4.707678
0.020000,2.039969,9.990916,0.004200,0.099757,0.604003,-135.607521,4.707683
0.020000,2.039958,9.988663,0.006453,0.112617,0.642973,1.948479,4.707688
0.020000,2.039946,9.986138,0.008978,0.126256,0.681943,1.948517,4.707695
0.020000,2.039933,9.983325,0.011791,0.140674,0.720913,1.948523,4.707702
0.020000,2.039919,9.980215,0.014901,0.155482,0.740400,0.974342,4.707710
0.020000,2.039903,9.976810,0.018307,0.170290,0.740405,0.000214,4.707718
0.020000,2.039885,9.973108,0.022009,0.185098,0.740408,0.000162,4.707727
0.020000,2.039867,9.969110,0.026007,0.199906,0.740413,0.000249,4.707737
0.020000,2.039847,9.964815,0.030301,0.214715,0.740417,0.000202,4.707748
0.020000,2.039825,9.960225,0.034892,0.229523,0.740422,0.000283,4.707760
0.020000,2.039803,9.955338,0.039778,0.244332,0.740427,0.000245,4.707772
