dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.000000,10.000000,0.000008,0.000781,0.039070,1.953491,4.707653
0.020000,1.000000,10.000000,0.000039,0.002344,0.078140,1.953491,4.707653
0.020000,1.000000,10.000000,0.000109,0.004688,0.117209,1.953491,4.707653
0.020000,1.000000,10.000000,0.000234,0.007814,0.156279,1.953491,4.707654
0.020000,1.000000,10.000000,0.000430,0.011721,0.195349,1.953491,4.707654
0.020000,1.000000,10.000000,0.000711,0.016409,0.234419,1.953491,4.707655
0.020000,1.000000,10.000000,0.001094,0.021879,0.273489,1.953491,4.707656
0.020000,1.000000,10.000000,0.001594,0.028130,0.312559,1.953491,4.707657
0.020000,1.000000,10.000000,0.002227,0.035163,0.351628,1.953491,4.707659
0.020000,1.000000,10.000000,0.003008,0.042977,0.390698,1.953491,4.707661
0.020000,1.000000,10.000000,0.003954,0.051572,0.429768,1.953491,4.707663
0.020000,1.000000,10.000000,0.005079,0.060949,0.468838,1.953491,4.707666
0.020000,1.000000,10.000000,0.006400,0.071107,0.507908,1.953491,4.707669
0.020000,0.999998,9.999569,0.007931,0.082047,0.546977,1.953491,4.707673
0.020000,0.999990,9.997811,0.009689,0.093768,0.586047,1.953491,4.707678
0.020000,0.999980,9.995810,0.011690,0.106270,0.625117,1.953491,4.707683
0.020000,0.999970,9.993552,0.013948,0.119554,0.664187,1.953491,4.707688
0.020000,0.999958,9.991021,0.016480,0.133619,0.703257,1.953491,4.707695
0.020000,0.999945,9.988200,0.019300,0.148465,0.742326,1.953491,4.707702
0.020000,0.999930,9.985082,0.022418,0.163312,0.742326,0.000000,4.707710
0.020000,0.999914,9.981667,0.025833,0.178158,0.742326,0.000000,4.707718
0.020000,0.999897,9.977956,0.029545,0.193005,0.742326,0.000000,4.707727
0.020000,0.999878,9.973947,0.033553,0.207851,0.742326,-0.000000,4.707737
0.020000,0.999858,9.969642,0.037859,0.222698,0.742326,0.000000,4.707748
0.020000,0.999837,9.965039,0.042461,0.237544,0.742326,0.000000,4.707760
0.020000,0.999814,9.960140,0.047360,0.252391,0.742326,-0.000000,4.707772
0.020000,0.999790,9.954944,0.052557,0.267238,0.742326,0.000000,4.707785
0.020000,0.999765,9.949451,0.058050,0.282084,0.742326,0.000000,4.707799
0.020000,0.999738,9.943661,0.063840,0.296931,0.742326,-0.000000,4.707813
0.020000,0.999710,9.937574,0.069927,0.311777,0.742326,0.000000,4.707828
0.020000,0.999681,9.931190,0.076311,0.326624,0.742326,-0.000000,4.707844
0.020000,0.999651,9.924509,0.082992,0.341470,0.742326,0.000000,4.707861
0.020000,0.999620,9.917531,0.089970,0.356317,0.742326,0.000000,4.707878
0.020000,0.999587,9.910256,0.097245,0.371163,0.742326,0.000000,4.707896
0.020000,0.999553,9.902685,0.104816,0.386010,0.742326,0.000000,4.707914
0.020000,0.999518,9.894816,0.112685,0.400856,0.742326,-0.000000,4.707934
0.020000,0.999481,9.886651,0.120851,0.415703,0.742326,0.000000,4.707954
0.020000,0.999444,9.878188,0.129313,0.430549,0.742326,-0.000000,4.707975
0.020000,0.999405,9.869429,0.138073,0.445396,0.742326,0.000000,4.707996
0.020000,0.999366,9.860372,0.147129,0.460242,0.742326,-0.000000,4.708018
0.020000,0.999325,9.851019,0.156482,0.475089,0.742326,0.000000,4.708041
0.020000,0.999283,9.841369,0.166133,0.489935,0.742326,-0.000000,4.708065
0.020000,0.999240,9.831422,0.176080,0.504782,0.742326,0.000000,4.708089
0.020000,0.999196,9.821178,0.186324,0.519629,0.742326,0.000000,4.708114
0.020000,0.999151,9.810637,0.196865,0.534475,0.742326,-0.000000,4.708139
0.020000,0.999105,9.799799,0.207703,0.549322,0.742326,0.000000,4.708166
0.020000,0.999059,9.788664,0.218838,0.564168,0.742326,-0.000000,4.708192
0.020000,0.999011,9.777233,0.230270,0.579015,0.742326,0.000000,4.708220
0.020000,0.998962,9.765504,0.241998,0.593861,0.742326,-0.000000,4.708248
0.020000,0.998912,9.753478,0.254024,0.608708,0.742326,0.000000,4.708277
0.020000,0.998862,9.741156,0.266347,0.623554,0.742326,0.000000,4.708306
0.020000,0.998811,9.728536,0.278966,0.638401,0.742326,-0.000000,4.708336
0.020000,0.998758,9.715620,0.291883,0.653247,0.742326,-0.000000,4.708367
0.020000,0.998705,9.702407,0.305096,0.668094,0.742326,0.000000,4.708398
0.020000,0.998652,9.688896,0.318607,0.682940,0.742326,0.000000,4.708430
0.020000,0.998597,9.675089,0.332414,0.697787,0.742326,0.000000,4.708463
0.020000,0.998542,9.660985,0.346518,0.712633,0.742326,-0.000000,4.708496
0.020000,0.998486,9.646584,0.360919,0.727480,0.742326,0.000000,4.708530
0.020000,0.998430,9.631886,0.375617,0.742326,0.742326,0.000000,4.708564
0.020000,0.998373,9.616891,0.390612,0.757173,0.742326,0.000000,4.708599
0.020000,0.998315,9.601600,0.405904,0.772020,0.742326,-0.000000,4.708634
0.020000,0.998257,9.586011,0.421493,0.786866,0.742326,-0.000000,4.708670
0.020000,0.998198,9.570125,0.437379,0.801713,0.742326,0.000000,4.708707
0.020000,0.998139,9.553943,0.453561,0.816559,0.742326,0.000000,4.708744
0.020000,0.998079,9.537463,0.470041,0.831406,0.742326,0.000000,4.708782
0.020000,0.998019,9.520686,0.486818,0.846252,0.742326,-0.000000,4.708820
0.020000,0.997958,9.503613,0.503891,0.861099,0.742326,0.000000,4.708859
0.020000,0.997897,9.486243,0.521262,0.875945,0.742326,0.000000,4.708898
0.020000,0.997836,9.468576,0.538929,0.890792,0.742326,0.000000,4.708938
0.020000,0.997774,9.450611,0.556893,0.905638,0.742326,-0.000000,4.708978
0.020000,0.997712,9.432350,0.575155,0.920485,0.742326,0.000000,4.709019
0.020000,0.997650,9.413792,0.593713,0.935331,0.742326,0.000000,4.709060
0.020000,0.997588,9.394937,0.612568,0.950178,0.742326,0.000000,4.709102
0.020000,0.997525,9.375785,0.631720,0.965024,0.742326,-0.000000,4.709144
0.020000,0.997463,9.356336,0.651169,0.979871,0.742326,0.000000,4.709187
0.020000,0.997400,9.336591,0.670915,0.994717,0.742326,0.000000,4.709230
