dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.039988,10.004925,0.000008,0.000781,0.039070,1.953491,4.707653
0.020000,-0.039988,10.004925,0.000008,0.000004,-0.038865,-3.896744,4.707653
0.020000,-0.039988,10.004925,0.000008,0.000009,0.000256,1.956050,4.707653
0.020000,-0.039988,10.004925,0.000008,0.000016,0.000358,0.005118,4.707654
0.020000,-0.039988,10.004924,0.000009,0.000026,0.000461,0.005117,4.707654
0.020000,-0.039988,10.004923,0.000010,0.000037,0.000563,0.005115,4.707655
0.020000,-0.039988,10.004922,0.000011,0.000050,0.000665,0.005113,4.707656
0.020000,-0.039988,10.004921,0.000012,0.000065,0.000767,0.005109,4.707657
0.020000,-0.039988,10.004919,0.000014,0.000083,0.000869,0.005105,4.707659
0.020000,-0.039988,10.004917,0.000016,0.000102,0.000971,0.005099,4.707661
0.020000,-0.039988,10.004915,0.000018,0.000124,0.001073,0.005092,4.707663
0.020000,-0.039988,10.004912,0.000021,0.000147,0.001175,0.005083,4.707666
0.020000,-0.039988,10.004908,0.000025,0.000173,0.001276,0.005072,4.707669
0.020000,-0.039990,10.004473,0.000460,0.021755,1.079100,53.891180,4.707673
0.020000,-0.039999,10.002711,0.002222,0.088137,3.319110,112.000520,4.707678
0.020000,-0.040008,10.000705,0.004228,0.100280,0.607161,-135.597464,4.707683
0.020000,-0.040019,9.998441,0.006492,0.113207,0.646331,1.958498,4.707688
0.020000,-0.040031,9.995903,0.009030,0.126917,0.685501,1.958492,4.707695
0.020000,-0.040044,9.993074,0.011859,0.141410,0.724670,1.958449,4.707702
0.020000,-0.040059,9.989949,0.014985,0.156295,0.744252,0.979118,4.707710
0.020000,-0.040075,9.986525,0.018408,0.171180,0.744249,-0.000149,4.707718
0.020000,-0.040092,9.982804,0.022129,0.186065,0.744244,-0.000236,4.707727
0.020000,-0.040111,9.978785,0.026148,0.200950,0.744241,-0.000183,4.707737
0.020000,-0.040131,9.974468,0.030465,0.215835,0.744236,-0.000265,4.707748
0.020000,-0.040152,9.969854,0.035080,0.230719,0.744231,-0.000219,4.707760
0.020000,-0.040175,9.964942,0.039992,0.245604,0.744225,-0.000291,4.707772
0.020000,-0.040199,9.959732,0.045201,0.260488,0.744220,-0.000286,4.707785
0.020000,-0.040224,9.954225,0.050709,0.275373,0.744214,-0.000279,4.707799
0.020000,-0.040251,9.948420,0.056514,0.290257,0.744207,-0.000341,4.707813
0.020000,-0.040279,9.942317,0.062617,0.305141,0.744200,-0.000336,4.707828
0.020000,-0.040308,9.935916,0.069017,0.320025,0.744193,-0.000353,4.707844
0.020000,-0.040338,9.929218,0.075715,0.334908,0.744186,-0.000370,4.707861
0.020000,-0.040370,9.922223,0.082711,0.349792,0.744178,-0.000388,4.707878
0.020000,-0.040403,9.914929,0.090005,0.364675,0.744170,-0.000404,4.707896
0.020000,-0.040437,9.907338,0.097596,0.379558,0.744162,-0.000429,4.707914
0.020000,-0.040472,9.899449,0.105485,0.394442,0.744153,-0.000439,4.707934
0.020000,-0.040508,9.891263,0.113671,0.409324,0.744144,-0.000456,4.707954
0.020000,-0.040546,9.882779,0.122155,0.424207,0.744134,-0.000478,4.707975
0.020000,-0.040585,9.873997,0.130937,0.439090,0.744124,-0.000494,4.707996
0.020000,-0.040624,9.864918,0.140017,0.453972,0.744114,-0.000512,4.708018
0.020000,-0.040665,9.855541,0.149394,0.468854,0.744103,-0.000529,4.708041
0.020000,-0.040707,9.845866,0.159068,0.483736,0.744093,-0.000536,4.708065
0.020000,-0.040750,9.835894,0.169041,0.498617,0.744081,-0.000563,4.708089
0.020000,-0.040794,9.825624,0.179311,0.513499,0.744070,-0.000592,4.708114
0.020000,-0.040839,9.815057,0.189878,0.528380,0.744058,-0.000582,4.708139
0.020000,-0.040885,9.804191,0.200744,0.543261,0.744046,-0.000621,4.708166
0.020000,-0.040932,9.793029,0.211906,0.558142,0.744033,-0.000634,4.708192
0.020000,-0.040980,9.781568,0.223367,0.573022,0.744020,-0.000641,4.708220
0.020000,-0.041029,9.769810,0.235125,0.587902,0.744007,-0.000673,4.708248
0.020000,-0.041079,9.757755,0.247181,0.602782,0.743993,-0.000683,4.708277
0.020000,-0.041129,9.745402,0.259534,0.617661,0.743979,-0.000691,4.708306
0.020000,-0.041181,9.732751,0.272185,0.632541,0.743964,-0.000733,4.708336
0.020000,-0.041233,9.719803,0.285133,0.647420,0.743950,-0.000727,4.708367
0.020000,-0.041286,9.706557,0.298379,0.662298,0.743935,-0.000745,4.708398
0.020000,-0.041340,9.693013,0.311922,0.677177,0.743919,-0.000781,4.708430
0.020000,-0.041395,9.679172,0.325764,0.692055,0.743904,-0.000785,4.708463
0.020000,-0.041450,9.665034,0.339902,0.706933,0.743888,-0.000803,4.708496
0.020000,-0.041506,9.650598,0.354338,0.721810,0.743871,-0.000821,4.708530
0.020000,-0.041563,9.635864,0.369072,0.736687,0.743854,-0.000838,4.708564
0.020000,-0.041620,9.620833,0.384103,0.751564,0.743837,-0.000856,4.708599
0.020000,-0.041678,9.605504,0.399432,0.766440,0.743820,-0.000874,4.708634
0.020000,-0.041736,9.589878,0.415059,0.781316,0.743802,-0.000891,4.708670
