dt,x,y,position,velocity,acceleration,jerk,heading
0.02,0,0,0,0,0,2,0
0.02,0.0008,0,0.0008,0.04,2,0,0
0.02,0.0024,0,0.0024,0.08,2,0,0
0.02,0.0048,0,0.0048,0.12,2,0,0
0.02,0.008,0,0.008,0.16,2,0,0
0.02,0.012,0,0.012,0.2,2,0,0
0.02,0.0168,0,0.0168,0.24,2,0,0
0.02,0.0224,0,0.0224,0.28,2,0,0
0.02,0.0288,0,0.0288,0.32,2,0,0
0.02,0.036,0,0.036,0.36,2,0,0
0.02,0.044,0,0.044,0.4,2,0,0
0.02,0.0528,0,0.0528,0.44,2,0,0
0.02,0.0624,0,0.0624,0.48,2,0,0
0.02,0.0728,0,0.0728,0.52,2,0,0
0.02,0.084,0,0.084,0.56,2,0,0
0.02,0.096,0,0.096,0.6,2,0,0
0.02,0.1088,0,0.1088,0.64,2,0,0
0.02,0.1224,0,0.1224,0.68,2,0,0
0.02,0.1368,0,0.1368,0.72,2,0,0
0.02,0.152,0,0.152,0.76,2,0,0
0.02,0.168,0,0.168,0.8,2,0,0
0.02,0.1848,0,0.1848,0.84,2,0,0
0.02,0.2024,0,0.2024,0.88,2,0,0
0.02,0.2208,0,0.2208,0.92,2,0,0
0.02,0.24,0,0.24,0.96,2,0,0
0.02,0.26,0,0.26,1,2,0,0
0.02,0.2808,0,0.2808,1.04,2,0,0
0.02,0.3024,0,0.3024,1.08,2,0,0
0.02,0.3248,0,0.3248,1.12,2,0,0
0.02,0.348,0,0.348,1.16,2,0,0
0.02,0.372,0,0.372,1.2,2,0,0
0.02,0.3968,0,0.3968,1.24,2,0,0
0.02,0.4224,0,0.4224,1.28,2,0,0
0.02,0.4488,0,0.4488,1.32,2,0,0
0.02,0.476,0,0.476,1.36,2,0,0
0.02,0.504,0,0.504,1.4,2,0,0
0.02,0.5328,0,0.5328,1.44,2,0,0
0.02,0.5624,0,0.5624,1.48,2,0,0
0.02,0.5928,0,0.5928,1.52,2,0,0
0.02,0.624,0,0.624,1.56,2,0,0
0.02,0.656,0,0.656,1.6,2,0,0
0.02,0.6888,0,0.6888,1.64,2,0,0
0.02,0.7224,0,0.7224,1.68,2,0,0
0.02,0.7568,0,0.7568,1.72,2,0,0
0.02,0.792,0,0.792,1.76,2,0,0
0.02,0.828,0,0.828,1.8,2,0,0
0.02,0.8648,0,0.8648,1.84,2,0,0
0.02,0.9024,0,0.9024,1.88,2,0,0
0.02,0.9408,0,0.9408,1.92,2,0,0
0.02,0.98,0,0.98,1.96,2,-2,0
0.02,1.0192,0,1.0192,1.96,0,0,0
0.02,1.0584,0,1.0584,1.96,0,0,0
0.02,1.0976,0,1.0976,1.96,0,0,0
0.02,1.1368,0,1.1368,1.96,0,0,0
0.02,1.176,0,1.176,1.96,0,0,0
0.02,1.2152,0,1.2152,1.96,0,0,0
0.02,1.2544,0,1.2544,1.96,0,0,0
0.02,1.2936,0,1.2936,1.96,0,0,0
0.02,1.3328,0,1.3328,1.96,0,0,0
0.02,1.372,0,1.372,1.96,0,0,0
0.02,1.4112,0,1.4112,1.96,0,0,0
0.02,1.4504,0,1.4504,1.96,0,0,0
0.02,1.4896,0,1.4896,1.96,0,0,0
0.02,1.5288,0,1.5288,1.96,0,0,0
0.02,1.568,0,1.568,1.96,0,0,0
0.02,1.6072,0,1.6072,1.96,0,0,0
0.02,1.6464,0,1.6464,1.96,0,0,0
0.02,1.6856,0,1.6856,1.96,0,0,0
0.02,1.7248,0,1.7248,1.96,0,0,0
0.02,1.764,0,1.764,1.96,0,0,0
0.02,1.8032,0,1.8032,1.96,0,0,0
0.02,1.8424,0,1.8424,1.96,0,0,0
0.02,1.8816,0,1.8816,1.96,0,0,0
0.02,1.9208,0,1.9208,1.96,0,0,0
0.02,1.96,0,1.96,1.96,0,0,0
0.02,1.9992,0,1.9992,1.96,0,0,0
0.02,2.0384,0,2.0384,1.96,0,0,0
0.02,2.0776,0,2.0776,1.96,0,0,0
0.02,2.1168,0,2.1168,1.96,0,0,0
0.02,2.156,0,2.156,1.96,0,0,0
0.02,2.1952,0,2.1952,1.96,0,0,0
0.02,2.2344,0,2.2344,1.96,0,0,0
0.02,2.2736,0,2.2736,1.96,0,0,0
0.02,2.3128,0,2.3128,1.96,0,0,0
0.02,2.352,0,2.352,1.96,0,0,0
0.02,2.3912,0,2.3912,1.96,0,0,0
0.02,2.4304,0,2.4304,1.96,0,0,0
0.02,2.4696,0,2.4696,1.96,0,0,0
0.02,2.5088,0,2.5088,1.96,0,0,0
0.02,2.548,0,2.548,1.96,0,0,0
0.02,2.5872,0,2.5872,1.96,0,0,0
0.02,2.6264,0,2.6264,1.96,0,0,0
0.02,2.6656,0,2.6656,1.96,0,0,0
0.02,2.7048,0,2.7048,1.96,0,0,0
0.02,2.744,0,2.744,1.96,0,0,0
0.02,2.7832,0,2.7832,1.96,0,0,0
0.02,2.8224,0,2.8224,1.96,0,0,0
0.02,2.8616,0,2.8616,1.96,0,0,0
0.02,2.9008,0,2.9008,1.96,0,0,0
0.02,2.94,0,2.94,1.96,0,-2,0
