dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.834115,2.433000,0.000077,0.007673,0.383662,19.183120,3.141593
0.020000,42.834115,2.433000,0.000384,0.023020,0.767325,19.183120,3.141593
0.020000,42.834115,2.433000,0.001074,0.046039,1.150987,19.183120,3.141593
0.020000,42.834115,2.433000,0.002302,0.076732,1.534650,19.183120,3.141593
0.020000,42.834115,2.433000,0.004220,0.115099,1.918312,19.183120,3.141593
0.020000,42.834115,2.433000,0.006983,0.161138,2.301974,19.183120,3.141593
0.020000,42.833929,2.433000,0.010743,0.214851,2.685637,19.183120,3.141593
0.020000,42.829018,2.433000,0.015653,0.276237,3.069299,19.183120,3.141593
0.020000,42.822802,2.433000,0.021869,0.345296,3.452962,19.183120,3.141593
0.020000,42.815129,2.433000,0.029542,0.422029,3.836624,19.183120,3.141593
0.020000,42.805844,2.433000,0.038827,0.506434,4.220286,19.183120,3.141593
0.020000,42.794795,2.433000,0.049876,0.598513,4.603949,19.183120,3.141593
0.020000,42.781827,2.433000,0.062844,0.698266,4.987611,19.183120,3.141593
0.020000,42.766788,2.433000,0.077883,0.805691,5.371274,19.183120,3.141593
0.020000,42.749523,2.433000,0.095148,0.920790,5.754936,19.183120,3.141593
0.020000,42.729879,2.433000,0.114792,1.043562,6.138598,19.183120,3.141593
0.020000,42.707704,2.433000,0.136967,1.174007,6.522261,19.183120,3.141593
0.020000,42.682842,2.433000,0.161829,1.312125,6.905923,19.183120,3.141593
0.020000,42.655142,2.433000,0.189529,1.457917,7.289586,19.183120,3.141593
0.020000,42.624449,2.433000,0.220222,1.611382,7.673248,19.183120,3.141593
0.020000,42.590610,2.433000,0.254061,1.772520,8.056910,19.183120,3.141593
0.020000,42.553471,2.433000,0.291200,1.941332,8.440573,19.183120,3.141593
0.020000,42.512880,2.433000,0.331791,2.117816,8.824235,19.183120,3.141593
0.020000,42.468682,2.433000,0.375989,2.301974,9.207898,19.183120,3.141593
0.020000,42.420724,2.433000,0.423947,2.493806,9.591560,19.183120,3.141593
0.020000,42.368853,2.433000,0.475818,2.693310,9.975222,19.183120,3.141593
0.020000,42.312915,2.433000,0.531756,2.900488,10.358885,19.183120,3.141593
0.020000,42.252757,2.433000,0.591914,3.115339,10.742547,19.183120,3.141593
0.020000,42.188301,2.433000,0.656370,3.330190,10.742547,-0.000000,3.141593
0.020000,42.119549,2.433000,0.725122,3.545041,10.742547,0.000000,3.141593
0.020000,42.046500,2.433000,0.798171,3.759892,10.742547,-0.000000,3.141593
0.020000,41.969153,2.433000,0.875518,3.974742,10.742547,0.000000,3.141593
0.020000,41.887510,2.433000,0.957161,4.189593,10.742547,0.000000,3.141593
0.020000,41.801570,2.433000,1.043101,4.404444,10.742547,-0.000000,3.141593
0.020000,41.711332,2.433000,1.133339,4.619295,10.742547,0.000000,3.141593
0.020000,41.616798,2.433000,1.227873,4.834146,10.742547,0.000000,3.141593
0.020000,41.517966,2.433000,1.326705,5.048997,10.742547,0.000000,3.141593
0.020000,41.414838,2.433000,1.429833,5.263848,10.742547,-0.000000,3.141593
0.020000,41.307489,2.433000,1.537182,5.471026,10.358885,-19.183120,3.141593
0.020000,41.196074,2.433000,1.648597,5.670530,9.975222,-19.183120,3.141593
0.020000,41.080745,2.433000,1.763926,5.862362,9.591560,-19.183120,3.141593
0.020000,40.961656,2.433000,1.883015,6.046519,9.207898,-19.183120,3.141593
0.020000,40.838961,2.433000,2.005710,6.223004,8.824235,-19.183120,3.141593
0.020000,40.712813,2.433000,2.131859,6.391816,8.440573,-19.183120,3.141593
0.020000,40.583365,2.433000,2.261306,6.552954,8.056910,-19.183120,3.141593
0.020000,40.450771,2.433000,2.393900,6.706419,7.673248,-19.183120,3.141593
0.020000,40.315185,2.433000,2.529486,6.852211,7.289586,-19.183120,3.141593
0.020000,40.176759,2.433000,2.667912,6.990329,6.905923,-19.183120,3.141593
0.020000,40.035648,2.433000,2.809023,7.120774,6.522261,-19.183120,3.141593
