dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000077,0.007710,0.385483,19.274174,6.281638
0.020000,32.414825,2.432758,0.000077,0.000000,-0.385483,-38.548348,6.281671
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,19.274174,6.281745
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.281876
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282081
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282376
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282779
0.020000,32.415946,2.432758,0.001198,0.056027,2.801367,140.068371,0.000120
0.020000,32.422193,2.432760,0.007445,0.312387,12.817999,500.831584,0.000787
0.020000,32.429899,2.432770,0.015152,0.385306,3.645922,-458.603865,0.001612
0.020000,32.439231,2.432789,0.024483,0.466587,4.064077,20.907766,0.002615
0.020000,32.450333,2.432825,0.035586,0.555117,4.426478,18.120035,0.003813
0.020000,32.463362,2.432884,0.048615,0.651447,4.816529,19.502570,0.005225
0.020000,32.478473,2.432975,0.063726,0.755557,5.205468,19.446946,0.006871
0.020000,32.495819,2.433111,0.081073,0.867344,5.589346,19.193892,0.008772
0.020000,32.515552,2.433306,0.100806,0.986680,5.966804,18.872880,0.010951
0.020000,32.537835,2.433577,0.123090,1.114207,6.376379,20.478770,0.013431
0.020000,32.562810,2.433948,0.148069,1.248914,6.735312,17.946669,0.016235
0.020000,32.590637,2.434443,0.175900,1.391573,7.132973,19.883056,0.019393
0.020000,32.621470,2.435096,0.206740,1.541990,7.520856,19.394129,0.022931
0.020000,32.655458,2.435942,0.240738,1.699928,7.896891,18.801771,0.026881
0.020000,32.692758,2.437027,0.278054,1.865797,8.293468,19.828803,0.031276
0.020000,32.733519,2.438402,0.318838,2.039192,8.669752,18.814211,0.036154
0.020000,32.777893,2.440126,0.363246,2.220388,9.059796,19.502220,0.041555
0.020000,32.826028,2.442271,0.411429,2.409137,9.437412,18.880802,0.047523
0.020000,32.878078,2.444918,0.463546,2.605871,9.836711,19.964916,0.054108
0.020000,32.934188,2.448160,0.519749,2.810146,10.213739,18.851446,0.061364
0.020000,32.994505,2.452107,0.580195,3.022316,10.608537,19.739895,0.069352
0.020000,33.059167,2.456883,0.645033,3.241906,10.979463,18.546278,0.078140
0.020000,33.128314,2.462632,0.714419,3.469281,11.368793,19.466508,0.087805
0.020000,33.202084,2.469519,0.788510,3.704526,11.762245,19.672588,0.098431
0.020000,33.280601,2.477734,0.867456,3.947302,12.138763,18.825915,0.110116
0.020000,33.363990,2.487493,0.951413,4.197885,12.529167,19.520195,0.122968
0.020000,33.452361,2.499046,1.040537,4.456162,12.913863,19.234804,0.137110
0.020000,33.545814,2.512678,1.134978,4.722081,13.295922,19.102953,0.152682
0.020000,33.644435,2.528715,1.234895,4.995831,13.687507,19.579261,0.169842
0.020000,33.748288,2.547531,1.340439,5.277185,14.067730,19.011145,0.188766
0.020000,33.857412,2.569552,1.451763,5.566207,14.451056,19.166291,0.209657
0.020000,33.971745,2.595251,1.568948,5.859275,14.653425,10.118438,0.232723
0.020000,34.091028,2.625117,1.691914,6.148279,14.450210,-10.160761,0.258165
0.020000,34.214892,2.659671,1.820507,6.429649,14.068475,-19.086713,0.286180
0.020000,34.342911,2.699474,1.954571,6.703219,13.678498,-19.498879,0.316971
0.020000,34.474607,2.745129,2.093956,6.969251,13.301638,-18.842976,0.350739
0.020000,34.609422,2.797270,2.238502,7.227304,12.902605,-19.951646,0.387672
0.020000,34.746726,2.856560,2.388061,7.477917,12.530685,-18.595997,0.427927
0.020000,34.885794,2.923667,2.542473,7.720626,12.135456,-19.761465,0.471602
0.020000,35.025808,2.999249,2.701586,7.955628,11.750067,-19.269449,0.518717
0.020000,35.165860,3.083923,2.865244,8.182915,11.364364,-19.285156,0.569174
0.020000,35.304952,3.178231,3.033294,8.402501,10.979288,-19.253798,0.622732
0.020000,35.442029,3.282603,3.205583,8.614446,10.597247,-19.102069,0.678979
0.020000,35.575998,3.397316,3.381954,8.818561,10.205751,-19.574774,0.737328
0.020000,35.705789,3.522469,3.562257,9.015122,9.828071,-18.884018,0.797031
0.020000,35.830396,3.657961,3.746335,9.203939,9.440849,-19.361114,0.857221
0.020000,35.948937,3.803496,3.934038,9.385123,9.059197,-19.082603,0.916973
0.020000,36.060696,3.958599,4.125210,9.558619,8.674783,-19.220674,0.975383
0.020000,36.165156,4.122653,4.319699,9.724453,8.291736,-19.152374,1.031638
0.020000,36.262010,4.294949,4.517352,9.882624,7.908518,-19.160879,1.085066
0.020000,36.351152,4.474723,4.718013,10.033068,7.522211,-19.315342,1.135168
0.020000,36.432656,4.661207,4.921530,10.175840,7.138621,-19.179498,1.181615
0.020000,36.506747,4.853655,5.127748,10.310898,6.752877,-19.287212,1.224239
0.020000,36.573767,5.051370,5.336513,10.438237,6.366943,-19.296685,1.262995
0.020000,36.634145,5.253710,5.547670,10.557855,5.980883,-19.303000,1.297935
0.020000,36.688368,5.460102,5.761065,10.669750,5.594754,-19.306471,1.329176
0.020000,36.736959,5.670030,5.976543,10.773922,5.208638,-19.305800,1.356874
0.020000,36.780464,5.883040,6.193951,10.870374,4.822591,-19.302347,1.381201
0.020000,36.819436,6.098730,6.413133,10.959106,4.436609,-19.299085,1.402333
0.020000,36.854430,6.316741,6.633934,11.040086,4.048998,-19.380546,1.420438
0.020000,36.885996,6.536755,6.856202,11.113379,3.664610,-19.219425,1.435668
0.020000,36.914682,6.758487,7.079781,11.178957,3.278914,-19.284785,1.448157
0.020000,36.941025,6.981673,7.304517,11.236808,2.892544,-19.318504,1.458016
0.020000,36.965562,7.206075,7.530256,11.286928,2.506024,-19.326020,1.465333
0.020000,36.988823,7.431465,7.756843,11.329354,2.121300,-19.236156,1.470168
0.020000,37.011339,7.657628,7.984124,11.364057,1.735121,-19.308972,1.472560
0.020000,37.033642,7.884354,8.211945,11.391040,1.349189,-19.296614,1.472519
0.020000,37.056269,8.111436,8.440151,11.410314,0.963683,-19.275295,1.470029
0.020000,37.079764,8.338630,8.668557,11.420273,0.497933,-23.287468,1.465050
0.020000,37.104671,8.565608,8.896898,11.417063,-0.160465,-32.919937,1.457516
0.020000,37.131551,8.792064,9.124944,11.402283,-0.739024,-28.927941,1.447337
0.020000,37.160986,9.017749,9.352539,11.379783,-1.125010,-19.299287,1.434393
