dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000006,0.000594,0.029723,1.486154,6.281630
0.020000,32.414825,2.432758,0.000006,0.000000,-0.029723,-2.972309,6.281633
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,1.486154,6.281639
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281649
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281665
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281687
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281718
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281759
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281810
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281873
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281950
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282041
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282148
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282272
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282414
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282576
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282759
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282964
0.020000,32.414900,2.432758,0.000081,0.003748,0.187390,9.369517,0.000008
0.020000,32.417280,2.432758,0.002461,0.119002,5.762711,278.766035,0.000262
0.020000,32.419903,2.432759,0.005084,0.131150,0.607378,-257.766674,0.000542
0.020000,32.422781,2.432761,0.007961,0.143877,0.636365,1.449389,0.000850
0.020000,32.425924,2.432764,0.011105,0.157181,0.665229,1.443172,0.001186
0.020000,32.429345,2.432769,0.014526,0.171061,0.693956,1.436371,0.001553
0.020000,32.433064,2.432775,0.018245,0.185918,0.742855,2.444945,0.001952
0.020000,32.437083,2.432784,0.022264,0.200978,0.753019,0.508172,0.002384
0.020000,32.441415,2.432795,0.026596,0.216597,0.780923,1.395205,0.002850
0.020000,32.446075,2.432810,0.031256,0.233011,0.820735,1.990603,0.003353
0.020000,32.451077,2.432828,0.036258,0.250073,0.853112,1.618861,0.003893
0.020000,32.456425,2.432850,0.041606,0.267405,0.866557,0.672230,0.004472
0.020000,32.462139,2.432878,0.047320,0.285691,0.914331,2.388734,0.005092
0.020000,32.468226,2.432911,0.053408,0.304391,0.934990,1.032956,0.005753
