dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000006,0.000594,0.029723,1.486154,6.281630
0.020000,32.414825,2.432758,0.000030,0.001783,0.059446,1.486154,6.281633
0.020000,32.414825,2.432758,0.000083,0.003567,0.089169,1.486154,6.281639
0.020000,32.414825,2.432758,0.000178,0.005945,0.118892,1.486154,6.281649
0.020000,32.414825,2.432758,0.000327,0.008917,0.148615,1.486154,6.281665
0.020000,32.414825,2.432758,0.000541,0.012484,0.178339,1.486154,6.281687
0.020000,32.414825,2.432758,0.000832,0.016645,0.208062,1.486154,6.281718
0.020000,32.414825,2.432758,0.001213,0.021401,0.237785,1.486154,6.281759
0.020000,32.414825,2.432758,0.001694,0.026751,0.267508,1.486154,6.281810
0.020000,32.414825,2.432758,0.002289,0.032695,0.297231,1.486154,6.281873
0.020000,32.414825,2.432758,0.003008,0.039234,0.326954,1.486154,6.281950
0.020000,32.414825,2.432758,0.003864,0.046368,0.356677,1.486154,6.282041
0.020000,32.414825,2.432758,0.004869,0.054096,0.386400,1.486154,6.282148
0.020000,32.414825,2.432758,0.006034,0.062418,0.416123,1.486154,6.282272
0.020000,32.414825,2.432758,0.007371,0.071335,0.445846,1.486154,6.282414
0.020000,32.414825,2.432758,0.008893,0.080847,0.475569,1.486154,6.282576
0.020000,32.414825,2.432758,0.010611,0.090953,0.505292,1.486154,6.282759
0.020000,32.414825,2.432758,0.012537,0.101653,0.535016,1.486154,6.282964
0.020000,32.414900,2.432758,0.014683,0.112948,0.564739,1.486154,0.000008
0.020000,32.417280,2.432758,0.017061,0.124837,0.594462,1.486154,0.000262
0.020000,32.419903,2.432759,0.019683,0.137321,0.624185,1.486154,0.000542
0.020000,32.422781,2.432761,0.022560,0.150399,0.653908,1.486154,0.000850
0.020000,32.425924,2.432764,0.025705,0.164071,0.683631,1.486154,0.001186
0.020000,32.429345,2.432769,0.029129,0.178339,0.713354,1.486154,0.001553
0.020000,32.433064,2.432775,0.032844,0.193200,0.743077,1.486154,0.001952
0.020000,32.437083,2.432784,0.036863,0.208656,0.772800,1.486154,0.002384
0.020000,32.441415,2.432795,0.041196,0.224707,0.802523,1.486154,0.002850
0.020000,32.446075,2.432810,0.045857,0.241351,0.832246,1.486154,0.003353
0.020000,32.451077,2.432828,0.050856,0.258591,0.861970,1.486154,0.003893
0.020000,32.456425,2.432850,0.056206,0.276425,0.891693,1.486154,0.004472
0.020000,32.462139,2.432878,0.061919,0.294853,0.921416,1.486154,0.005092
0.020000,32.468226,2.432911,0.068006,0.313876,0.951139,1.486154,0.005753
0.020000,32.474698,2.432950,0.074480,0.333493,0.980862,1.486154,0.006459
0.020000,32.481572,2.432997,0.081352,0.353705,1.010585,1.486154,0.007210
0.020000,32.488851,2.433053,0.088634,0.374511,1.040308,1.486154,0.008007
0.020000,32.496558,2.433118,0.096338,0.395912,1.070031,1.486154,0.008854
0.020000,32.504694,2.433193,0.104477,0.417907,1.099754,1.486154,0.009750
0.020000,32.513278,2.433281,0.113061,0.440496,1.129477,1.486154,0.010699
0.020000,32.522321,2.433382,0.122102,0.463680,1.159200,1.486154,0.011702
0.020000,32.531829,2.433499,0.131614,0.487459,1.188924,1.486154,0.012760
0.020000,32.541822,2.433632,0.141607,0.511832,1.218647,1.486154,0.013877
0.020000,32.552309,2.433783,0.152093,0.536799,1.248370,1.486154,0.015053
0.020000,32.563298,2.433956,0.163085,0.562361,1.278093,1.486154,0.016291
0.020000,32.574803,2.434150,0.174593,0.588517,1.307816,1.486154,0.017592
0.020000,32.586839,2.434370,0.186631,0.615268,1.337539,1.486154,0.018960
0.020000,32.599416,2.434618,0.199210,0.642613,1.367262,1.486154,0.020396
0.020000,32.612546,2.434896,0.212342,0.670553,1.396985,1.486154,0.021902
0.020000,32.626239,2.435206,0.226038,0.699087,1.426708,1.486154,0.023482
0.020000,32.640508,2.435553,0.240311,0.728216,1.456431,1.486154,0.025137
0.020000,32.655364,2.435940,0.255173,0.757939,1.486154,1.486154,0.026870
0.020000,32.670819,2.436369,0.270635,0.788256,1.515877,1.486154,0.028683
0.020000,32.686885,2.436845,0.286709,0.819168,1.545601,1.486154,0.030580
0.020000,32.703577,2.437372,0.303407,0.850675,1.575324,1.486154,0.032563
0.020000,32.720903,2.437955,0.320742,0.882776,1.605047,1.486154,0.034636
0.020000,32.738873,2.438597,0.338724,0.915471,1.634770,1.486154,0.036801
0.020000,32.757500,2.439304,0.357367,0.948761,1.664493,1.486154,0.039061
0.020000,32.776801,2.440081,0.376681,0.982645,1.694216,1.486154,0.041421
