dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000077,0.007741,0.387056,19.352791,6.281638
0.020000,32.414825,2.432758,0.000077,0.000000,-0.387056,-38.705583,6.281671
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,19.352791,6.281745
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.281877
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282083
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282379
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282783
0.020000,32.416010,2.432758,0.001262,0.059238,2.961898,148.094893,0.000126
0.020000,32.422283,2.432761,0.007535,0.313658,12.720994,487.954814,0.000797
0.020000,32.430021,2.432770,0.015273,0.386884,3.661330,-452.983184,0.001625
0.020000,32.439390,2.432790,0.024643,0.468480,4.079798,20.923389,0.002632
0.020000,32.450538,2.432826,0.035790,0.557386,4.445254,18.272807,0.003835
0.020000,32.463620,2.432885,0.048872,0.654108,4.836122,19.543377,0.005253
0.020000,32.478792,2.432978,0.064045,0.758638,5.226507,19.519231,0.006906
0.020000,32.496209,2.433114,0.081463,0.870874,5.611774,19.263376,0.008815
0.020000,32.516022,2.433311,0.101276,0.990685,5.990555,18.939024,0.011003
0.020000,32.538396,2.433585,0.123652,1.118775,6.404498,20.697149,0.013493
0.020000,32.563474,2.433958,0.148732,1.254026,6.762587,17.904449,0.016310
0.020000,32.591414,2.434458,0.176678,1.397256,7.161477,19.944504,0.019481
0.020000,32.622373,2.435117,0.207643,1.548265,7.550477,19.450015,0.023035
0.020000,32.656498,2.435970,0.241779,1.706815,7.927503,18.851314,0.027002
0.020000,32.693951,2.437064,0.279248,1.873447,8.331555,20.202601,0.031418
0.020000,32.734878,2.438451,0.320199,2.047521,8.703711,18.607766,0.036318
0.020000,32.779432,2.440190,0.364787,2.229410,9.094467,19.537837,0.041744
0.020000,32.827765,2.442354,0.413168,2.419055,9.482235,19.388393,0.047741
0.020000,32.880025,2.445023,0.465496,2.616400,9.867270,19.251724,0.054357
0.020000,32.936364,2.448294,0.521930,2.821725,10.266237,19.948384,0.061649
0.020000,32.996924,2.452275,0.582621,3.034512,10.639355,18.655863,0.069677
0.020000,33.061849,2.457093,0.647724,3.255152,11.031997,19.632147,0.078510
0.020000,33.131273,2.462893,0.717390,3.483329,11.408862,18.843203,0.088225
0.020000,33.205342,2.469842,0.791785,3.719718,11.819429,20.528365,0.098908
0.020000,33.284174,2.478130,0.871051,3.963322,12.180197,18.038395,0.110657
0.020000,33.367900,2.487978,0.955354,4.215132,12.590527,20.516539,0.123582
0.020000,33.456622,2.499635,1.044839,4.474246,12.955671,18.257156,0.137806
0.020000,33.550448,2.513393,1.139668,4.741457,13.360581,20.245512,0.153472
0.020000,33.649455,2.529578,1.239988,5.016037,13.728982,18.420079,0.170736
0.020000,33.753713,2.548570,1.345963,5.298710,14.133673,20.234548,0.189780
0.020000,33.863262,2.570801,1.457745,5.589100,14.519466,19.289610,0.210807
0.020000,33.978027,2.596744,1.575405,5.883032,14.696636,8.858515,0.234027
0.020000,34.097831,2.626919,1.698951,6.177293,14.713017,0.819081,0.259661
0.020000,34.222367,2.661878,1.828300,6.467465,14.508604,-10.220651,0.287925
0.020000,34.351202,2.702203,1.963299,6.749905,14.122011,-19.329664,0.319032
0.020000,34.483843,2.748521,2.103795,7.024814,13.745432,-18.828975,0.353191
0.020000,34.619716,2.801491,2.249627,7.291628,13.340719,-20.235643,0.390596
0.020000,34.758169,2.861804,2.400647,7.550989,12.968032,-18.634344,0.431408
0.020000,34.898450,2.930155,2.556694,7.802362,12.568646,-19.969312,0.475729
0.020000,35.039712,3.007231,2.717616,8.046066,12.185211,-19.171734,0.523575
0.020000,35.181009,3.093676,2.883258,8.282111,11.802269,-19.147080,0.574838
0.020000,35.321301,3.190051,3.053464,8.510301,11.409494,-19.638749,0.629258
0.020000,35.459487,3.296799,3.228079,8.730769,11.023382,-19.305636,0.686393
0.020000,35.594437,3.414202,3.406950,8.943534,10.638267,-19.255715,0.745620
0.020000,35.725037,3.542351,3.589922,9.148606,10.253608,-19.232988,0.806148
0.020000,35.850255,3.681129,3.776841,9.345937,9.866514,-19.354692,0.867065
0.020000,35.969188,3.830212,3.967553,9.535593,9.482829,-19.184221,0.927412
0.020000,36.081115,3.989098,4.161904,9.717557,9.098167,-19.233111,0.986259
0.020000,36.185527,4.157138,4.359740,9.891821,8.713244,-19.246138,1.042780
0.020000,36.282132,4.333591,4.560908,10.058376,8.327712,-19.276642,1.096304
0.020000,36.370850,4.517672,4.765252,10.217197,7.941054,-19.332854,1.146343
0.020000,36.451784,4.708591,4.972618,10.368292,7.554759,-19.314758,1.192589
0.020000,36.525190,4.905593,5.182851,10.511663,7.168542,-19.310854,1.234891
0.020000,36.591441,5.107969,5.395796,10.647244,6.779069,-19.473658,1.273227
0.020000,36.650995,5.315079,5.611298,10.775097,6.392639,-19.321482,1.307666
0.020000,36.704369,5.526345,5.829202,10.895218,6.006049,-19.329528,1.338340
0.020000,36.752113,5.741256,6.049352,11.007510,5.614627,-19.571120,1.365412
0.020000,36.794797,5.959361,6.271595,11.112117,5.230331,-19.214759,1.389064
0.020000,36.833001,6.180261,6.495774,11.208960,4.842158,-19.408671,1.409471
0.020000,36.867304,6.403602,6.721734,11.298012,4.452598,-19.478008,1.426802
0.020000,36.898283,6.629071,6.949321,11.379341,4.066431,-19.308338,1.441205
0.020000,36.926513,6.856383,7.178379,11.452924,3.679139,-19.364610,1.452807
0.020000,36.952561,7.085281,7.408754,11.518753,3.291492,-19.382330,1.461711
0.020000,36.976995,7.315524,7.640291,11.576824,2.903534,-19.397934,1.467990
0.020000,37.000382,7.546888,7.872834,11.627153,2.516424,-19.355498,1.471694
0.020000,37.023292,7.779156,8.106229,11.669738,2.129283,-19.357018,1.472841
0.020000,37.046301,8.012114,8.340320,11.704572,1.741676,-19.380379,1.471421
0.020000,37.069998,8.245547,8.574953,11.731660,1.354422,-19.362689,1.467395
0.020000,37.094987,8.479235,8.809973,11.750999,0.966920,-19.375097,1.460691
0.020000,37.121888,8.712922,9.045203,11.761502,0.525192,-22.086370,1.451205
0.020000,37.151336,8.946257,9.280390,11.759318,-0.109246,-31.721901,1.438807
0.020000,37.183990,9.178887,9.515300,11.745515,-0.690134,-29.044440,1.423331
0.020000,37.217714,9.403036,9.741971,11.333564,-20.597566,-995.371599,1.432291
0.020000,37.246340,9.635166,9.975860,11.694425,18.043094,1932.032996,1.462855
