dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,39.724000,16.680000,0.000078,0.007819,0.390935,19.546753,6.280716
0.020000,39.724000,16.680000,0.000078,0.000000,-0.390935,-39.093507,6.280798
0.020000,39.724000,16.680000,0.000078,0.000000,0.000000,19.546753,6.280982
0.020000,39.724000,16.680000,0.000078,0.000000,0.000000,0.000000,6.281311
0.020000,39.724000,16.680000,0.000078,0.000000,0.000000,0.000000,6.281823
0.020000,39.724000,16.680000,0.000078,0.000000,0.000000,0.000000,6.282560
0.020000,39.725438,16.680000,0.001516,0.071878,3.593895,179.694736,0.000375
0.020000,39.730441,16.680005,0.006519,0.250175,8.914879,266.049215,0.001678
0.020000,39.736774,16.680021,0.012852,0.316656,3.324004,-279.543762,0.003320
0.020000,39.744593,16.680055,0.020672,0.390957,3.715091,19.554370,0.005337
0.020000,39.754054,16.680117,0.030132,0.473033,4.103758,19.433366,0.007761
0.020000,39.765312,16.680221,0.041391,0.562923,4.494515,19.537818,0.010624
0.020000,39.778524,16.680383,0.054604,0.660685,4.888103,19.679388,0.013953
0.020000,39.793847,16.680626,0.069929,0.766228,5.277178,19.453747,0.017773
0.020000,39.811436,16.680977,0.087521,0.879626,5.669858,19.634013,0.022105
0.020000,39.831446,16.681468,0.107537,1.000780,6.057701,19.392146,0.026963
0.020000,39.854031,16.682138,0.130133,1.129784,6.450230,19.626461,0.032361
0.020000,39.879348,16.683034,0.155466,1.266649,6.843235,19.650259,0.038304
0.020000,39.907550,16.684206,0.183691,1.411288,7.231973,19.436879,0.044792
0.020000,39.938787,16.685717,0.214966,1.563706,7.620875,19.445131,0.051820
0.020000,39.973215,16.687633,0.249446,1.724047,8.017058,19.809109,0.059376
0.020000,40.010981,16.690032,0.287288,1.892100,8.402629,19.278576,0.067443
0.020000,40.052236,16.692997,0.328650,2.068076,8.798803,19.808681,0.075995
0.020000,40.097125,16.696619,0.373685,2.251730,9.182708,19.195275,0.085002
0.020000,40.145795,16.700999,0.422551,2.443338,9.580388,19.883977,0.094426
0.020000,40.198389,16.706242,0.475406,2.642720,9.969142,19.437731,0.104223
0.020000,40.255046,16.712461,0.532404,2.849898,10.358862,19.485965,0.114344
0.020000,40.315907,16.719773,0.593702,3.064916,10.750900,19.601896,0.124735
0.020000,40.381107,16.728303,0.659458,3.287795,11.143964,19.653202,0.135335
0.020000,40.450702,16.738163,0.729747,3.514468,11.333667,9.485188,0.146068
0.020000,40.524669,16.749457,0.804572,3.741253,11.339248,0.279045,0.156847
0.020000,40.602986,16.762278,0.883931,3.967944,11.334542,-0.235321,0.167586
0.020000,40.685628,16.776716,0.967826,4.194721,11.338830,0.214410,0.178202
0.020000,40.772574,16.792850,1.056255,4.421464,11.337147,-0.084130,0.188615
0.020000,40.863799,16.810749,1.149219,4.648227,11.338159,0.050593,0.198750
0.020000,40.959281,16.830474,1.246718,4.874927,11.334989,-0.158506,0.208532
0.020000,41.059002,16.852071,1.348751,5.101665,11.336920,0.096528,0.217893
0.020000,41.162946,16.875577,1.455320,5.328429,11.338209,0.064477,0.226766
0.020000,41.271023,16.900997,1.566345,5.551276,11.142322,-9.794371,0.235080
0.020000,41.383070,16.928298,1.681671,5.766283,10.750362,-19.598013,0.242765
0.020000,41.498933,16.957432,1.801141,5.973491,10.360392,-19.498494,0.249755
0.020000,41.618462,16.988329,1.924598,6.172849,9.967926,-19.623296,0.255992
0.020000,41.741512,17.020903,2.051886,6.364427,9.578891,-19.451749,0.261417
0.020000,41.867945,17.055049,2.182849,6.548156,9.186450,-19.622024,0.265976
0.020000,41.997630,17.090645,2.317331,6.724087,8.796565,-19.494273,0.269615
0.020000,42.130442,17.127550,2.455175,6.892197,8.405462,-19.555143,0.272280
0.020000,42.266261,17.165606,2.596225,7.052470,8.013684,-19.588890,0.273913
0.020000,42.404973,17.204635,2.740323,7.204942,7.623565,-19.505944,0.274455
0.020000,42.546472,17.244444,2.887315,7.349587,7.232288,-19.563853,0.273839
0.020000,42.690654,17.284816,3.037043,7.486413,6.841270,-19.550934,0.271992
0.020000,42.837423,17.325518,3.189352,7.615420,6.450370,-19.544957,0.268831
0.020000,42.986687,17.366292,3.344084,7.736600,6.058986,-19.569205,0.264262
0.020000,43.138355,17.406857,3.501083,7.849977,5.668878,-19.505411,0.258178
0.020000,43.292342,17.446907,3.660194,7.955519,5.277077,-19.590043,0.250451
0.020000,43.448564,17.486106,3.821259,8.053240,4.886045,-19.551620,0.240938
0.020000,43.606937,17.524085,3.984121,8.143137,4.494840,-19.560254,0.229468
0.020000,43.767374,17.560440,4.148626,8.225227,4.104511,-19.516419,0.215843
0.020000,43.929784,17.594723,4.314614,8.299427,3.709984,-19.726346,0.199830
0.020000,44.094068,17.626440,4.481932,8.365908,3.324049,-19.296769,0.181158
0.020000,44.260112,17.655042,4.650422,8.424478,2.928509,-19.776997,0.159510
0.020000,44.427783,17.679920,4.819928,8.475302,2.541220,-19.364480,0.134518
0.020000,44.596912,17.700393,4.990292,8.518185,2.144146,-19.853659,0.105759
