dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,39.724000,19.680000,0.000076,0.007639,0.381945,19.097268,1.879053
0.020000,39.724000,19.680000,0.000076,0.000000,-0.381945,-38.194536,1.878853
0.020000,39.724000,19.680000,0.000076,0.000000,0.000000,19.097268,1.878404
0.020000,39.724000,19.680000,0.000076,0.000000,0.000000,0.000000,1.877606
0.020000,39.723587,19.681306,0.001446,0.068483,3.424156,171.207778,1.876363
0.020000,39.722762,19.683929,0.004196,0.137500,3.450862,1.335330,1.874581
0.020000,39.721647,19.687502,0.007939,0.187156,2.482791,-48.403576,1.872171
0.020000,39.720203,19.692173,0.012828,0.244442,2.864280,19.074474,1.869051
0.020000,39.718397,19.698091,0.019016,0.309377,3.246750,19.123495,1.865147
0.020000,39.716198,19.705407,0.026654,0.381944,3.628385,19.081726,1.860394
0.020000,39.713583,19.714272,0.035897,0.462153,4.010420,19.101773,1.854741
0.020000,39.710537,19.724842,0.046897,0.550000,4.392351,19.096575,1.848153
0.020000,39.707049,19.737272,0.059807,0.645495,4.774762,19.120545,1.840612
0.020000,39.703120,19.751719,0.074780,0.748606,5.155532,19.038461,1.832120
0.020000,39.698758,19.768344,0.091967,0.859375,5.538452,19.146021,1.822699
0.020000,39.693982,19.787307,0.111523,0.977778,5.920151,19.084969,1.812399
0.020000,39.688820,19.808772,0.133599,1.103809,6.301578,19.071356,1.801292
0.020000,39.683309,19.832900,0.158349,1.237506,6.684830,19.162580,1.789476
0.020000,39.677496,19.859857,0.185925,1.378804,7.064924,19.004693,1.777078
0.020000,39.671432,19.889804,0.216480,1.527774,7.448486,19.178126,1.764247
0.020000,39.665175,19.922906,0.250168,1.684369,7.829746,19.062964,1.751160
0.020000,39.658786,19.959321,0.287140,1.848598,8.211463,19.085846,1.738018
0.020000,39.652323,19.999211,0.327550,2.020486,8.594356,19.144689,1.725044
0.020000,39.645842,20.042731,0.371549,2.199984,8.974937,19.029026,1.712484
0.020000,39.639388,20.090035,0.419292,2.387147,9.358117,19.159017,1.700605
0.020000,39.632991,20.141277,0.470931,2.581940,9.739693,19.078779,1.689698
0.020000,39.626661,20.196603,0.526618,2.784371,10.121535,19.092101,1.680083
0.020000,39.620379,20.256161,0.586507,2.994446,10.503728,19.109662,1.672108
0.020000,39.614085,20.320096,0.650750,3.212157,10.885578,19.092470,1.666168
0.020000,39.607674,20.388546,0.719501,3.437509,11.267581,19.100165,1.662713
0.020000,39.600979,20.461573,0.792834,3.666678,11.458438,9.542881,1.662272
0.020000,39.593762,20.539155,0.870751,3.895843,11.458274,-0.008220,1.665467
0.020000,39.585682,20.621259,0.953251,4.125002,11.457958,-0.015800,1.673040
0.020000,39.576274,20.707832,1.040334,4.354147,11.457211,-0.037344,1.685914
0.020000,39.564911,20.798791,1.131999,4.583274,11.456373,-0.041889,1.705262
0.020000,39.550766,20.893993,1.228247,4.812364,11.454508,-0.093286,1.732606
0.020000,39.532745,20.993197,1.329075,5.041390,11.451274,-0.161702,1.769947
0.020000,39.509421,21.095990,1.434480,5.270295,11.445267,-0.300331,1.819892
0.020000,39.478970,21.201591,1.544385,5.495210,11.245752,-9.975749,1.885691
0.020000,39.439149,21.308670,1.658628,5.712166,10.847814,-19.896879,1.971002
0.020000,39.387366,21.415170,1.777050,5.921082,10.445787,-20.101369,2.079068
0.020000,39.321031,21.518082,1.899489,6.121966,10.044189,-20.079924,2.210682
0.020000,39.238286,21.613508,2.025793,6.315193,9.661368,-19.141039,2.361254
0.020000,39.138905,21.697361,2.155823,6.501534,9.317056,-17.215577,2.519569
0.020000,39.024613,21.766598,2.289451,6.681391,8.992829,-16.211362,2.671469
0.020000,38.898383,21.820075,2.426542,6.854517,8.656326,-16.825133,2.806348
0.020000,38.763307,21.858383,2.566945,7.020157,8.281982,-18.717228,2.920170
0.020000,38.621887,21.883074,2.710504,7.177983,7.891281,-19.535018,3.013853
0.020000,38.475899,21.895959,2.857059,7.327743,7.487994,-20.164358,3.090446
0.020000,38.326534,21.898739,3.006450,7.469548,7.090290,-19.885219,3.153302
0.020000,38.174612,21.892873,3.158486,7.601786,6.611887,-23.920156,3.207780
0.020000,38.027350,21.887011,3.305864,7.368911,-11.643744,-912.781523,3.158327
0.020000,37.870386,21.887932,3.462831,7.848324,23.970643,1780.719334,3.114093
0.020000,37.711382,21.895497,3.622015,7.959228,5.545221,-921.271111,3.074915
0.020000,37.550705,21.909073,3.783265,8.062472,5.162173,-19.152386,3.040540
0.020000,37.388647,21.928018,3.946426,8.158054,4.779083,-19.154523,3.010674
0.020000,37.225437,21.951702,4.111345,8.245977,4.396190,-19.144623,2.985014
0.020000,37.061251,21.979511,4.277870,8.326248,4.013549,-19.132079,2.963273
0.020000,36.896223,22.010850,4.445848,8.398870,3.631078,-19.123524,2.945193
0.020000,36.730456,22.045145,4.615125,8.463843,3.248657,-19.121040,2.930553
0.020000,36.564030,22.081837,4.785548,8.521167,2.866198,-19.122947,2.919172
0.020000,36.397003,22.120384,4.956965,8.570836,2.483429,-19.138485,2.910911
0.020000,36.229422,22.160250,5.129222,8.612859,2.101185,-19.112193,2.905677
0.020000,36.061324,22.200904,5.302167,8.647247,1.719381,-19.090167,2.903415
0.020000,35.892737,22.241816,5.475646,8.673986,1.336968,-19.120657,2.904119
0.020000,35.723690,22.282447,5.649508,8.693079,0.954623,-19.117253,2.907823
0.020000,35.554244,22.322235,5.823562,8.702721,0.482087,-23.626803,2.914609
0.020000,35.384542,22.360587,5.997544,8.699087,-0.181661,-33.187394,2.924600
0.020000,35.214700,22.396895,6.171224,8.684004,-0.754166,-28.625293,2.937961
0.020000,35.044773,22.430540,6.344450,8.661264,-1.137008,-19.142079,2.954917
0.020000,34.874841,22.460866,6.517067,8.630856,-1.520406,-19.169875,2.975745
0.020000,34.705011,22.487178,6.688922,8.592790,-1.903292,-19.144335,3.000777
0.020000,34.535433,22.508731,6.859865,8.547106,-2.284193,-19.045040,3.030397
