dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.724000,18.662000,0.000076,0.007635,0.381746,19.087322,4.323594
0.020000,32.724000,18.662000,0.000076,0.000000,-0.381746,-38.174644,4.323602
0.020000,32.724000,18.662000,0.000076,0.000000,0.000000,19.087322,4.323621
0.020000,32.724000,18.662000,0.000076,0.000000,0.000000,0.000000,4.323656
0.020000,32.724000,18.662000,0.000076,0.000000,0.000000,0.000000,4.323709
0.020000,32.723539,18.660874,0.001293,0.060850,3.042520,152.125994,4.323786
0.020000,32.722122,18.657411,0.005034,0.187056,6.310266,163.387326,4.323890
0.020000,32.720271,18.652889,0.009921,0.244318,2.863102,-172.358198,4.324027
0.020000,32.717930,18.647165,0.016105,0.309215,3.244841,19.086923,4.324199
0.020000,32.715040,18.640098,0.023740,0.381746,3.626591,19.087502,4.324411
0.020000,32.711546,18.631546,0.032978,0.461913,4.008341,19.087525,4.324666
0.020000,32.707391,18.621367,0.043973,0.549715,4.390083,19.087059,4.324970
0.020000,32.702519,18.609419,0.056876,0.645151,4.771825,19.087141,4.325324
0.020000,32.696873,18.595561,0.071840,0.748223,5.153586,19.088013,4.325733
0.020000,32.690399,18.579649,0.089019,0.858929,5.535318,19.086640,4.326200
0.020000,32.683041,18.561541,0.108564,0.977271,5.917065,19.087315,4.326728
0.020000,32.674747,18.541094,0.130629,1.103247,6.298824,19.087949,4.327319
0.020000,32.665463,18.518166,0.155366,1.236858,6.680558,19.086692,4.327976
0.020000,32.655165,18.492682,0.182852,1.374287,6.871438,9.544007,4.328700
0.020000,32.643858,18.464642,0.213086,1.511716,6.871436,-0.000064,4.329487
0.020000,32.631548,18.434042,0.246069,1.649145,6.871433,-0.000189,4.330336
0.020000,32.618241,18.400881,0.281801,1.786573,6.871438,0.000288,4.331243
0.020000,32.603944,18.365155,0.320281,1.924002,6.871433,-0.000261,4.332206
0.020000,32.588664,18.326863,0.361509,2.061431,6.871435,0.000101,4.333223
0.020000,32.572408,18.286000,0.405486,2.198859,6.871438,0.000124,4.334288
0.020000,32.555183,18.242565,0.452212,2.336288,6.871432,-0.000305,4.335400
0.020000,32.536997,18.196555,0.501687,2.473717,6.871439,0.000364,4.336554
0.020000,32.517858,18.147965,0.553909,2.611146,6.871432,-0.000323,4.337746
0.020000,32.497773,18.096794,0.608881,2.748574,6.871435,0.000128,4.338972
0.020000,32.476751,18.043039,0.666601,2.886003,6.871436,0.000041,4.340228
0.020000,32.454799,17.986695,0.727070,3.023432,6.871434,-0.000096,4.341508
0.020000,32.431925,17.927762,0.790287,3.160860,6.871436,0.000106,4.342809
0.020000,32.408138,17.866234,0.856253,3.298289,6.871436,0.000013,4.344124
0.020000,32.383443,17.802110,0.924967,3.435718,6.871434,-0.000103,4.345450
0.020000,32.357850,17.735388,0.996430,3.573146,6.871435,0.000038,4.346779
0.020000,32.331364,17.666063,1.070641,3.710575,6.871436,0.000059,4.348107
0.020000,32.303993,17.594135,1.147602,3.848004,6.871436,-0.000028,4.349427
0.020000,32.275742,17.519601,1.227310,3.985433,6.871436,0.000004,4.350733
0.020000,32.246643,17.442530,1.309691,4.119044,6.680563,-9.543647,4.352018
0.020000,32.216756,17.363064,1.394591,4.245020,6.298817,-19.087307,4.353273
0.020000,32.186136,17.281345,1.481859,4.363362,5.917070,-19.087310,4.354489
0.020000,32.154840,17.197515,1.571340,4.474068,5.535324,-19.087308,4.355659
0.020000,32.122921,17.111718,1.662883,4.577140,5.153578,-19.087320,4.356775
0.020000,32.090431,17.024096,1.756334,4.672576,4.771831,-19.087324,4.357829
0.020000,32.057421,16.934794,1.851542,4.760378,4.390086,-19.087274,4.358816
0.020000,32.023943,16.843956,1.948353,4.840545,4.008339,-19.087352,4.359729
0.020000,31.990043,16.751727,2.046614,4.913077,3.626592,-19.087347,4.360561
0.020000,31.955769,16.658253,2.146174,4.977974,3.244846,-19.087283,4.361308
0.020000,31.921167,16.563680,2.246879,5.035236,2.863100,-19.087305,4.361966
0.020000,31.886282,16.468153,2.348576,5.084863,2.481353,-19.087360,4.362529
0.020000,31.851159,16.371819,2.451113,5.126855,2.099606,-19.087340,4.362995
0.020000,31.815841,16.274825,2.554337,5.161212,1.717860,-19.087302,4.363360
0.020000,31.780371,16.177317,2.658096,5.187934,1.336113,-19.087339,4.363622
0.020000,31.744791,16.079443,2.762236,5.207021,0.954366,-19.087345,4.363779
0.020000,31.709145,15.981357,2.866599,5.218121,0.554991,-19.968796,4.363830
0.020000,31.673503,15.883284,2.970947,5.217416,-0.035259,-29.512469,4.363775
0.020000,31.637935,15.785444,3.075052,5.205259,-0.607879,-28.631002,4.363615
0.020000,31.602480,15.687983,3.178761,5.185466,-0.989626,-19.087335,4.363349
0.020000,31.567183,15.591049,3.281922,5.158039,-1.371372,-19.087327,4.362981
0.020000,31.532085,15.494788,3.384382,5.122976,-1.753119,-19.087326,4.362512
0.020000,31.497230,15.399348,3.485987,5.080279,-2.134865,-19.087339,4.361946
0.020000,31.462663,15.304875,3.586586,5.029947,-2.516613,-19.087371,4.361286
0.020000,31.428428,15.211514,3.686026,4.971980,-2.898357,-19.087212,4.360537
0.020000,31.394572,15.119412,3.784153,4.906377,-3.280106,-19.087428,4.359703
0.020000,31.361142,15.028714,3.880816,4.833140,-3.661852,-19.087296,4.358789
0.020000,31.328186,14.939565,3.975862,4.752268,-4.043598,-19.087343,4.357802
0.020000,31.295755,14.852109,4.069137,4.663762,-4.425343,-19.087234,4.356747
0.020000,31.263900,14.766491,4.160489,4.567620,-4.807091,-19.087399,4.355631
0.020000,31.232673,14.682854,4.249766,4.463843,-5.188837,-19.087279,4.354462
0.020000,31.202128,14.601340,4.336815,4.352431,-5.570583,-19.087335,4.353247
0.020000,31.172320,14.522093,4.421482,4.233385,-5.952329,-19.087272,4.351995
0.020000,31.143307,14.445254,4.503616,4.106703,-6.334076,-19.087349,4.350712
0.020000,31.115145,14.370957,4.583071,3.972739,-6.698192,-18.205816,4.349410
0.020000,31.087863,14.299267,4.659777,3.835311,-6.871436,-8.662200,4.348093
0.020000,31.061467,14.230180,4.733735,3.697882,-6.871435,0.000034,4.346769
0.020000,31.035964,14.163694,4.804944,3.560453,-6.871436,-0.000013,4.345444
0.020000,31.011360,14.099808,4.873405,3.423025,-6.871435,0.000014,4.344124
0.020000,30.987664,14.038517,4.939117,3.285596,-6.871434,0.000053,4.342813
0.020000,30.964883,13.979819,5.002080,3.148167,-6.871436,-0.000076,4.341518
0.020000,30.943024,13.923712,5.062295,3.010738,-6.871437,-0.000036,4.340243
0.020000,30.922095,13.870193,5.119761,2.873310,-6.871434,0.000137,4.338994
0.020000,30.902104,13.819258,5.174478,2.735881,-6.871434,-0.000018,4.337774
0.020000,30.883059,13.770904,5.226448,2.598452,-6.871436,-0.000112,4.336588
0.020000,30.864969,13.725129,5.275668,2.461024,-6.871434,0.000135,4.335441
0.020000,30.847839,13.681929,5.322140,2.323595,-6.871435,-0.000037,4.334336
0.020000,30.831679,13.641302,5.365863,2.186166,-6.871440,-0.000271,4.333278
0.020000,30.816495,13.603244,5.406838,2.048737,-6.871431,0.000442,4.332269
0.020000,30.802295,13.567753,5.445064,1.911309,-6.871437,-0.000301,4.331313
0.020000,30.789086,13.534827,5.480542,1.773880,-6.871434,0.000140,4.330413
0.020000,30.776873,13.504461,5.513271,1.636451,-6.871435,-0.000030,4.329572
0.020000,30.765663,13.476655,5.543251,1.499023,-6.871437,-0.000087,4.328792
0.020000,30.755463,13.451406,5.570483,1.361594,-6.871434,0.000139,4.328076
0.020000,30.746273,13.428705,5.594973,1.224518,-6.853808,0.881302,4.327427
0.020000,30.738069,13.408473,5.616806,1.091612,-6.645302,10.425270,4.326842
0.020000,30.730796,13.390567,5.636133,0.966341,-6.263556,19.087327,4.326321
0.020000,30.724401,13.374844,5.653107,0.848704,-5.881813,19.087165,4.325861
0.020000,30.718829,13.361161,5.667881,0.738703,-5.500064,19.087428,4.325458
0.020000,30.714024,13.349376,5.680607,0.636337,-5.118319,19.087256,4.325109
0.020000,30.709932,13.339347,5.691439,0.541605,-4.736570,19.087439,4.324810
0.020000,30.706495,13.330931,5.700530,0.454509,-4.354818,19.087587,4.324559
0.020000,30.703658,13.323988,5.708031,0.375047,-3.973092,19.086338,4.324351
0.020000,30.701362,13.318374,5.714095,0.303221,-3.591327,19.088242,4.324183
0.020000,30.699553,13.313950,5.718876,0.239029,-3.209583,19.087189,4.324050
0.020000,30.698171,13.310572,5.722525,0.182472,-2.827841,19.087098,4.323948
0.020000,30.697159,13.308100,5.725196,0.133550,-2.446096,19.087272,4.323874
0.020000,30.696460,13.306392,5.727041,0.092263,-2.064345,19.087522,4.323822
0.020000,30.696016,13.305307,5.728214,0.058611,-1.682596,19.087435,4.323789
