dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.724000,18.662000,0.000079,0.007863,0.393173,19.658633,3.140743
0.020000,32.724000,18.662000,0.000079,0.000000,-0.393173,-39.317267,3.140751
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,19.658633,3.140769
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.140802
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.140854
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.140928
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.141029
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.141161
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.141328
0.020000,32.724000,18.662000,0.000079,0.000000,0.000000,0.000000,3.141534
0.020000,32.716703,18.661999,0.007375,0.364837,18.241856,912.092796,3.141785
0.020000,32.705376,18.661995,0.018703,0.566358,10.076029,-408.291346,3.142083
0.020000,32.692099,18.661987,0.031980,0.663849,4.874545,-260.074220,3.142435
0.020000,32.676674,18.661970,0.047404,0.771240,5.369582,24.751856,3.142844
0.020000,32.658995,18.661944,0.065084,0.883989,5.637453,13.393567,3.143316
0.020000,32.638852,18.661904,0.085227,1.007128,6.156914,25.973026,3.143856
0.020000,32.616127,18.661846,0.107952,1.136243,6.455772,14.942924,3.144469
0.020000,32.590656,18.661764,0.133423,1.273585,6.867078,20.565298,3.145161
0.020000,32.562274,18.661651,0.161805,1.419095,7.275501,20.421170,3.145937
0.020000,32.530821,18.661501,0.193258,1.572652,7.677892,20.119517,3.146804
0.020000,32.496140,18.661304,0.227940,1.734108,8.072796,19.745232,3.147769
0.020000,32.458075,18.661048,0.266006,1.903282,8.458659,19.293120,3.148839
0.020000,32.416477,18.660722,0.307605,2.079958,8.833818,18.757954,3.150021
0.020000,32.371195,18.660311,0.352889,2.264186,9.211396,18.878909,3.151324
0.020000,32.322042,18.659798,0.402045,2.457802,9.680829,23.471644,3.152756
0.020000,32.268889,18.659162,0.455201,2.657822,10.000977,16.007422,3.154328
0.020000,32.211574,18.658383,0.512522,2.866051,10.411478,20.525028,3.156051
0.020000,32.149931,18.657434,0.574172,3.082486,10.821715,20.511877,3.157935
0.020000,32.083806,18.656285,0.640307,3.306764,11.213894,19.608914,3.159995
0.020000,32.013050,18.654904,0.711077,3.538461,11.584890,18.549800,3.162244
0.020000,31.937501,18.653251,0.786643,3.778338,11.993824,20.446732,3.164699
0.020000,31.857011,18.651283,0.867158,4.025726,12.369382,18.777891,3.167377
0.020000,31.771406,18.648951,0.952794,4.281831,12.805262,21.794013,3.170299
0.020000,31.680630,18.646200,1.043612,4.540876,12.952257,7.349712,3.173485
0.020000,31.584661,18.642973,1.139635,4.801154,13.013891,3.081733,3.176956
0.020000,31.483535,18.639205,1.240832,5.059829,12.933764,-4.006376,3.180732
0.020000,31.377227,18.634825,1.347230,5.319909,13.004008,3.512231,3.184841
0.020000,31.265761,18.629753,1.458811,5.579076,12.958313,-2.284778,3.189312
0.020000,31.149224,18.623906,1.575495,5.834176,12.755018,-10.164746,3.194175
0.020000,31.027750,18.617192,1.697154,6.082968,12.439613,-15.770236,3.199463
0.020000,30.901540,18.609519,1.823597,6.322133,11.958226,-24.069387,3.205213
0.020000,30.770748,18.600780,1.954681,6.554212,11.603983,-17.712101,3.211467
0.020000,30.635548,18.590859,2.090244,6.778161,11.197440,-20.327166,3.218275
0.020000,30.496107,18.579629,2.230137,6.994613,10.822608,-18.741596,3.225693
0.020000,30.352609,18.566953,2.374193,7.202836,10.411142,-20.573336,3.233790
0.020000,30.205229,18.552675,2.522263,7.403499,10.033129,-18.900627,3.242642
0.020000,30.054166,18.536626,2.674177,7.595686,9.609356,-21.188648,3.252343
0.020000,29.899599,18.518613,2.829790,7.780648,9.248113,-18.062148,3.263004
0.020000,29.741721,18.498420,2.988954,7.958192,8.877216,-18.544864,3.274756
0.020000,29.580770,18.475809,3.151485,8.126556,8.418194,-22.951089,3.287755
0.020000,29.416956,18.450501,3.317243,8.287888,8.066601,-17.579626,3.302195
0.020000,29.250513,18.422181,3.486078,8.441780,7.694595,-18.600342,3.318313
0.020000,29.081727,18.390488,3.657813,8.586750,7.248486,-22.305451,3.336397
0.020000,28.910895,18.355000,3.832293,8.723966,6.860787,-19.384954,3.356810
0.020000,28.738343,18.315218,4.009371,8.853943,6.498865,-18.096100,3.380012
0.020000,28.564462,18.270554,4.188896,8.976247,6.115228,-19.181814,3.406590
0.020000,28.389754,18.220316,4.370685,9.089415,5.658355,-22.843650,3.437296
0.020000,28.214780,18.163654,4.554605,9.195997,5.329109,-16.462321,3.473124
0.020000,28.040305,18.099552,4.740483,9.293898,4.895050,-21.702934,3.515375
0.020000,27.867313,18.026767,4.928163,9.384010,4.505597,-19.472634,3.565779
0.020000,27.697140,17.943793,5.117487,9.466194,4.109221,-19.818827,3.626624
0.020000,27.531649,17.848831,5.308287,9.540033,3.691927,-20.864704,3.700877
0.020000,27.373459,17.739816,5.500403,9.605792,3.287977,-20.197510,3.792183
0.020000,27.226256,17.614599,5.693659,9.662797,2.850245,-21.886582,3.904407
0.020000,27.094995,17.471428,5.887894,9.711762,2.448231,-20.100675,4.040190
0.020000,26.985697,17.309884,6.082939,9.752253,2.024569,-21.183139,4.198005
0.020000,26.904231,17.131929,6.278655,9.785798,1.677248,-17.366026,4.369142
0.020000,26.854227,16.942136,6.474925,9.813479,1.384024,-14.661234,4.538771
0.020000,26.835590,16.746317,6.671630,9.835230,1.087586,-14.821888,4.692698
0.020000,26.844991,16.549545,6.868625,9.849793,0.728129,-17.972827,4.823472
0.020000,26.877647,16.355197,7.065698,9.853631,0.191924,-26.810262,4.930489
0.020000,26.928805,16.165032,7.262624,9.846306,-0.366271,-27.909768,5.016784
0.020000,26.994445,15.979700,7.459237,9.830625,-0.784067,-20.889765,5.086320
0.020000,27.071377,15.799284,7.655370,9.806683,-1.197076,-20.650488,5.142691
0.020000,27.157129,15.623602,7.850864,9.774673,-1.600518,-20.172065,5.188782
0.020000,27.249783,15.452369,8.045557,9.734661,-2.000583,-20.003278,5.226805
0.020000,27.347836,15.285283,8.239289,9.686627,-2.401722,-20.056939,5.258424
0.020000,27.450090,15.122055,8.431901,9.630570,-2.802841,-20.055959,5.284893
0.020000,27.555577,14.962424,8.623237,9.566830,-3.186987,-19.207281,5.307165
0.020000,27.663496,14.806169,8.813138,9.495019,-3.590532,-20.177248,5.325965
0.020000,27.773175,14.653098,9.001447,9.415437,-3.979140,-19.430400,5.341856
0.020000,27.884042,14.503054,9.188006,9.327988,-4.372426,-19.664302,5.355278
0.020000,27.995599,14.355910,9.372658,9.232589,-4.769936,-19.875510,5.366577
0.020000,28.107408,14.211563,9.555244,9.129277,-5.165599,-19.783125,5.376031
0.020000,28.219083,14.069929,9.735608,9.018219,-5.552916,-19.365889,5.383863
0.020000,28.330274,13.930950,9.913593,8.899239,-5.949025,-19.805415,5.390255
0.020000,28.440664,13.794583,10.089041,8.772422,-6.340838,-19.590688,5.395354
0.020000,28.549964,13.660801,10.261796,8.637717,-6.735238,-19.719963,5.399284
0.020000,28.657904,13.529592,10.431698,8.495138,-7.128971,-19.686651,5.402146
0.020000,28.764238,13.400958,10.598592,8.344705,-7.521635,-19.633237,5.404027
0.020000,28.868734,13.274912,10.762321,8.186415,-7.914511,-19.643767,5.404997
0.020000,28.971176,13.151480,10.922726,8.020249,-8.308290,-19.688974,5.405119
0.020000,29.071362,13.030699,11.079650,7.846220,-8.701453,-19.658137,5.404447
0.020000,29.169101,12.912615,11.232937,7.664332,-9.094391,-19.646902,5.403027
0.020000,29.264216,12.797285,11.382429,7.474592,-9.487013,-19.631110,5.400902
0.020000,29.356541,12.684777,11.527968,7.276985,-9.880336,-19.666134,5.398109
0.020000,29.445917,12.575168,11.669398,7.071482,-10.275130,-19.739714,5.394687
0.020000,29.532201,12.468544,11.806561,6.858141,-10.667079,-19.597413,5.390669
0.020000,29.615258,12.365001,11.939300,6.636960,-11.059058,-19.598992,5.386092
0.020000,29.694963,12.264645,12.067457,6.407839,-11.456029,-19.848551,5.380991
0.020000,29.771205,12.167590,12.190876,6.170969,-11.843484,-19.372741,5.375407
0.020000,29.843879,12.073963,12.309399,5.926134,-12.241759,-19.913762,5.369381
0.020000,29.912894,11.983896,12.422868,5.673446,-12.634396,-19.631837,5.362959
0.020000,29.978203,11.897492,12.531177,5.415457,-12.899453,-13.252823,5.356191
0.020000,30.039812,11.814801,12.634296,5.155934,-12.976150,-3.834878,5.349124
0.020000,30.097754,11.735852,12.732225,4.896460,-12.973691,0.122956,5.341807
0.020000,30.152068,11.660684,12.824963,4.636917,-12.977161,-0.173496,5.334293
0.020000,30.202803,11.589334,12.912512,4.377439,-12.973933,0.161418,5.326638
0.020000,30.250042,11.521806,12.994923,4.120532,-12.845323,6.430462,5.318896
0.020000,30.293913,11.458046,13.072318,3.869786,-12.537322,15.400065,5.311119
0.020000,30.334567,11.397965,13.144861,3.627131,-12.132727,20.229775,5.303352
0.020000,30.372152,11.341482,13.212706,3.392265,-11.743306,19.471028,5.295641
0.020000,30.406817,11.288512,13.276011,3.165218,-11.352333,19.548668,5.288032
0.020000,30.438709,11.238968,13.334932,2.946078,-10.957032,19.765039,5.280566
0.020000,30.467974,11.192761,13.389627,2.734732,-10.567289,19.487131,5.273287
0.020000,30.494755,11.149796,13.440255,2.531421,-10.165535,20.087723,5.266231
0.020000,30.519192,11.109980,13.486971,2.335808,-9.780674,19.243042,5.259435
0.020000,30.541420,11.073217,13.529932,2.148055,-9.387659,19.650732,5.252932
0.020000,30.561574,11.039401,13.569299,1.968340,-8.985742,20.095874,5.246750
0.020000,30.579781,11.008430,13.605225,1.796295,-8.602224,19.175913,5.240913
0.020000,30.596166,10.980195,13.637870,1.632232,-8.203168,19.952791,5.235442
0.020000,30.610846,10.954586,13.667388,1.475916,-7.815807,19.368028,5.230353
0.020000,30.623939,10.931485,13.693941,1.327651,-7.413228,20.128945,5.225655
0.020000,30.635552,10.910778,13.717682,1.187070,-7.029067,19.208073,5.221356
0.020000,30.645792,10.892342,13.738771,1.054440,-6.631506,19.878032,5.217458
0.020000,30.654760,10.876056,13.757363,0.929589,-6.242545,19.448055,5.213956
0.020000,30.662553,10.861791,13.773618,0.812761,-5.841402,20.057171,5.210845
0.020000,30.669264,10.849423,13.787690,0.703574,-5.459324,19.103866,5.208112
0.020000,30.674982,10.838818,13.799738,0.602423,-5.057551,20.088690,5.205744
0.020000,30.679796,10.829844,13.809921,0.509163,-4.663031,19.725956,5.203721
0.020000,30.683788,10.822368,13.818396,0.423740,-4.271126,19.595296,5.202022
0.020000,30.687039,10.816258,13.825317,0.346058,-3.884120,19.350299,5.200625
0.020000,30.689628,10.811377,13.830843,0.276267,-3.489549,19.728539,5.199503
0.020000,30.691633,10.807586,13.835132,0.214447,-3.091004,19.927224,5.198628
0.020000,30.693132,10.804748,13.838341,0.160459,-2.699373,19.581541,5.197970
0.020000,30.694198,10.802727,13.840626,0.114235,-2.311191,19.409146,5.197501
0.020000,30.694906,10.801384,13.842144,0.075928,-1.915349,19.792060,5.197189
0.020000,30.695330,10.800579,13.843054,0.045510,-1.520897,19.722613,5.197002
0.020000,30.695544,10.800172,13.843514,0.022964,-1.127331,19.678310,5.196907
0.020000,30.695621,10.800026,13.843679,0.008279,-0.734262,19.653426,5.196873
0.020000,30.695635,10.800000,13.843708,0.001450,-0.341418,19.642210,5.196867
0.020000,30.695635,10.800000,13.843708,0.000000,-0.072512,13.445283,5.196867
