dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.696000,13.304000,0.000076,0.007564,0.378214,18.910714,1.204694
0.020000,30.696000,13.304000,0.000378,0.022693,0.756429,18.910714,1.204860
0.020000,30.696000,13.304000,0.001059,0.045386,1.134643,18.910714,1.205235
0.020000,30.696000,13.304000,0.002269,0.075643,1.512857,18.910714,1.205901
0.020000,30.696343,13.304899,0.004160,0.113464,1.891071,18.910714,1.206942
0.020000,30.697310,13.307444,0.006883,0.158850,2.269286,18.910714,1.208440
0.020000,30.698620,13.310912,0.010590,0.211800,2.647500,18.910714,1.210478
0.020000,30.700321,13.315444,0.015431,0.272314,3.025714,18.910714,1.213139
0.020000,30.702456,13.321187,0.021558,0.340393,3.403929,18.910714,1.216504
0.020000,30.705066,13.328287,0.029122,0.416036,3.782143,18.910714,1.220655
0.020000,30.708184,13.336892,0.038275,0.499243,4.160357,18.910714,1.225672
0.020000,30.711838,13.347153,0.049168,0.590014,4.538571,18.910714,1.231634
0.020000,30.716049,13.359224,0.061951,0.688350,4.916786,18.910714,1.238616
0.020000,30.720827,13.373258,0.076777,0.794250,5.295000,18.910714,1.246693
0.020000,30.726173,13.389417,0.093797,0.907714,5.673214,18.910714,1.255933
0.020000,30.732073,13.407860,0.113162,1.028743,6.051429,18.910714,1.266399
0.020000,30.738502,13.428754,0.135022,1.157336,6.429643,18.910714,1.278148
0.020000,30.745419,13.452266,0.159531,1.293493,6.807857,18.910714,1.291226
0.020000,30.752764,13.478567,0.186838,1.437214,7.186071,18.910714,1.305666
0.020000,30.760442,13.507755,0.217019,1.580936,7.186071,0.000000,1.321447
0.020000,30.768325,13.539857,0.250075,1.724657,7.186071,-0.000000,1.338491
0.020000,30.776277,13.574895,0.286006,1.868379,7.186071,0.000000,1.356704
0.020000,30.784155,13.612891,0.324810,2.012100,7.186071,-0.000000,1.375971
0.020000,30.791808,13.653861,0.366490,2.155821,7.186071,0.000000,1.396160
0.020000,30.799087,13.697815,0.411043,2.299543,7.186071,0.000000,1.417116
0.020000,30.805838,13.744760,0.458471,2.443264,7.186071,0.000000,1.438665
0.020000,30.811914,13.794693,0.508774,2.586986,7.186071,0.000000,1.460615
0.020000,30.817171,13.847608,0.561951,2.730707,7.186071,0.000000,1.482755
0.020000,30.821476,13.903493,0.618002,2.874429,7.186071,0.000000,1.504860
0.020000,30.824709,13.962329,0.676928,3.018150,7.186071,0.000000,1.526694
0.020000,30.826767,14.024093,0.738728,3.161871,7.186071,-0.000000,1.548013
0.020000,30.827566,14.088762,0.803403,3.305593,7.186071,0.000000,1.568567
0.020000,30.827045,14.156308,0.870952,3.449314,7.186071,-0.000000,1.588105
0.020000,30.825171,14.226705,0.941375,3.593036,7.186071,0.000000,1.606376
0.020000,30.821936,14.299931,1.014673,3.736757,7.186071,-0.000000,1.623131
0.020000,30.817366,14.375966,1.090846,3.880479,7.186071,-0.000000,1.638123
0.020000,30.811519,14.454795,1.169892,4.024200,7.186071,0.000000,1.651104
0.020000,30.804491,14.536414,1.251814,4.167921,7.186071,0.000000,1.661827
0.020000,30.796423,14.620749,1.336534,4.304079,6.807857,-18.910714,1.670032
0.020000,30.787509,14.707660,1.423901,4.432671,6.429643,-18.910714,1.675457
0.020000,30.777990,14.797018,1.513765,4.553700,6.051429,-18.910714,1.677847
0.020000,30.768153,14.888701,1.605973,4.667164,5.673214,-18.910714,1.676949
0.020000,30.758331,14.982591,1.700376,4.773064,5.295000,-18.910714,1.672509
0.020000,30.748904,15.078573,1.796820,4.871400,4.916786,-18.910714,1.664268
0.020000,30.740296,15.176531,1.895156,4.962171,4.538571,-18.910714,1.651964
0.020000,30.732977,15.276337,1.995232,5.045379,4.160357,-18.910714,1.635334
0.020000,30.727459,15.377849,2.096896,5.121021,3.782143,-18.910714,1.614122
0.020000,30.724295,15.480899,2.199997,5.189100,3.403929,-18.910714,1.588096
0.020000,30.724068,15.585282,2.304384,5.249614,3.025714,-18.910714,1.557071
0.020000,30.727380,15.690746,2.409906,5.302564,2.647500,-18.910714,1.520941
0.020000,30.734837,15.796982,2.516411,5.347950,2.269286,-18.910714,1.479723
0.020000,30.747020,15.903616,2.623748,5.385771,1.891071,-18.910714,1.433603
0.020000,30.764460,16.010205,2.731766,5.416029,1.512857,-18.910714,1.382978
0.020000,30.787594,16.116245,2.840314,5.438721,1.134643,-18.910714,1.328483
0.020000,30.816734,16.221185,2.949239,5.453850,0.756429,-18.910714,1.270985
0.020000,30.852032,16.324432,3.058370,5.459181,0.266533,-24.494782,1.211554
0.020000,30.892111,16.422512,3.167455,5.449383,-0.489896,-37.821428,1.154545
0.020000,30.938924,16.520726,3.276269,5.432020,-0.868110,-18.910714,1.097827
0.020000,30.990902,16.615826,3.384660,5.407094,-1.246324,-18.910714,1.043863
0.020000,31.047472,16.707597,3.492477,5.374603,-1.624538,-18.910714,0.993518
0.020000,31.107994,16.795935,3.599569,5.334548,-2.002753,-18.910714,0.947443
0.020000,31.171796,16.880842,3.705784,5.286929,-2.380967,-18.910714,0.906061
0.020000,31.238207,16.962406,3.810970,5.231745,-2.759181,-18.910714,0.869591
0.020000,31.306577,17.040778,3.914978,5.168997,-3.137396,-18.910714,0.838081
0.020000,31.376292,17.116155,4.017655,5.098685,-3.515610,-18.910714,0.811455
0.020000,31.446783,17.188757,4.118850,5.020809,-3.893824,-18.910714,0.789549
0.020000,31.517527,17.258811,4.218411,4.935368,-4.272038,-18.910714,0.772146
0.020000,31.588044,17.326543,4.316189,4.842363,-4.650253,-18.910714,0.759001
0.020000,31.657900,17.392160,4.412030,4.741793,-5.028467,-18.910714,0.749854
0.020000,31.726700,17.455851,4.505785,4.633660,-5.406681,-18.910714,0.744445
0.020000,31.794083,17.517776,4.597301,4.517962,-5.784896,-18.910714,0.742515
0.020000,31.859726,17.578064,4.686428,4.394700,-6.163110,-18.910714,0.743807
0.020000,31.923334,17.636810,4.773013,4.263873,-6.541324,-18.910714,0.748064
0.020000,31.984642,17.694075,4.856907,4.125482,-6.919538,-18.910714,0.755028
0.020000,32.043434,17.749899,4.937979,3.981761,-7.186071,-13.326647,0.764438
0.020000,32.099571,17.804337,5.016177,3.838040,-7.186071,-0.000000,0.776040
0.020000,32.152980,17.857450,5.091501,3.694318,-7.186071,0.000000,0.789588
0.020000,32.203609,17.909271,5.163950,3.550597,-7.186071,-0.000000,0.804841
0.020000,32.251428,17.959808,5.233525,3.406875,-7.186071,0.000000,0.821560
0.020000,32.296423,18.009045,5.300225,3.263154,-7.186071,-0.000000,0.839506
0.020000,32.338602,18.056946,5.364051,3.119432,-7.186071,0.000000,0.858437
0.020000,32.377991,18.103459,5.425002,2.975711,-7.186071,0.000000,0.878118
0.020000,32.414631,18.148518,5.483079,2.831990,-7.186071,0.000000,0.898311
0.020000,32.448578,18.192048,5.538282,2.688268,-7.186071,-0.000000,0.918786
0.020000,32.479904,18.233962,5.590610,2.544547,-7.186071,-0.000000,0.939322
0.020000,32.508693,18.274171,5.640064,2.400825,-7.186071,0.000000,0.959707
0.020000,32.535037,18.312584,5.686643,2.257104,-7.186071,-0.000000,0.979740
0.020000,32.559038,18.349108,5.730348,2.113382,-7.186071,0.000000,0.999241
0.020000,32.580802,18.383654,5.771178,1.969661,-7.186071,0.000000,1.018041
0.020000,32.600440,18.416134,5.809134,1.825940,-7.186071,-0.000000,1.035993
0.020000,32.618064,18.446467,5.844216,1.682218,-7.186071,0.000000,1.052966
0.020000,32.633784,18.474576,5.876423,1.538497,-7.186071,-0.000000,1.068848
0.020000,32.647708,18.500393,5.905756,1.394775,-7.186071,0.000000,1.083544
0.020000,32.659949,18.523875,5.932237,1.253288,-7.074390,5.584068,1.096986
0.020000,32.670647,18.545053,5.955963,1.119364,-6.696176,18.910714,1.109159
0.020000,32.679952,18.564016,5.977087,0.993005,-6.317961,18.910714,1.120093
0.020000,32.688004,18.580863,5.995759,0.874210,-5.939747,18.910714,1.129826
0.020000,32.694928,18.595698,6.012131,0.762979,-5.561533,18.910714,1.138409
0.020000,32.700840,18.608635,6.026354,0.659313,-5.183319,18.910714,1.145901
0.020000,32.705843,18.619789,6.038579,0.563211,-4.805104,18.910714,1.152363
0.020000,32.710034,18.629284,6.048958,0.474673,-4.426890,18.910714,1.157866
0.020000,32.713501,18.637246,6.057641,0.393699,-4.048676,18.910714,1.162481
0.020000,32.716323,18.643804,6.064781,0.320290,-3.670461,18.910714,1.166282
0.020000,32.718577,18.649091,6.070529,0.254445,-3.292247,18.910714,1.169346
0.020000,32.720333,18.653241,6.075035,0.196165,-2.914033,18.910714,1.171751
0.020000,32.721657,18.656390,6.078451,0.145448,-2.535819,18.910714,1.173576
0.020000,32.722614,18.658675,6.080928,0.102296,-2.157604,18.910714,1.174900
0.020000,32.723265,18.660235,6.082618,0.066708,-1.779390,18.910714,1.175803
0.020000,32.723670,18.661208,6.083672,0.038685,-1.401176,18.910714,1.176367
0.020000,32.723889,18.661733,6.084241,0.018226,-1.022961,18.910714,1.176671
0.020000,32.723980,18.661951,6.084477,0.005331,-0.644747,18.910714,1.176797
0.020000,32.724000,18.662000,6.084530,0.000000,-0.266533,18.910714,1.176826
0.020000,32.724000,18.662000,6.084530,0.000000,0.000000,13.326647,1.176826
