dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000078,0.007805,0.390227,19.511373,6.281638
0.020000,32.414825,2.432758,0.000078,0.000000,-0.390227,-39.022746,6.281671
0.020000,32.414825,2.432758,0.000078,0.000000,0.000000,19.511373,6.281746
0.020000,32.414825,2.432758,0.000078,0.000000,0.000000,0.000000,6.281879
0.020000,32.414825,2.432758,0.000078,0.000000,0.000000,0.000000,6.282086
0.020000,32.414825,2.432758,0.000078,0.000000,0.000000,0.000000,6.282385
0.020000,32.414825,2.432758,0.000078,0.000000,0.000000,0.000000,6.282793
0.020000,32.416139,2.432758,0.001392,0.065714,3.285703,164.285155,0.000140
0.020000,32.422464,2.432761,0.007717,0.316221,12.525323,461.981003,0.000816
0.020000,32.430265,2.432770,0.015518,0.390069,3.692408,-441.645738,0.001652
0.020000,32.439711,2.432791,0.024964,0.472299,4.111505,20.954832,0.002667
0.020000,32.450950,2.432827,0.036203,0.561961,4.483122,18.580853,0.003879
0.020000,32.464140,2.432888,0.049393,0.659474,4.875633,19.625557,0.005309
0.020000,32.479436,2.432982,0.064690,0.764853,5.268931,19.664866,0.006976
0.020000,32.496996,2.433121,0.082250,0.877992,5.656997,19.403321,0.008902
0.020000,32.516971,2.433321,0.102226,0.998838,6.042255,19.262885,0.011108
0.020000,32.539528,2.433600,0.124785,1.127909,6.453557,20.565137,0.013620
0.020000,32.564812,2.433980,0.150071,1.264336,6.821378,18.391037,0.016461
0.020000,32.592981,2.434489,0.178246,1.408715,7.218924,19.877275,0.019660
0.020000,32.624193,2.435159,0.209464,1.560918,7.610167,19.562190,0.023245
0.020000,32.658596,2.436027,0.243878,1.720714,7.989786,18.980937,0.027248
0.020000,32.696357,2.437140,0.281655,1.888855,8.407076,20.864486,0.031704
0.020000,32.737619,2.438551,0.322942,2.064309,8.772709,18.281656,0.036649
0.020000,32.782536,2.440321,0.367893,2.247595,9.164276,19.578338,0.042126
0.020000,32.831267,2.442522,0.416674,2.439045,9.572482,20.410312,0.048180
0.020000,32.883955,2.445238,0.469433,2.637911,9.943302,18.540976,0.054860
0.020000,32.940753,2.448566,0.526328,2.844766,10.342770,19.973434,0.062224
0.020000,33.001804,2.452618,0.587513,3.059272,10.725287,19.125850,0.070333
0.020000,33.067256,2.457521,0.653149,3.281777,11.125277,19.999492,0.079257
0.020000,33.137251,2.463424,0.723392,3.512149,11.518590,19.665655,0.089074
0.020000,33.211917,2.470497,0.798392,3.750025,11.893797,18.760318,0.099873
0.020000,33.291389,2.478935,0.878311,3.995938,12.295662,20.093271,0.111752
0.020000,33.375786,2.488962,0.963301,4.249513,12.678723,19.153035,0.124824
0.020000,33.465221,2.500834,1.053522,4.511009,13.074801,19.803894,0.139215
0.020000,33.559794,2.514846,1.149126,4.780230,13.461070,19.313466,0.155068
0.020000,33.659585,2.531334,1.250270,5.057191,13.848040,19.348482,0.172546
0.020000,33.764659,2.550684,1.357112,5.342080,14.244425,19.819275,0.191833
0.020000,33.875056,2.573339,1.469809,5.634866,14.639311,19.744287,0.213136
0.020000,33.990697,2.599783,1.588435,5.931312,14.822308,9.149887,0.236669
0.020000,34.111397,2.630545,1.712993,6.227878,14.828293,0.299215,0.262657
0.020000,34.236914,2.666213,1.843480,6.524361,14.824155,-0.206880,0.291340
0.020000,34.366953,2.707440,1.979898,6.820885,14.826192,0.101830,0.322972
0.020000,34.501141,2.754943,2.122245,7.117374,14.824473,-0.085954,0.357814
0.020000,34.639015,2.809500,2.270521,7.413820,14.822315,-0.107868,0.396117
0.020000,34.780011,2.871947,2.424727,7.710265,14.822203,-0.005623,0.438107
0.020000,34.923441,2.943160,2.584863,8.006809,14.827214,0.250577,0.483953
0.020000,35.068413,3.023995,2.750849,8.299285,14.623835,-10.168967,0.533706
0.020000,35.213840,3.115235,2.922528,8.583965,14.233961,-19.493717,0.587255
0.020000,35.358520,3.217576,3.099745,8.860845,13.844025,-19.496785,0.644298
0.020000,35.501163,3.331572,3.282343,9.129932,13.454320,-19.485272,0.704322
0.020000,35.640441,3.457587,3.470168,9.391236,13.065197,-19.456151,0.766584
0.020000,35.775049,3.595752,3.663064,9.644771,12.676771,-19.421305,0.830146
0.020000,35.903779,3.745945,3.860875,9.890586,12.290730,-19.302030,0.893933
0.020000,36.025593,3.907799,4.063448,10.128620,11.901712,-19.450901,0.956830
0.020000,36.139682,4.080735,4.270626,10.358922,11.515129,-19.329145,1.017781
0.020000,36.245496,4.264012,4.482256,10.581474,11.127590,-19.376972,1.075877
0.020000,36.342754,4.456792,4.698181,10.796243,10.738438,-19.457600,1.130414
0.020000,36.431423,4.658203,4.918245,11.003246,10.350149,-19.414428,1.180909
0.020000,36.511682,4.867383,5.142294,11.202431,9.959255,-19.544702,1.227088
0.020000,36.583884,5.083519,5.370170,11.393805,9.568704,-19.527532,1.268852
0.020000,36.648506,5.305866,5.601718,11.577372,9.178331,-19.518671,1.306230
0.020000,36.706120,5.533758,5.836780,11.753128,8.787815,-19.525812,1.339340
0.020000,36.757355,5.766609,6.075201,11.921028,8.394999,-19.640766,1.368352
0.020000,36.802880,6.003903,6.316823,12.081120,8.004585,-19.520700,1.393455
0.020000,36.843388,6.245195,6.561491,12.233420,7.615005,-19.479005,1.414839
0.020000,36.879582,6.490092,6.809048,12.377836,7.220833,-19.708632,1.432681
0.020000,36.912177,6.738250,7.059338,12.514501,6.833236,-19.379840,1.447131
0.020000,36.941895,6.989364,7.312204,12.643302,6.440037,-19.659927,1.458310
0.020000,36.969469,7.243157,7.567490,12.764309,6.050376,-19.483052,1.466299
0.020000,36.995645,7.499373,7.825040,12.877500,5.659519,-19.542857,1.471143
0.020000,37.021190,7.757771,8.084698,12.982872,5.268624,-19.544774,1.472842
0.020000,37.046899,8.018113,8.346306,13.080428,4.877788,-19.541774,1.471351
0.020000,37.073604,8.280159,8.609710,13.170171,4.487168,-19.531012,1.466573
0.020000,37.102183,8.543656,8.874752,13.252088,4.095842,-19.566272,1.458359
0.020000,37.133576,8.808325,9.141276,13.326197,3.705463,-19.518968,1.446500
0.020000,37.168790,9.073849,9.409125,13.392474,3.313822,-19.582075,1.430719
0.020000,37.208297,9.336409,9.674641,13.275798,-5.833772,-457.379696,1.413760
0.020000,37.251590,9.602953,9.944678,13.501827,11.301442,856.760737,1.405058
0.020000,37.297947,9.869851,10.215572,13.544696,2.143455,-457.899388,1.391829
0.020000,37.348577,10.136685,10.487166,13.579735,1.751911,-19.577169,1.373960
0.020000,37.404708,10.402972,10.759305,13.606941,1.360333,-19.578901,1.351341
0.020000,37.467576,10.668148,11.031831,13.626314,0.968623,-19.585512,1.323880
0.020000,37.538403,10.931546,11.304586,13.637755,0.572064,-19.827955,1.291529
0.020000,37.618345,11.192315,11.577334,13.637364,-0.019551,-29.580726,1.254328
0.020000,37.708458,11.449489,11.849839,13.625248,-0.605813,-29.313093,1.212437
0.020000,37.809677,11.702069,12.121945,13.605319,-0.996414,-19.530076,1.166155
0.020000,37.922739,11.948965,12.393497,13.577592,-1.386357,-19.497140,1.115958
0.020000,38.048123,12.189036,12.664339,13.542086,-1.775338,-19.449058,1.062510
0.020000,38.186009,12.421145,12.934315,13.498820,-2.163263,-19.396251,1.006647
0.020000,38.329105,12.636737,13.193075,12.937978,-28.042134,-1293.943559,0.988464
0.020000,38.468616,12.865287,13.460840,13.388261,22.514190,2527.816233,1.057348
0.020000,38.591328,13.101778,13.727272,13.321621,-3.332000,-1292.309532,1.127026
0.020000,38.696745,13.344852,13.992220,13.247410,-3.710584,-18.929181,1.195989
0.020000,38.784860,13.592979,14.255529,13.165425,-4.099214,-19.431524,1.262730
0.020000,38.856167,13.844584,14.517044,13.075751,-4.483712,-19.224887,1.325911
0.020000,38.911600,14.098163,14.776610,12.978318,-4.871646,-19.396683,1.384490
0.020000,38.952426,14.352367,15.034072,12.873091,-5.261359,-19.485691,1.437765
0.020000,38.980134,14.606059,15.289273,12.760044,-5.652374,-19.550727,1.485366
0.020000,38.996319,14.858324,15.542056,12.639167,-6.043824,-19.572492,1.527196
0.020000,39.002595,15.108454,15.792265,12.510428,-6.436979,-19.657751,1.563358
0.020000,39.000532,15.355922,16.039742,12.373839,-6.829429,-19.622528,1.594082
0.020000,38.991615,15.600348,16.284330,12.229418,-7.221070,-19.582008,1.619666
0.020000,38.977223,15.841462,16.525873,12.077157,-7.613020,-19.597525,1.640436
0.020000,38.958622,16.079075,16.764214,11.917037,-8.006033,-19.650648,1.656711
0.020000,38.936969,16.313058,16.999196,11.749104,-8.396606,-19.528647,1.668795
0.020000,38.913312,16.543313,17.230663,11.573344,-8.788019,-19.570630,1.676960
0.020000,38.888599,16.769763,17.458458,11.389760,-9.179209,-19.559530,1.681449
0.020000,38.863691,16.992341,17.682425,11.198358,-9.570073,-19.543180,1.682474
0.020000,38.839362,17.210975,17.902408,10.999143,-9.960781,-19.535412,1.680219
0.020000,38.816312,17.425582,18.118250,10.792109,-10.351704,-19.546138,1.674846
0.020000,38.795164,17.636068,18.329796,10.577271,-10.741883,-19.508980,1.666499
0.020000,38.776477,17.842315,18.536888,10.354616,-11.132771,-19.544382,1.655311
0.020000,38.760737,18.044186,18.739371,10.124161,-11.522742,-19.498570,1.641409
0.020000,38.748365,18.241516,18.937089,9.885886,-11.913729,-19.549307,1.624923
0.020000,38.739712,18.434118,19.129885,9.639816,-12.303537,-19.490412,1.605992
