dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000078,0.007805,0.390227,19.511373,6.281638
0.020000,32.414825,2.432758,0.000390,0.023414,0.780455,19.511373,6.281671
0.020000,32.414825,2.432758,0.001093,0.046827,1.170682,19.511373,6.281746
0.020000,32.414825,2.432758,0.002341,0.078045,1.560910,19.511373,6.281879
0.020000,32.414825,2.432758,0.004293,0.117068,1.951137,19.511373,6.282086
0.020000,32.414825,2.432758,0.007102,0.163896,2.341365,19.511373,6.282385
0.020000,32.414825,2.432758,0.010926,0.218527,2.731592,19.511373,6.282793
0.020000,32.416139,2.432758,0.015921,0.280964,3.121820,19.511373,0.000140
0.020000,32.422464,2.432761,0.022243,0.351205,3.512047,19.511373,0.000816
0.020000,32.430265,2.432770,0.030048,0.429250,3.902275,19.511373,0.001652
0.020000,32.439711,2.432791,0.039491,0.515100,4.292502,19.511373,0.002667
0.020000,32.450950,2.432827,0.050730,0.608755,4.682729,19.511373,0.003879
0.020000,32.464140,2.432888,0.063919,0.710214,5.072957,19.511373,0.005309
0.020000,32.479436,2.432982,0.079216,0.819478,5.463184,19.511373,0.006976
0.020000,32.496996,2.433121,0.096776,0.936546,5.853412,19.511373,0.008902
0.020000,32.516971,2.433321,0.116756,1.061419,6.243639,19.511373,0.011108
0.020000,32.539528,2.433600,0.139311,1.194096,6.633867,19.511373,0.013620
0.020000,32.564812,2.433980,0.164598,1.334578,7.024094,19.511373,0.016461
0.020000,32.592981,2.434489,0.192772,1.482864,7.414322,19.511373,0.019660
0.020000,32.624193,2.435159,0.223991,1.638955,7.804549,19.511373,0.023245
0.020000,32.658596,2.436027,0.258409,1.802851,8.194777,19.511373,0.027248
0.020000,32.696357,2.437140,0.296183,1.974551,8.585004,19.511373,0.031704
0.020000,32.737619,2.438551,0.337469,2.154056,8.975231,19.511373,0.036649
0.020000,32.782536,2.440321,0.382423,2.341365,9.365459,19.511373,0.042126
0.020000,32.831267,2.442522,0.431201,2.536478,9.755686,19.511373,0.048180
0.020000,32.883955,2.445238,0.483960,2.739397,10.145914,19.511373,0.054860
0.020000,32.940753,2.448566,0.540855,2.950120,10.536141,19.511373,0.062224
0.020000,33.001804,2.452618,0.602043,3.168647,10.926369,19.511373,0.070333
0.020000,33.067256,2.457521,0.667679,3.394979,11.316596,19.511373,0.079257
0.020000,33.137251,2.463424,0.737920,3.629115,11.706824,19.511373,0.089074
0.020000,33.211917,2.470497,0.812922,3.871056,12.097051,19.511373,0.099873
0.020000,33.291389,2.478935,0.892840,4.120802,12.487279,19.511373,0.111752
0.020000,33.375786,2.488962,0.977832,4.378352,12.877506,19.511373,0.124824
0.020000,33.465221,2.500834,1.068053,4.643707,13.267733,19.511373,0.139215
0.020000,33.559794,2.514846,1.163658,4.916866,13.657961,19.511373,0.155068
0.020000,33.659585,2.531334,1.264805,5.197830,14.048188,19.511373,0.172546
0.020000,33.764659,2.550684,1.371650,5.486598,14.438416,19.511373,0.191833
0.020000,33.875056,2.573339,1.484347,5.783171,14.828643,19.511373,0.213136
0.020000,33.990697,2.599783,1.602976,6.079744,14.828643,-0.000000,0.236669
0.020000,34.111397,2.630545,1.727537,6.376317,14.828643,0.000000,0.262657
0.020000,34.236914,2.666213,1.858029,6.672889,14.828643,0.000000,0.291340
0.020000,34.366953,2.707440,1.994453,6.969462,14.828643,0.000000,0.322972
0.020000,34.501141,2.754943,2.136808,7.266035,14.828643,-0.000000,0.357814
0.020000,34.639015,2.809500,2.285094,7.562608,14.828643,-0.000000,0.396117
0.020000,34.780011,2.871947,2.439312,7.859181,14.828643,0.000000,0.438107
0.020000,34.923441,2.943160,2.599461,8.155754,14.828643,0.000000,0.483953
0.020000,35.068413,3.023995,2.765464,8.444522,14.438416,-19.511373,0.533706
0.020000,35.213840,3.115235,2.937164,8.725486,14.048188,-19.511373,0.587255
0.020000,35.358520,3.217576,3.114405,8.998645,13.657961,-19.511373,0.644298
0.020000,35.501163,3.331572,3.297032,9.264000,13.267733,-19.511373,0.704322
0.020000,35.640441,3.457587,3.484887,9.521550,12.877506,-19.511373,0.766584
0.020000,35.775049,3.595752,3.677816,9.771295,12.487279,-19.511373,0.830146
0.020000,35.903779,3.745945,3.875661,10.013237,12.097051,-19.511373,0.893933
0.020000,36.025593,3.907799,4.078267,10.247373,11.706824,-19.511373,0.956830
0.020000,36.139682,4.080735,4.285478,10.473705,11.316596,-19.511373,1.017781
0.020000,36.245496,4.264012,4.497137,10.692232,10.926369,-19.511373,1.075877
0.020000,36.342754,4.456792,4.713089,10.902955,10.536141,-19.511373,1.130414
0.020000,36.431423,4.658203,4.933177,11.105873,10.145914,-19.511373,1.180909
0.020000,36.511682,4.867383,5.157246,11.300987,9.755686,-19.511373,1.227088
0.020000,36.583884,5.083519,5.385139,11.488296,9.365459,-19.511373,1.268852
0.020000,36.648506,5.305866,5.616700,11.667801,8.975231,-19.511373,1.306230
0.020000,36.706120,5.533758,5.851773,11.839501,8.585004,-19.511373,1.339340
0.020000,36.757355,5.766609,6.090202,12.003397,8.194777,-19.511373,1.368352
0.020000,36.802880,6.003903,6.331831,12.159488,7.804549,-19.511373,1.393455
0.020000,36.843388,6.245195,6.576503,12.307774,7.414322,-19.511373,1.414839
0.020000,36.879582,6.490092,6.824064,12.448256,7.024094,-19.511373,1.432681
0.020000,36.912177,6.738250,7.074355,12.580933,6.633867,-19.511373,1.447131
0.020000,36.941895,6.989364,7.327223,12.705806,6.243639,-19.511373,1.458310
0.020000,36.969469,7.243157,7.582510,12.822874,5.853412,-19.511373,1.466299
0.020000,36.995645,7.499373,7.840060,12.932138,5.463184,-19.511373,1.471143
0.020000,37.021190,7.757771,8.099717,13.033597,5.072957,-19.511373,1.472842
0.020000,37.046899,8.018113,8.361326,13.127252,4.682729,-19.511373,1.471351
0.020000,37.073604,8.280159,8.624729,13.213102,4.292502,-19.511373,1.466573
0.020000,37.102183,8.543656,8.889772,13.291147,3.902275,-19.511373,1.458359
0.020000,37.133576,8.808325,9.156297,13.361388,3.512047,-19.511373,1.446500
0.020000,37.168790,9.073849,9.424149,13.423824,3.121820,-19.511373,1.430719
0.020000,37.208297,9.336409,9.693172,13.478456,2.731592,-19.511373,1.413760
0.020000,37.251590,9.602953,9.963209,13.525284,2.341365,-19.511373,1.405058
0.020000,37.297947,9.869851,10.234105,13.564306,1.951137,-19.511373,1.391829
0.020000,37.348577,10.136685,10.505704,13.595525,1.560910,-19.511373,1.373960
0.020000,37.404708,10.402972,10.777848,13.618938,1.170682,-19.511373,1.351341
0.020000,37.467576,10.668148,11.050383,13.634547,0.780455,-19.511373,1.323880
0.020000,37.538403,10.931546,11.323150,13.642153,0.380279,-20.008793,1.291529
0.020000,37.618345,11.192315,11.595913,13.634149,-0.400176,-39.022746,1.254328
0.020000,37.708458,11.449489,11.868438,13.618341,-0.790403,-19.511373,1.212437
0.020000,37.809677,11.702069,12.140569,13.594729,-1.180631,-19.511373,1.166155
0.020000,37.922739,11.948965,12.412149,13.563312,-1.570858,-19.511373,1.115958
0.020000,38.048123,12.189036,12.683023,13.524090,-1.961086,-19.511373,1.062510
0.020000,38.186009,12.421145,12.953035,13.477064,-2.351313,-19.511373,1.006647
0.020000,38.329105,12.636737,13.222028,13.422233,-2.741541,-19.511373,0.988464
0.020000,38.468616,12.865287,13.489846,13.359597,-3.131768,-19.511373,1.057348
0.020000,38.591328,13.101778,13.756333,13.289157,-3.521995,-19.511373,1.127026
0.020000,38.696745,13.344852,14.021334,13.210913,-3.912223,-19.511373,1.195989
0.020000,38.784860,13.592979,14.284692,13.124864,-4.302450,-19.511373,1.262730
0.020000,38.856167,13.844584,14.546251,13.031010,-4.692678,-19.511373,1.325911
0.020000,38.911600,14.098163,14.805854,12.929352,-5.082905,-19.511373,1.384490
0.020000,38.952426,14.352367,15.063347,12.819890,-5.473133,-19.511373,1.437765
0.020000,38.980134,14.606059,15.318572,12.702622,-5.863360,-19.511373,1.485366
0.020000,38.996319,14.858324,15.571374,12.577551,-6.253588,-19.511373,1.527196
0.020000,39.002595,15.108454,15.821596,12.444674,-6.643815,-19.511373,1.563358
0.020000,39.000532,15.355922,16.069082,12.303994,-7.034043,-19.511373,1.594082
0.020000,38.991615,15.600348,16.313678,12.155508,-7.424270,-19.511373,1.619666
0.020000,38.977223,15.841462,16.555225,11.999218,-7.814498,-19.511373,1.640436
0.020000,38.958622,16.079075,16.793568,11.835124,-8.204725,-19.511373,1.656711
0.020000,38.936969,16.313058,17.028552,11.663225,-8.594952,-19.511373,1.668795
0.020000,38.913312,16.543313,17.260019,11.483521,-8.985180,-19.511373,1.676960
0.020000,38.888599,16.769763,17.487814,11.296013,-9.375407,-19.511373,1.681449
0.020000,38.863691,16.992341,17.711782,11.100700,-9.765635,-19.511373,1.682474
0.020000,38.839362,17.210975,17.931764,10.897583,-10.155862,-19.511373,1.680219
0.020000,38.816312,17.425582,18.147607,10.686661,-10.546090,-19.511373,1.674846
0.020000,38.795164,17.636068,18.359153,10.467935,-10.936317,-19.511373,1.666499
0.020000,38.776477,17.842315,18.566246,10.241404,-11.326545,-19.511373,1.655311
0.020000,38.760737,18.044186,18.768731,10.007069,-11.716772,-19.511373,1.641409
0.020000,38.748365,18.241516,18.966451,9.764929,-12.107000,-19.511373,1.624923
