dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000079,0.007895,0.394737,19.736842,6.281638
0.020000,32.414825,2.432758,0.000079,0.000000,-0.394737,-39.473684,6.281672
0.020000,32.414825,2.432758,0.000079,0.000000,0.000000,19.736842,6.281747
0.020000,32.414825,2.432758,0.000079,0.000000,0.000000,0.000000,6.281882
0.020000,32.414825,2.432758,0.000079,0.000000,0.000000,0.000000,6.282092
0.020000,32.414825,2.432758,0.000079,0.000000,0.000000,0.000000,6.282394
0.020000,32.414825,2.432758,0.000079,0.000000,0.000000,0.000000,6.282806
0.020000,32.416323,2.432758,0.001577,0.074921,3.746075,187.303744,0.000160
0.020000,32.422721,2.432761,0.007975,0.319864,12.247121,425.052297,0.000843
0.020000,32.430613,2.432771,0.015867,0.394596,3.736587,-425.526676,0.001689
0.020000,32.440167,2.432792,0.025421,0.477727,4.156575,20.999372,0.002716
0.020000,32.451536,2.432830,0.036790,0.568466,4.536946,19.018568,0.003943
0.020000,32.464878,2.432892,0.050132,0.667102,4.931788,19.742096,0.005389
0.020000,32.480352,2.432988,0.065606,0.773686,5.329219,19.871532,0.007076
0.020000,32.498113,2.433131,0.083368,0.888111,5.721255,19.601797,0.009025
0.020000,32.518322,2.433336,0.103578,1.010467,6.117808,19.827673,0.011258
0.020000,32.541137,2.433622,0.126395,1.140848,6.519043,20.061725,0.013800
0.020000,32.566714,2.434012,0.151974,1.278988,6.906979,19.396828,0.016676
0.020000,32.595209,2.434533,0.180474,1.424998,7.300492,19.675665,0.019915
0.020000,32.626779,2.435219,0.212052,1.578896,7.694900,19.720403,0.023544
0.020000,32.661583,2.436109,0.246868,1.740774,8.093932,19.951578,0.027598
0.020000,32.699775,2.437249,0.285076,1.910429,8.482722,19.439516,0.032110
0.020000,32.741513,2.438695,0.326840,2.088155,8.886320,20.179899,0.037120
0.020000,32.786952,2.440508,0.372315,2.273777,9.281105,19.739232,0.042670
0.020000,32.836242,2.442763,0.421656,2.467071,9.664673,19.178418,0.048804
0.020000,32.889539,2.445547,0.475025,2.668448,10.068850,20.208840,0.055576
0.020000,32.946987,2.448957,0.532575,2.877495,10.452379,19.176453,0.063043
0.020000,33.008746,2.453110,0.594473,3.094880,10.869247,20.843409,0.071268
0.020000,33.074949,2.458136,0.660867,3.319716,11.241766,18.625925,0.080322
0.020000,33.145742,2.464188,0.731918,3.552530,11.640722,19.947806,0.090285
0.020000,33.221261,2.471440,0.807784,3.793329,12.039931,19.960429,0.101249
0.020000,33.301641,2.480094,0.888629,4.042233,12.445198,20.263375,0.113315
0.020000,33.386996,2.490379,0.974601,4.298602,12.818457,18.662963,0.126597
0.020000,33.477442,2.502559,1.065864,4.563167,13.228247,20.489475,0.141226
0.020000,33.573077,2.516938,1.162574,4.835471,13.615193,19.347303,0.157350
0.020000,33.673980,2.533862,1.264886,5.115620,14.007489,19.614816,0.175134
0.020000,33.780217,2.553730,1.372965,5.403930,14.415477,20.399386,0.194769
0.020000,33.891815,2.576995,1.486962,5.699860,14.796527,19.052501,0.216467
0.020000,34.008695,2.604160,1.606958,5.999786,14.996287,9.988016,0.240450
0.020000,34.130664,2.635769,1.732956,6.299892,15.005264,0.448860,0.266948
0.020000,34.257465,2.672430,1.864951,6.599753,14.993070,-0.609747,0.296206
0.020000,34.388788,2.714815,2.002944,6.899659,14.995303,0.111658,0.328485
0.020000,34.524241,2.763663,2.146936,7.199592,14.996656,0.067656,0.364049
0.020000,34.663340,2.819774,2.296926,7.499505,14.995626,-0.051489,0.403152
0.020000,34.805490,2.884006,2.452914,7.799384,14.993967,-0.082930,0.446014
0.020000,34.949967,2.957253,2.614898,8.099230,14.992302,-0.083261,0.492794
0.020000,35.095913,3.040427,2.782880,8.399114,14.994225,0.096116,0.543547
0.020000,35.242319,3.134415,2.956859,8.698936,14.991051,-0.158660,0.598182
0.020000,35.388042,3.240035,3.136833,8.998707,14.988552,-0.124974,0.656411
0.020000,35.531825,3.357981,3.322803,9.298508,14.990059,0.075335,0.717719
0.020000,35.672289,3.488715,3.514692,9.594440,14.796597,-9.673076,0.781325
0.020000,35.808014,3.632394,3.712341,9.882447,14.400358,-19.811939,0.846207
0.020000,35.937690,3.788906,3.915595,10.162676,14.011446,-19.445595,0.911204
0.020000,36.060200,3.957867,4.124296,10.435055,13.618958,-19.624429,0.975120
0.020000,36.174678,4.138663,4.338288,10.699604,13.227467,-19.574550,1.036839
0.020000,36.280551,4.330516,4.557414,10.956320,12.835767,-19.585005,1.095419
0.020000,36.377538,4.532545,4.781518,11.205177,12.442881,-19.644298,1.150145
0.020000,36.465627,4.743841,5.010441,11.446161,12.049172,-19.685426,1.200545
0.020000,36.545038,4.963513,5.244026,11.679237,11.653841,-19.766577,1.246367
0.020000,36.616169,5.190728,5.482114,11.904424,11.259309,-19.726558,1.287539
0.020000,36.679556,5.424728,5.724548,12.121675,10.862559,-19.837528,1.324116
0.020000,36.735831,5.664843,5.971169,12.331054,10.468978,-19.679053,1.356236
0.020000,36.785690,5.910484,6.221819,12.532492,10.071897,-19.854065,1.384078
0.020000,36.829873,6.161140,6.476339,12.726025,9.676653,-19.762163,1.407837
0.020000,36.869149,6.416368,6.734572,12.911624,9.279925,-19.836423,1.427698
0.020000,36.904308,6.675783,6.996358,13.089337,8.885668,-19.712865,1.443822
0.020000,36.936161,6.939046,7.261541,13.259130,8.489630,-19.801852,1.456336
0.020000,36.965538,7.205854,7.529961,13.421014,8.094194,-19.771824,1.465327
0.020000,36.993297,7.475931,7.801461,13.574993,7.698977,-19.760843,1.470831
0.020000,37.020330,7.749017,8.075882,13.721053,7.302991,-19.799300,1.472836
0.020000,37.047573,8.024859,8.353066,13.859216,6.908145,-19.742329,1.471269
0.020000,37.076021,8.303198,8.632856,13.989462,6.512298,-19.792319,1.465993
0.020000,37.106743,8.583757,8.915092,14.111801,6.116944,-19.767721,1.456800
0.020000,37.140900,8.866224,9.199616,14.226216,5.720756,-19.809392,1.443401
0.020000,37.179764,9.150231,9.486270,14.332693,5.323845,-19.845555,1.425414
0.020000,37.226482,9.431466,9.771359,14.254455,-3.911899,-461.787195,1.370790
0.020000,37.295535,9.713510,10.061733,14.518712,13.212842,856.237043,1.293150
0.020000,37.384605,9.991656,10.353792,14.602944,4.211604,-450.061903,1.231484
0.020000,37.488858,10.266103,10.647373,14.679048,3.805231,-20.318645,1.186985
0.020000,37.603387,10.537896,10.942311,14.746916,3.393381,-20.592471,1.159931
0.020000,37.723363,10.808634,11.238442,14.806519,2.980160,-20.661076,1.150288
0.020000,37.844005,11.080200,11.535599,14.857854,2.566761,-20.669959,1.158111
0.020000,37.960440,11.354531,11.833617,14.900907,2.152622,-20.706941,1.183687
0.020000,38.067556,11.633378,12.132330,14.935648,1.737049,-20.778619,1.227424
0.020000,38.159941,11.918001,12.431571,14.962068,1.321028,-20.801094,1.289460
0.020000,38.232018,12.208807,12.731176,14.980254,0.909279,-20.587454,1.368968
0.020000,38.278513,12.504989,13.030986,14.990473,0.510961,-19.915861,1.463338
0.020000,38.307085,12.797504,13.324893,14.695349,-14.756231,-763.359602,1.460870
0.020000,38.344409,13.095163,13.624882,14.999478,15.206470,1498.135024,1.432003
0.020000,38.389631,13.391727,13.924875,14.999631,0.007642,-759.941394,1.407709
0.020000,38.441367,13.687228,14.224870,14.999756,0.006285,-0.067839,1.388004
0.020000,38.498242,13.981784,14.524867,14.999857,0.005008,-0.063834,1.372869
0.020000,38.558902,14.275586,14.824866,14.999930,0.003669,-0.066967,1.362271
0.020000,38.622011,14.568873,15.124865,14.999977,0.002353,-0.065800,1.356176
0.020000,38.686250,14.861914,15.424865,14.999999,0.001072,-0.064075,1.354561
0.020000,38.750306,15.154996,15.724865,14.999995,-0.000173,-0.062240,1.357421
0.020000,38.812867,15.448399,16.024865,14.999967,-0.001423,-0.062478,1.364766
0.020000,38.872608,15.742389,16.324863,14.999912,-0.002713,-0.064519,1.376622
0.020000,38.928191,16.037192,16.624859,14.999832,-0.004039,-0.066303,1.393026
0.020000,38.978253,16.332979,16.924854,14.999724,-0.005380,-0.067044,1.414006
0.020000,39.021418,16.629850,17.224846,14.999591,-0.006650,-0.063506,1.439576
0.020000,39.056297,16.927804,17.524834,14.999431,-0.007986,-0.066767,1.469706
0.020000,39.081514,17.226727,17.824819,14.999251,-0.009007,-0.051069,1.504300
0.020000,39.095729,17.526357,18.124787,14.998356,-0.044766,-1.787940,1.543168
0.020000,39.097688,17.826207,18.424643,14.992811,-0.277233,-11.623363,1.585986
0.020000,39.086286,18.125577,18.724230,14.979375,-0.671783,-19.727480,1.632283
0.020000,39.060635,18.423637,19.023392,14.958079,-1.064847,-19.653217,1.681442
0.020000,39.021060,18.712739,19.315189,14.589881,-18.409900,-867.252643,1.734307
0.020000,38.963409,19.004928,19.613012,14.891109,15.061420,1673.565984,1.797980
0.020000,38.886609,19.291739,19.909928,14.845803,-2.265281,-866.335061,1.867960
0.020000,38.789441,19.571178,20.205778,14.792536,-2.663387,-19.905295,1.943909
0.020000,38.671129,19.841009,20.500408,14.731467,-3.053433,-19.502266,2.024928
0.020000,38.531524,20.098899,20.793660,14.662614,-3.442623,-19.459504,2.109499
0.020000,38.371248,20.342647,21.085382,14.586084,-3.826504,-19.194063,2.195562
0.020000,38.191707,20.570435,21.375420,14.501919,-4.208261,-19.087858,2.280774
0.020000,37.994979,20.781049,21.663621,14.410070,-4.592468,-19.210364,2.362862
0.020000,37.783575,20.973985,21.949831,14.310495,-4.978715,-19.312353,2.439953
