dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.403750,24.600000,0.000078,0.007789,0.389444,19.472203,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,-0.389444,-38.944405,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,0.000000,19.472203,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,0.000000,0.000000,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,0.000000,0.000000,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,0.000000,0.000000,3.141593
0.020000,42.403750,24.600000,0.000078,0.000000,0.000000,0.000000,3.141593
0.020000,42.399764,24.600000,0.004063,0.199278,9.963919,498.195959,3.141593
0.020000,42.393455,24.600000,0.010372,0.315450,5.808565,-207.767710,3.141593
0.020000,42.385666,24.600000,0.018161,0.389444,3.699719,-105.442324,3.141593
0.020000,42.376242,24.600000,0.027586,0.471227,4.089163,19.472203,3.141593
0.020000,42.365026,24.600000,0.038802,0.560799,4.478607,19.472203,3.141593
0.020000,42.351863,24.600000,0.051965,0.658160,4.868051,19.472203,3.141593
0.020000,42.336596,24.600000,0.067231,0.763310,5.257495,19.472203,3.141593
0.020000,42.319071,24.600000,0.084756,0.876249,5.646939,19.472203,3.141593
0.020000,42.299132,24.600000,0.104696,0.996977,6.036383,19.472203,3.141593
0.020000,42.276622,24.600000,0.127206,1.125493,6.425827,19.472203,3.141593
0.020000,42.251386,24.600000,0.152442,1.261799,6.815271,19.472203,3.141593
0.020000,42.223268,24.600000,0.180560,1.405893,7.204715,19.472203,3.141593
0.020000,42.192113,24.600000,0.211715,1.557776,7.594159,19.472203,3.141593
0.020000,42.157764,24.600000,0.246064,1.717448,7.983603,19.472203,3.141593
0.020000,42.120065,24.600000,0.283762,1.884909,8.373047,19.472203,3.141593
0.020000,42.078862,24.600000,0.324965,2.060159,8.762491,19.472203,3.141593
0.020000,42.033998,24.600000,0.369829,2.243198,9.151935,19.472203,3.141593
0.020000,41.985318,24.600000,0.418510,2.434025,9.541379,19.472203,3.141593
0.020000,41.932665,24.600000,0.471163,2.632642,9.930823,19.472203,3.141593
0.020000,41.875884,24.600000,0.527944,2.839047,10.320267,19.472203,3.141593
0.020000,41.814819,24.600000,0.589008,3.053241,10.709711,19.472203,3.141593
0.020000,41.749315,24.600000,0.654513,3.275224,11.099156,19.472203,3.141593
0.020000,41.679215,24.600000,0.724613,3.504996,11.488600,19.472203,3.141593
0.020000,41.604441,24.600000,0.799386,3.738663,11.683322,9.736101,3.141593
0.020000,41.524995,24.600000,0.878833,3.972329,11.683322,0.000000,3.141593
0.020000,41.440875,24.600000,0.962953,4.205996,11.683322,-0.000000,3.141593
0.020000,41.352082,24.600000,1.051746,4.439662,11.683322,0.000000,3.141593
0.020000,41.258615,24.600000,1.145212,4.673329,11.683322,-0.000000,3.141593
0.020000,41.160475,24.600000,1.243352,4.906995,11.683322,0.000000,3.141593
0.020000,41.057662,24.600000,1.346166,5.140662,11.683322,-0.000000,3.141593
0.020000,40.950175,24.600000,1.453652,5.374328,11.683322,0.000000,3.141593
0.020000,40.838093,24.600000,1.565734,5.604100,11.488600,-9.736101,3.141593
0.020000,40.721572,24.600000,1.682256,5.826083,11.099156,-19.472203,3.141593
0.020000,40.600766,24.600000,1.803061,6.040277,10.709711,-19.472203,3.141593
0.020000,40.475833,24.600000,1.927995,6.246683,10.320267,-19.472203,3.141593
0.020000,40.346927,24.600000,2.056901,6.445299,9.930823,-19.472203,3.141593
0.020000,40.214204,24.600000,2.189623,6.636127,9.541379,-19.472203,3.141593
0.020000,40.077821,24.600000,2.326007,6.819165,9.151935,-19.472203,3.141593
0.020000,39.937933,24.600000,2.465895,6.994415,8.762491,-19.472203,3.141593
0.020000,39.794695,24.600000,2.609133,7.161876,8.373047,-19.472203,3.141593
0.020000,39.648264,24.600000,2.755564,7.321548,7.983603,-19.472203,3.141593
0.020000,39.498795,24.600000,2.905032,7.473431,7.594159,-19.472203,3.141593
0.020000,39.346445,24.600000,3.057383,7.617526,7.204715,-19.472203,3.141593
0.020000,39.191368,24.600000,3.212459,7.753831,6.815271,-19.472203,3.141593
0.020000,39.033721,24.600000,3.370106,7.882348,6.425827,-19.472203,3.141593
0.020000,38.873660,24.600000,3.530168,8.003075,6.036383,-19.472203,3.141593
0.020000,38.711340,24.600000,3.692488,8.116014,5.646939,-19.472203,3.141593
0.020000,38.546916,24.600000,3.856911,8.221164,5.257495,-19.472203,3.141593
