dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.403750,24.600000,0.000076,0.007566,0.378303,18.915153,3.141593
0.020000,42.403750,24.600000,0.000378,0.022698,0.756606,18.915153,3.141593
0.020000,42.403750,24.600000,0.001059,0.045396,1.134909,18.915153,3.141593
0.020000,42.403750,24.600000,0.002270,0.075661,1.513212,18.915153,3.141593
0.020000,42.403750,24.600000,0.004161,0.113491,1.891515,18.915153,3.141593
0.020000,42.403750,24.600000,0.006885,0.158887,2.269818,18.915153,3.141593
0.020000,42.400561,24.600000,0.010592,0.211850,2.648121,18.915153,3.141593
0.020000,42.395719,24.600000,0.015435,0.272378,3.026424,18.915153,3.141593
0.020000,42.389590,24.600000,0.021563,0.340473,3.404727,18.915153,3.141593
0.020000,42.382024,24.600000,0.029129,0.416133,3.783031,18.915153,3.141593
0.020000,42.372869,24.600000,0.038284,0.499360,4.161334,18.915153,3.141593
0.020000,42.361974,24.600000,0.049179,0.590153,4.539637,18.915153,3.141593
0.020000,42.349187,24.600000,0.061966,0.688512,4.917940,18.915153,3.141593
0.020000,42.334358,24.600000,0.076796,0.794436,5.296243,18.915153,3.141593
0.020000,42.317334,24.600000,0.093819,0.907927,5.674546,18.915153,3.141593
0.020000,42.297965,24.600000,0.113188,1.028984,6.052849,18.915153,3.141593
0.020000,42.276099,24.600000,0.135054,1.157607,6.431152,18.915153,3.141593
0.020000,42.251585,24.600000,0.159568,1.293796,6.809455,18.915153,3.141593
0.020000,42.224272,24.600000,0.186882,1.437552,7.187758,18.915153,3.141593
0.020000,42.194008,24.600000,0.217146,1.588873,7.566061,18.915153,3.141593
0.020000,42.160641,24.600000,0.250512,1.747760,7.944364,18.915153,3.141593
0.020000,42.124021,24.600000,0.287132,1.914213,8.322667,18.915153,3.141593
0.020000,42.084073,24.600000,0.327081,2.080667,8.322667,0.000000,3.141593
0.020000,42.040795,24.600000,0.370359,2.247120,8.322667,-0.000000,3.141593
0.020000,41.994188,24.600000,0.416966,2.413573,8.322667,0.000000,3.141593
0.020000,41.944252,24.600000,0.466902,2.580027,8.322667,-0.000000,3.141593
0.020000,41.890987,24.600000,0.520167,2.746480,8.322667,0.000000,3.141593
0.020000,41.834393,24.600000,0.576761,2.912934,8.322667,-0.000000,3.141593
0.020000,41.774469,24.600000,0.636684,3.079387,8.322667,0.000000,3.141593
0.020000,41.711217,24.600000,0.699936,3.245840,8.322667,-0.000000,3.141593
0.020000,41.644636,24.600000,0.766518,3.412294,8.322667,0.000000,3.141593
