dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,35.000000,24.600000,0.000077,0.007722,0.386095,19.304765,3.140525
0.020000,35.000000,24.600000,0.000077,0.000000,-0.386095,-38.609531,3.140525
0.020000,35.000000,24.600000,0.000077,0.000000,0.000000,19.304765,3.140526
0.020000,35.000000,24.600000,0.000077,0.000000,0.000000,0.000000,3.140526
0.020000,35.000000,24.600000,0.000077,0.000000,0.000000,0.000000,3.140527
0.020000,35.000000,24.600000,0.000077,0.000000,0.000000,0.000000,3.140528
0.020000,35.000000,24.600000,0.000077,0.000000,0.000000,0.000000,3.140529
0.020000,34.997747,24.600002,0.002330,0.112634,5.631702,281.585118,3.140530
0.020000,34.991493,24.600009,0.008585,0.312737,10.005158,218.672763,3.140532
0.020000,34.983771,24.600017,0.016307,0.386095,3.667905,-316.862610,3.140535
0.020000,34.974427,24.600027,0.025650,0.467175,4.054001,19.304766,3.140538
0.020000,34.963308,24.600039,0.036770,0.555977,4.440096,19.304766,3.140541
0.020000,34.950258,24.600052,0.049820,0.652501,4.826191,19.304764,3.140545
0.020000,34.935123,24.600068,0.064955,0.756747,5.212287,19.304765,3.140550
0.020000,34.917748,24.600086,0.082329,0.868714,5.598382,19.304766,3.140555
0.020000,34.897980,24.600107,0.102097,0.988404,5.984477,19.304766,3.140562
0.020000,34.875664,24.600130,0.124413,1.115815,6.370573,19.304764,3.140568
0.020000,34.850645,24.600155,0.149432,1.250949,6.756668,19.304766,3.140576
0.020000,34.822769,24.600184,0.177308,1.393804,7.142763,19.304766,3.140585
0.020000,34.791881,24.600214,0.208196,1.544381,7.528859,19.304765,3.140594
0.020000,34.757828,24.600248,0.242250,1.702680,7.914954,19.304764,3.140605
0.020000,34.720454,24.600285,0.279624,1.868701,8.301049,19.304768,3.140616
0.020000,34.679605,24.600325,0.320472,2.042444,8.687144,19.304764,3.140629
0.020000,34.635127,24.600367,0.364951,2.223909,9.073240,19.304765,3.140642
0.020000,34.586865,24.600413,0.413213,2.413096,9.459335,19.304767,3.140657
0.020000,34.534665,24.600461,0.465413,2.610004,9.845430,19.304763,3.140672
0.020000,34.478372,24.600513,0.521705,2.814635,10.231526,19.304766,3.140689
0.020000,34.417832,24.600567,0.582245,3.026987,10.617621,19.304765,3.140707
0.020000,34.352891,24.600624,0.647186,3.247062,11.003716,19.304766,3.140726
0.020000,34.283394,24.600683,0.716683,3.474858,11.389812,19.304765,3.140746
0.020000,34.209187,24.600745,0.790891,3.710376,11.775907,19.304766,3.140768
0.020000,34.130114,24.600809,0.869963,3.953616,12.162002,19.304765,3.140790
0.020000,34.046023,24.600876,0.954055,4.204578,12.548098,19.304766,3.140814
0.020000,33.956835,24.600944,1.043243,4.459401,12.741145,9.652383,3.140839
0.020000,33.862550,24.601014,1.137527,4.714224,12.741145,0.000000,3.140865
0.020000,33.763169,24.601085,1.236908,4.969047,12.741145,0.000000,3.140892
0.020000,33.658692,24.601157,1.341386,5.223870,12.741145,-0.000000,3.140921
