dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.500000,10.000000,0.000077,0.007739,0.386951,19.347556,0.000000
0.020000,42.500000,10.000000,0.000387,0.023217,0.773902,19.347556,0.000000
0.020000,42.500000,10.000000,0.001083,0.046434,1.160853,19.347556,0.000000
0.020000,42.500000,10.000000,0.002322,0.077390,1.547804,19.347556,0.000000
0.020000,42.500000,10.000000,0.004256,0.116085,1.934756,19.347556,0.000000
0.020000,42.502043,10.000000,0.007043,0.162519,2.321707,19.347556,0.000000
0.020000,42.505835,10.000000,0.010835,0.216693,2.708658,19.347556,0.000000
0.020000,42.510788,10.000000,0.015788,0.278605,3.095609,19.347556,0.000000
0.020000,42.517056,10.000000,0.022056,0.348256,3.482560,19.347556,0.000000
0.020000,42.524795,10.000000,0.029795,0.425646,3.869511,19.347556,0.000000
0.020000,42.534159,10.000000,0.039159,0.510775,4.256462,19.347556,0.000000
0.020000,42.545304,10.000000,0.050304,0.603644,4.643413,19.347556,0.000000
0.020000,42.558383,10.000000,0.063383,0.704251,5.030364,19.347556,0.000000
0.020000,42.573551,10.000000,0.078551,0.812597,5.417316,19.347556,0.000000
0.020000,42.590964,10.000000,0.095964,0.928683,5.804267,19.347556,0.000000
0.020000,42.610776,10.000000,0.115776,1.052507,6.191218,19.347556,0.000000
0.020000,42.633064,10.000000,0.138064,1.176331,6.191218,0.000000,0.000000
0.020000,42.657829,10.000000,0.162829,1.300156,6.191218,0.000000,0.000000
0.020000,42.685070,10.000000,0.190070,1.423980,6.191218,-0.000000,0.000000
0.020000,42.714788,10.000000,0.219788,1.547804,6.191218,0.000000,0.000000
0.020000,42.746983,10.000000,0.251983,1.671629,6.191218,0.000000,0.000000
0.020000,42.781653,10.000000,0.286653,1.795453,6.191218,0.000000,0.000000
0.020000,42.818801,10.000000,0.323801,1.919278,6.191218,-0.000000,0.000000
0.020000,42.858424,10.000000,0.363424,2.043102,6.191218,0.000000,0.000000
0.020000,42.900525,10.000000,0.405525,2.166926,6.191218,-0.000000,0.000000
0.020000,42.945102,10.000000,0.450102,2.290751,6.191218,0.000000,0.000000
0.020000,42.992155,10.000000,0.497155,2.414575,6.191218,0.000000,0.000000
0.020000,43.041685,10.000000,0.546685,2.538399,6.191218,-0.000000,0.000000
0.020000,43.093691,10.000000,0.598691,2.662224,6.191218,0.000000,0.000000
0.020000,43.148173,10.000000,0.653173,2.786048,6.191218,0.000000,0.000000
0.020000,43.205133,10.000000,0.710133,2.909872,6.191218,0.000000,0.000000
0.020000,43.264568,10.000000,0.769568,3.033697,6.191218,-0.000000,0.000000
0.020000,43.326481,10.000000,0.831481,3.157521,6.191218,0.000000,0.000000
0.020000,43.390869,10.000000,0.895869,3.281345,6.191218,0.000000,0.000000
0.020000,43.457734,10.000000,0.962734,3.405170,6.191218,0.000000,0.000000
0.020000,43.527076,10.000000,1.032076,3.528994,6.191218,-0.000000,0.000000
0.020000,43.598894,10.000000,1.103894,3.652818,6.191218,0.000000,0.000000
0.020000,43.673189,10.000000,1.178189,3.776643,6.191218,0.000000,0.000000
0.020000,43.749882,10.000000,1.254882,3.892728,5.804267,-19.347556,0.000000
0.020000,43.828820,10.000000,1.333820,4.001074,5.417316,-19.347556,0.000000
0.020000,43.909848,10.000000,1.414848,4.101682,5.030364,-19.347556,0.000000
0.020000,43.992810,10.000000,1.497810,4.194550,4.643413,-19.347556,0.000000
0.020000,44.077553,10.000000,1.582553,4.279679,4.256462,-19.347556,0.000000
0.020000,44.163920,10.000000,1.668920,4.357070,3.869511,-19.347556,0.000000
0.020000,44.251758,10.000000,1.756758,4.426721,3.482560,-19.347556,0.000000
