dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,12.500000,0.000008,0.000798,0.039908,1.995394,0.002088
0.020000,5.000000,12.500000,0.000040,0.002394,0.079816,1.995394,0.002074
0.020000,5.000000,12.500000,0.000112,0.004789,0.119724,1.995394,0.002044
0.020000,5.000000,12.500000,0.000239,0.007982,0.159632,1.995394,0.001991
0.020000,5.000000,12.500000,0.000439,0.011972,0.199539,1.995394,0.001908
0.020000,5.000000,12.500000,0.000726,0.016761,0.239447,1.995394,0.001788
0.020000,5.000000,12.500000,0.001117,0.022348,0.279355,1.995394,0.001624
0.020000,5.000000,12.500000,0.001628,0.028734,0.319263,1.995394,0.001411
0.020000,5.000000,12.500000,0.002275,0.035917,0.359171,1.995394,0.001140
0.020000,5.000000,12.500000,0.003073,0.043899,0.399079,1.995394,0.000807
0.020000,5.000000,12.500000,0.004039,0.052678,0.438987,1.995394,0.000402
0.020000,5.000188,12.500000,0.005188,0.062256,0.478895,1.995394,6.283106
0.020000,5.001538,12.500000,0.006537,0.072632,0.518803,1.995394,6.282541
0.020000,5.003103,12.499998,0.008101,0.083807,0.558710,1.995394,6.281884
0.020000,5.004897,12.499995,0.009897,0.095779,0.598618,1.995394,6.281130
0.020000,5.006942,12.499990,0.011940,0.108549,0.638526,1.995394,6.280269
0.020000,5.009248,12.499982,0.014247,0.122118,0.678434,1.995394,6.279296
0.020000,5.011834,12.499971,0.016833,0.136485,0.718342,1.995394,6.278202
0.020000,5.014715,12.499954,0.019714,0.151650,0.758250,1.995394,6.276981
0.020000,5.017908,12.499932,0.022907,0.167613,0.798158,1.995394,6.275623
0.020000,5.021428,12.499903,0.026427,0.184374,0.838066,1.995394,6.274122
0.020000,5.025290,12.499865,0.030290,0.201934,0.877974,1.995394,6.272468
0.020000,5.029512,12.499816,0.034512,0.220292,0.917881,1.995394,6.270654
0.020000,5.034109,12.499754,0.039110,0.239447,0.957789,1.995394,6.268671
0.020000,5.039097,12.499676,0.044098,0.259401,0.997697,1.995394,6.266509
0.020000,5.044483,12.499580,0.049486,0.279355,0.997697,0.000000,6.264162
0.020000,5.050269,12.499462,0.055272,0.299309,0.997697,0.000000,6.261629
0.020000,5.056454,12.499321,0.061458,0.319263,0.997697,0.000000,6.258905
0.020000,5.063036,12.499151,0.068043,0.339217,0.997697,0.000000,6.255989
0.020000,5.070017,12.498950,0.075027,0.359171,0.997697,-0.000000,6.252876
0.020000,5.077396,12.498715,0.082410,0.379125,0.997697,0.000000,6.249563
0.020000,5.085174,12.498439,0.090192,0.399079,0.997697,-0.000000,6.246047
0.020000,5.093348,12.498120,0.098373,0.419033,0.997697,0.000000,6.242323
0.020000,5.101920,12.497753,0.106953,0.438987,0.997697,0.000000,6.238386
0.020000,5.110890,12.497332,0.115932,0.458941,0.997697,-0.000000,6.234233
0.020000,5.120256,12.496853,0.125311,0.478895,0.997697,0.000000,6.229858
0.020000,5.130018,12.496309,0.135088,0.498849,0.997697,0.000000,6.225257
0.020000,5.140176,12.495696,0.145265,0.518803,0.997697,-0.000000,6.220424
0.020000,5.150729,12.495006,0.155840,0.538756,0.997697,0.000000,6.215353
0.020000,5.161677,12.494233,0.166815,0.558710,0.997697,-0.000000,6.210039
0.020000,5.173017,12.493370,0.178189,0.578664,0.997697,0.000000,6.204477
0.020000,5.184752,12.492410,0.189962,0.598618,0.997697,0.000000,6.198657
0.020000,5.196876,12.491346,0.202133,0.618572,0.997697,-0.000000,6.192577
0.020000,5.209392,12.490169,0.214704,0.638526,0.997697,0.000000,6.186227
0.020000,5.222297,12.488870,0.227675,0.658480,0.997697,0.000000,6.179601
0.020000,5.235590,12.487442,0.241044,0.678434,0.997697,-0.000000,6.172691
0.020000,5.249269,12.485875,0.254812,0.698388,0.997697,0.000000,6.165491
0.020000,5.263331,12.484159,0.268979,0.718342,0.997697,-0.000000,6.157992
0.020000,5.277776,12.482284,0.283546,0.738296,0.997697,0.000000,6.150186
0.020000,5.292602,12.480239,0.298511,0.758250,0.997697,-0.000000,6.142065
0.020000,5.307803,12.478014,0.313876,0.778204,0.997697,0.000000,6.133621
0.020000,5.323381,12.475597,0.329639,0.798158,0.997697,-0.000000,6.124845
