dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,12.500000,0.000008,0.000769,0.038462,1.923077,0.002088
0.020000,5.000000,12.500000,0.000008,0.000000,-0.038462,-3.846154,0.002075
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,1.923077,0.002046
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001995
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001914
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001799
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001641
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001435
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.001175
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.000853
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.000464
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,0.000000
0.020000,5.001301,12.500000,0.001309,0.065050,3.252513,162.625666,6.282640
0.020000,5.002801,12.499998,0.002809,0.075014,0.498186,-137.716370,6.282011
0.020000,5.004500,12.499996,0.004508,0.084959,0.497246,-0.047002,6.281297
0.020000,5.006401,12.499991,0.006409,0.095029,0.503522,0.313794,6.280497
0.020000,5.008501,12.499985,0.008509,0.105002,0.498609,-0.245617,6.279611
0.020000,5.010801,12.499975,0.010808,0.114981,0.498992,0.019127,6.278640
0.020000,5.013301,12.499963,0.013309,0.125022,0.502016,0.151217,6.277581
0.020000,5.016001,12.499946,0.016009,0.134985,0.498185,-0.191568,6.276435
0.020000,5.018901,12.499925,0.018909,0.144999,0.500678,0.124639,6.275200
0.020000,5.022001,12.499898,0.022009,0.155021,0.501080,0.020137,6.273877
0.020000,5.025300,12.499865,0.025308,0.164958,0.496849,-0.211593,6.272464
0.020000,5.028800,12.499825,0.028809,0.175021,0.503186,0.316890,6.270961
0.020000,5.032500,12.499777,0.032509,0.185021,0.500009,-0.158847,6.269366
0.020000,5.036400,12.499719,0.036409,0.194993,0.498592,-0.070851,6.267679
0.020000,5.040499,12.499652,0.040508,0.204979,0.499271,0.033927,6.265899
0.020000,5.044797,12.499574,0.044808,0.214975,0.499812,0.027048,6.264025
0.020000,5.049297,12.499483,0.049308,0.224998,0.501157,0.067242,6.262056
0.020000,5.053996,12.499379,0.054008,0.235009,0.500522,-0.031717,6.259990
0.020000,5.058894,12.499260,0.058908,0.244999,0.499522,-0.050028,6.257826
0.020000,5.063992,12.499125,0.064008,0.254989,0.499513,-0.000439,6.255564
0.020000,5.069290,12.498972,0.069308,0.265008,0.500941,0.071371,6.253201
0.020000,5.074788,12.498801,0.074808,0.275024,0.500803,-0.006868,6.250737
0.020000,5.080485,12.498608,0.080509,0.285018,0.499707,-0.054816,6.248170
0.020000,5.086381,12.498394,0.086409,0.295001,0.499135,-0.028586,6.245498
0.020000,5.092476,12.498156,0.092508,0.304969,0.498425,-0.035488,6.242721
0.020000,5.098770,12.497892,0.098808,0.315006,0.501831,0.170305,6.239836
0.020000,5.105264,12.497600,0.105309,0.325025,0.500924,-0.045358,6.236842
0.020000,5.111956,12.497280,0.112008,0.334954,0.496481,-0.222158,6.233737
0.020000,5.118848,12.496928,0.118909,0.345041,0.504360,0.393919,6.230518
0.020000,5.125936,12.496542,0.126008,0.354969,0.496356,-0.400199,6.227186
0.020000,5.133225,12.496121,0.133309,0.365032,0.503157,0.340097,6.223736
0.020000,5.140710,12.495662,0.140808,0.374944,0.495640,-0.375864,6.220168
0.020000,5.148395,12.495163,0.148509,0.385050,0.505295,0.482727,6.216479
0.020000,5.156276,12.494621,0.156409,0.394997,0.497353,-0.397081,6.212668
0.020000,5.164354,12.494035,0.164508,0.404962,0.498236,0.044137,6.208731
0.020000,5.172630,12.493400,0.172808,0.415015,0.502662,0.221321,6.204667
0.020000,5.181103,12.492716,0.181308,0.425019,0.500181,-0.124055,6.200474
