dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,12.500000,0.000008,0.000795,0.039752,1.987600,6.283164
0.020000,5.000000,12.500000,0.000008,0.000000,-0.039752,-3.975199,6.283164
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,1.987600,6.283165
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283166
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283168
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283170
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283173
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283178
0.020000,5.000000,12.500000,0.000008,0.000000,0.000000,0.000000,6.283183
0.020000,5.000561,12.500000,0.000569,0.028045,1.402259,70.112930,0.000005
0.020000,5.001523,12.500000,0.001531,0.048100,1.002737,-19.976082,0.000013
0.020000,5.002668,12.500000,0.002676,0.057243,0.457148,-27.279452,0.000023
0.020000,5.004011,12.500000,0.004019,0.067181,0.496900,1.987600,0.000034
0.020000,5.005570,12.500000,0.005578,0.077914,0.536652,1.987600,0.000048
0.020000,5.007358,12.500000,0.007366,0.089442,0.576404,1.987600,0.000063
0.020000,5.009394,12.500000,0.009402,0.101765,0.616156,1.987600,0.000080
0.020000,5.011691,12.500001,0.011699,0.114883,0.655908,1.987600,0.000100
0.020000,5.014267,12.500001,0.014275,0.128796,0.695660,1.987600,0.000122
0.020000,5.017137,12.500001,0.017145,0.143505,0.735412,1.987600,0.000146
0.020000,5.020318,12.500002,0.020326,0.159008,0.775164,1.987600,0.000173
0.020000,5.023824,12.500002,0.023832,0.175306,0.814916,1.987600,0.000202
0.020000,5.027672,12.500003,0.027680,0.192400,0.854668,1.987600,0.000234
0.020000,5.031878,12.500004,0.031885,0.210288,0.894420,1.987599,0.000269
0.020000,5.036457,12.500006,0.036465,0.228971,0.934172,1.987600,0.000307
0.020000,5.041426,12.500007,0.041434,0.248450,0.973924,1.987600,0.000347
0.020000,5.046792,12.500009,0.046800,0.268326,0.993800,0.993800,0.000391
0.020000,5.052557,12.500012,0.052564,0.288202,0.993800,0.000000,0.000438
0.020000,5.058718,12.500014,0.058726,0.308078,0.993800,-0.000001,0.000487
0.020000,5.065277,12.500018,0.065285,0.327954,0.993800,0.000001,0.000540
0.020000,5.072234,12.500022,0.072242,0.347830,0.993800,-0.000001,0.000594
0.020000,5.079588,12.500026,0.079596,0.367706,0.993800,0.000000,0.000652
0.020000,5.087339,12.500032,0.087347,0.387582,0.993800,0.000000,0.000712
0.020000,5.095489,12.500038,0.095497,0.407458,0.993800,-0.000001,0.000774
0.020000,5.104035,12.500045,0.104043,0.427334,0.993800,0.000000,0.000839
0.020000,5.112980,12.500052,0.112987,0.447210,0.993800,0.000000,0.000906
0.020000,5.122321,12.500061,0.122329,0.467086,0.993800,-0.000000,0.000975
