dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,7.500000,7.500000,0.000008,0.000799,0.039957,1.997852,5.998221
0.020000,7.500000,7.500000,0.000008,0.000000,-0.039957,-3.995704,5.998221
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,1.997852,5.998223
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998226
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998230
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998237
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998245
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998256
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998271
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998288
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998310
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998335
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998365
0.020000,7.500000,7.500000,0.000008,0.000000,0.000000,0.000000,5.998400
0.020000,7.501521,7.499555,0.001593,0.079266,3.963289,198.164458,5.998439
0.020000,7.503485,7.498980,0.003639,0.102290,1.151234,-140.602746,5.998485
0.020000,7.505701,7.498331,0.005949,0.115476,0.659259,-24.598772,5.998536
0.020000,7.508187,7.497604,0.008538,0.129460,0.699215,1.997788,5.998593
0.020000,7.510955,7.496794,0.011423,0.144246,0.739300,2.004260,5.998657
0.020000,7.514023,7.495897,0.014619,0.159828,0.779100,1.989996,5.998728
0.020000,7.517406,7.494908,0.018144,0.176210,0.819122,2.001110,5.998806
0.020000,7.521119,7.493823,0.022011,0.193392,0.859106,1.999187,5.998892
0.020000,7.525176,7.492638,0.026239,0.211372,0.898989,1.994162,5.998985
0.020000,7.529595,7.491347,0.030842,0.230153,0.939034,2.002271,5.999088
0.020000,7.534389,7.489948,0.035836,0.249732,0.978929,1.994734,5.999198
0.020000,7.539568,7.488437,0.041231,0.269709,0.998885,0.997792,5.999318
0.020000,7.545130,7.486814,0.047024,0.289689,0.999011,0.006290,5.999447
0.020000,7.551076,7.485081,0.053218,0.309667,0.998884,-0.006315,5.999585
0.020000,7.557405,7.483237,0.059811,0.329645,0.998902,0.000894,5.999732
0.020000,7.564119,7.481282,0.066803,0.349623,0.998917,0.000726,5.999888
0.020000,7.571216,7.479216,0.074195,0.369603,0.998970,0.002654,6.000053
0.020000,7.578698,7.477040,0.081987,0.389581,0.998925,-0.002263,6.000227
0.020000,7.586564,7.474754,0.090178,0.409560,0.998917,-0.000385,6.000410
0.020000,7.594813,7.472357,0.098769,0.429538,0.998918,0.000055,6.000603
0.020000,7.603447,7.469851,0.107759,0.449516,0.998916,-0.000112,6.000804
0.020000,7.612466,7.467236,0.117149,0.469495,0.998946,0.001529,6.001015
0.020000,7.621868,7.464511,0.126939,0.489474,0.998950,0.000194,6.001235
0.020000,7.631655,7.461677,0.137128,0.509453,0.998912,-0.001904,6.001464
0.020000,7.641827,7.458735,0.147716,0.529430,0.998896,-0.000779,6.001703
0.020000,7.652383,7.455684,0.158704,0.549409,0.998911,0.000718,6.001951
0.020000,7.663324,7.452525,0.170092,0.569389,0.999000,0.004438,6.002209
0.020000,7.674649,7.449258,0.181879,0.589366,0.998853,-0.007335,6.002475
0.020000,7.686360,7.445883,0.194066,0.609345,0.998978,0.006235,6.002752
0.020000,7.698455,7.442401,0.206653,0.629323,0.998885,-0.004632,6.003038
0.020000,7.710935,7.438812,0.219639,0.649302,0.998968,0.004170,6.003333
0.020000,7.723801,7.435117,0.233024,0.669279,0.998846,-0.006140,6.003638
0.020000,7.737051,7.431316,0.246810,0.689260,0.999036,0.009516,6.003953
0.020000,7.750687,7.427408,0.260994,0.709237,0.998874,-0.008075,6.004278
0.020000,7.764709,7.423395,0.275579,0.729215,0.998894,0.000970,6.004612
0.020000,7.779116,7.419278,0.290563,0.749194,0.998949,0.002774,6.004956
0.020000,7.793908,7.415055,0.305946,0.769174,0.998958,0.000432,6.005310
0.020000,7.809087,7.410728,0.321729,0.789152,0.998912,-0.002302,6.005674
0.020000,7.824651,7.406298,0.337912,0.809130,0.998919,0.000354,6.006048
0.020000,7.840601,7.401764,0.354494,0.829109,0.998923,0.000187,6.006432
0.020000,7.856938,7.397127,0.371476,0.849087,0.998923,0.000021,6.006826
0.020000,7.873661,7.392388,0.388857,0.869065,0.998920,-0.000144,6.007231
0.020000,7.890770,7.387547,0.406638,0.889044,0.998914,-0.000308,6.007645
0.020000,7.908265,7.382604,0.424818,0.909022,0.998935,0.001050,6.008070
0.020000,7.926148,7.377561,0.443398,0.929002,0.998972,0.001869,6.008505
0.020000,7.944417,7.372417,0.462378,0.948980,0.998899,-0.003694,6.008951
0.020000,7.963073,7.367173,0.481757,0.968957,0.998879,-0.000957,6.009407
0.020000,7.982117,7.361830,0.501536,0.988937,0.998995,0.005759,6.009874
0.020000,8.001547,7.356388,0.521714,1.008915,0.998895,-0.004997,6.010351
0.020000,8.021365,7.350848,0.542292,1.028894,0.998917,0.001109,6.010839
0.020000,8.041571,7.345210,0.563269,1.048872,0.998947,0.001491,6.011338
0.020000,8.062164,7.339475,0.584646,1.068851,0.998917,-0.001498,6.011848
0.020000,8.083146,7.333644,0.606423,1.088829,0.998895,-0.001070,6.012369
0.020000,8.104515,7.327717,0.628599,1.108809,0.998993,0.004907,6.012901
0.020000,8.126273,7.321696,0.651175,1.128786,0.998880,-0.005676,6.013444
0.020000,8.148419,7.315579,0.674150,1.148764,0.998899,0.000964,6.013998
0.020000,8.170954,7.309369,0.697525,1.168744,0.998972,0.003646,6.014564
0.020000,8.193878,7.303066,0.721300,1.188722,0.998934,-0.001902,6.015141
0.020000,8.217190,7.296670,0.745474,1.208701,0.998914,-0.000989,6.015729
0.020000,8.240892,7.290183,0.770047,1.228679,0.998920,0.000303,6.016329
0.020000,8.264983,7.283605,0.795020,1.248657,0.998923,0.000140,6.016940
0.020000,8.289464,7.276937,0.820393,1.268636,0.998923,-0.000021,6.017564
0.020000,8.314335,7.270179,0.846165,1.288614,0.998919,-0.000179,6.018199
0.020000,8.339595,7.263333,0.872337,1.308593,0.998912,-0.000336,6.018846
0.020000,8.365246,7.256399,0.898909,1.328572,0.998958,0.002269,6.019505
0.020000,8.391287,7.249378,0.925880,1.348551,0.998946,-0.000584,6.020176
0.020000,8.417719,7.242271,0.953250,1.368529,0.998895,-0.002557,6.020859
0.020000,8.444542,7.235079,0.981020,1.388506,0.998881,-0.000681,6.021555
0.020000,8.471755,7.227802,1.009190,1.408487,0.999024,0.007133,6.022263
0.020000,8.499360,7.220442,1.037759,1.428464,0.998850,-0.008702,6.022984
0.020000,8.527357,7.213000,1.066728,1.448443,0.998971,0.006065,6.023717
0.020000,8.555745,7.205475,1.096097,1.468421,0.998880,-0.004567,6.024463
0.020000,8.584525,7.197870,1.125865,1.488400,0.998982,0.005083,6.025222
0.020000,8.613697,7.190185,1.156032,1.508378,0.998860,-0.006072,6.025994
0.020000,8.643262,7.182422,1.186599,1.528357,0.998979,0.005941,6.026778
0.020000,8.673220,7.174580,1.217566,1.548336,0.998925,-0.002709,6.027577
0.020000,8.703570,7.166662,1.248932,1.568314,0.998900,-0.001259,6.028388
0.020000,8.734314,7.158668,1.280698,1.588292,0.998914,0.000702,6.029213
0.020000,8.765451,7.150600,1.312863,1.608270,0.998924,0.000538,6.030051
0.020000,8.796981,7.142457,1.345428,1.628250,0.998963,0.001926,6.030903
0.020000,8.828906,7.134243,1.378393,1.648228,0.998916,-0.002348,6.031769
0.020000,8.861225,7.125957,1.411757,1.668206,0.998917,0.000069,6.032648
0.020000,8.893938,7.117601,1.445521,1.688185,0.998916,-0.000063,6.033542
0.020000,8.927046,7.109175,1.479684,1.708164,0.998960,0.002191,6.034450
0.020000,8.960549,7.100682,1.514247,1.728142,0.998926,-0.001694,6.035372
0.020000,8.994447,7.092122,1.549209,1.748121,0.998914,-0.000584,6.036308
0.020000,9.028741,7.083497,1.584571,1.768099,0.998902,-0.000630,6.037259
0.020000,9.063431,7.074807,1.620333,1.788077,0.998920,0.000890,6.038224
0.020000,9.098517,7.066055,1.656494,1.808057,0.998981,0.003071,6.039205
0.020000,9.133999,7.057240,1.693055,1.828034,0.998867,-0.005711,6.040200
0.020000,9.169878,7.048366,1.730015,1.848013,0.998969,0.005094,6.041211
0.020000,9.206154,7.039432,1.767375,1.867991,0.998894,-0.003759,6.042236
0.020000,9.242828,7.030441,1.805134,1.887970,0.998957,0.003197,6.043277
0.020000,9.279898,7.021394,1.843293,1.907948,0.998865,-0.004613,6.044333
0.020000,9.317367,7.012291,1.881852,1.927928,0.999010,0.007251,6.045405
0.020000,9.355234,7.003135,1.920810,1.947906,0.998883,-0.006339,6.046493
0.020000,9.393500,6.993927,1.960167,1.967884,0.998901,0.000867,6.047596
0.020000,9.432164,6.984669,1.999925,1.987863,0.998953,0.002589,6.048716
0.020000,9.471227,6.975362,2.040082,2.007842,0.998943,-0.000499,6.049852
0.020000,9.510690,6.966007,2.080638,2.027820,0.998915,-0.001376,6.051004
0.020000,9.550552,6.956606,2.121594,2.047798,0.998921,0.000282,6.052173
0.020000,9.590815,6.947161,2.162949,2.067777,0.998924,0.000146,6.053358
0.020000,9.631478,6.937673,2.204705,2.087755,0.998924,0.000016,6.054560
0.020000,9.672541,6.928145,2.246859,2.107734,0.998922,-0.000106,6.055779
0.020000,9.714006,6.918576,2.289413,2.127712,0.998917,-0.000220,6.057015
0.020000,9.755872,6.908970,2.332367,2.147691,0.998929,0.000555,6.058268
