dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.535157,0.105415,0.000008,0.000800,0.039981,1.999054,1.548974
0.020000,2.535157,0.105415,0.000008,0.000000,-0.039981,-3.998108,1.548974
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,1.999054,1.548974
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548975
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548976
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548978
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548980
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548983
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548987
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548992
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.548997
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549004
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549012
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549021
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549032
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549044
0.020000,2.535157,0.105415,0.000008,0.000000,0.000000,0.000000,1.549057
0.020000,2.535200,0.107390,0.001983,0.098736,4.936780,246.838997,1.549072
0.020000,2.535263,0.110276,0.004869,0.144332,2.279809,-132.848550,1.549089
0.020000,2.535332,0.113473,0.008068,0.159924,0.779628,-75.009027,1.549108
0.020000,2.535409,0.116999,0.011594,0.176317,0.819609,1.999006,1.549128
0.020000,2.535492,0.120868,0.015464,0.193508,0.859591,1.999131,1.549151
0.020000,2.535584,0.125097,0.019694,0.211500,0.899585,1.999716,1.549175
0.020000,2.535683,0.129702,0.024300,0.230291,0.939550,1.998206,1.549202
0.020000,2.535791,0.134698,0.029298,0.249882,0.979529,1.998971,1.549231
0.020000,2.535908,0.140095,0.034695,0.269872,0.999541,1.000581,1.549263
0.020000,2.536032,0.145890,0.040492,0.289863,0.999520,-0.001040,1.549296
0.020000,2.536165,0.152086,0.046690,0.309853,0.999525,0.000246,1.549332
0.020000,2.536307,0.158681,0.053286,0.329844,0.999534,0.000482,1.549371
0.020000,2.536457,0.165677,0.060283,0.349834,0.999516,-0.000927,1.549411
0.020000,2.536615,0.173071,0.067680,0.369825,0.999541,0.001249,1.549454
0.020000,2.536781,0.180866,0.075476,0.389815,0.999514,-0.001351,1.549499
0.020000,2.536955,0.189060,0.083672,0.409806,0.999539,0.001272,1.549547
0.020000,2.537138,0.197654,0.092268,0.429797,0.999518,-0.001036,1.549597
0.020000,2.537328,0.206648,0.101264,0.449787,0.999530,0.000564,1.549649
0.020000,2.537526,0.216041,0.110659,0.469778,0.999530,0.000004,1.549703
0.020000,2.537733,0.225835,0.120455,0.489768,0.999519,-0.000561,1.549759
0.020000,2.537947,0.236027,0.130650,0.509759,0.999536,0.000853,1.549818
0.020000,2.538169,0.246620,0.141245,0.529749,0.999526,-0.000466,1.549879
0.020000,2.538398,0.257612,0.152240,0.549740,0.999522,-0.000219,1.549942
0.020000,2.538636,0.269005,0.163634,0.569730,0.999524,0.000108,1.550008
0.020000,2.538880,0.280797,0.175429,0.589721,0.999538,0.000680,1.550076
0.020000,2.539133,0.292988,0.187623,0.609712,0.999524,-0.000688,1.550145
0.020000,2.539392,0.305579,0.200217,0.629702,0.999525,0.000050,1.550218
0.020000,2.539659,0.318571,0.213211,0.649693,0.999526,0.000042,1.550292
0.020000,2.539933,0.331961,0.226604,0.669683,0.999527,0.000034,1.550368
0.020000,2.540215,0.345752,0.240398,0.689674,0.999527,0.000026,1.550447
0.020000,2.540503,0.359942,0.254591,0.709664,0.999527,0.000019,1.550528
0.020000,2.540798,0.374533,0.269184,0.729655,0.999528,0.000012,1.550611
0.020000,2.541100,0.389522,0.284177,0.749645,0.999528,0.000005,1.550696
0.020000,2.541409,0.404912,0.299570,0.769636,0.999528,-0.000002,1.550783
0.020000,2.541724,0.420701,0.315362,0.789626,0.999528,-0.000009,1.550872
0.020000,2.542046,0.436891,0.331555,0.809617,0.999527,-0.000016,1.550964
0.020000,2.542374,0.453479,0.348147,0.829607,0.999527,-0.000022,1.551057
