dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,2.535157,0.105415,0.000020,0.002000,0.100000,5.000000,1.548974
0.020000,2.535157,0.105415,0.000100,0.006000,0.200000,5.000000,1.548974
0.020000,2.535157,0.105415,0.000280,0.012000,0.300000,5.000000,1.548975
0.020000,2.535157,0.105415,0.000600,0.020000,0.400000,5.000000,1.548977
0.020000,2.535157,0.105415,0.001100,0.030000,0.500000,5.000000,1.548980
0.020000,2.535157,0.105415,0.001800,0.040000,0.500000,0.000000,1.548984
0.020000,2.535157,0.105415,0.002700,0.050000,0.500000,0.000000,1.548989
0.020000,2.535157,0.105415,0.003800,0.060000,0.500000,-0.000000,1.548996
0.020000,2.535157,0.105415,0.005100,0.070000,0.500000,0.000000,1.549003
0.020000,2.535157,0.105415,0.006600,0.080000,0.500000,-0.000000,1.549012
0.020000,2.535157,0.105415,0.008300,0.090000,0.500000,0.000000,1.549022
0.020000,2.535157,0.105415,0.010200,0.100000,0.500000,0.000000,1.549033
0.020000,2.535157,0.105415,0.012300,0.110000,0.500000,-0.000000,1.549046
0.020000,2.535157,0.105415,0.014600,0.120000,0.500000,0.000000,1.549059
0.020000,2.535205,0.107626,0.017100,0.130000,0.500000,0.000000,1.549074
0.020000,2.535264,0.110325,0.019800,0.140000,0.500000,0.000000,1.549089
0.020000,2.535327,0.113224,0.022700,0.150000,0.500000,-0.000000,1.549106
0.020000,2.535394,0.116324,0.025800,0.160000,0.500000,0.000000,1.549124
0.020000,2.535465,0.119623,0.029100,0.170000,0.500000,0.000000,1.549144
0.020000,2.535541,0.123122,0.032600,0.180000,0.500000,-0.000000,1.549164
0.020000,2.535621,0.126821,0.036300,0.190000,0.500000,0.000000,1.549185
0.020000,2.535705,0.130720,0.040200,0.200000,0.500000,0.000000,1.549208
0.020000,2.535794,0.134819,0.044300,0.210000,0.500000,-0.000000,1.549232
0.020000,2.535887,0.139118,0.048600,0.220000,0.500000,0.000000,1.549257
0.020000,2.535983,0.143617,0.053100,0.230000,0.500000,0.000000,1.549283
0.020000,2.536084,0.148316,0.057800,0.240000,0.500000,-0.000000,1.549311
0.020000,2.536190,0.153215,0.062700,0.250000,0.500000,0.000000,1.549339
0.020000,2.536299,0.158314,0.067800,0.260000,0.500000,0.000000,1.549369
0.020000,2.536412,0.163613,0.073100,0.270000,0.500000,0.000000,1.549399
0.020000,2.536530,0.169111,0.078600,0.280000,0.500000,0.000000,1.549431
0.020000,2.536652,0.174810,0.084300,0.290000,0.500000,-0.000000,1.549464
0.020000,2.536777,0.180709,0.090200,0.300000,0.500000,0.000000,1.549499
0.020000,2.536907,0.186807,0.096300,0.310000,0.500000,0.000000,1.549534
0.020000,2.537041,0.193106,0.102600,0.320000,0.500000,0.000000,1.549570
0.020000,2.537179,0.199604,0.109100,0.330000,0.500000,0.000000,1.549608
0.020000,2.537321,0.206303,0.115800,0.340000,0.500000,0.000000,1.549647
0.020000,2.537467,0.213201,0.122700,0.350000,0.500000,-0.000000,1.549687
0.020000,2.537616,0.220300,0.129800,0.360000,0.500000,0.000000,1.549728
0.020000,2.537770,0.227598,0.137100,0.370000,0.500000,0.000000,1.549770
0.020000,2.537927,0.235097,0.144600,0.380000,0.500000,0.000000,1.549813
0.020000,2.538089,0.242795,0.152300,0.390000,0.500000,0.000000,1.549857
0.020000,2.538254,0.250693,0.160200,0.400000,0.500000,0.000000,1.549903
0.020000,2.538423,0.258791,0.168300,0.410000,0.500000,-0.000000,1.549949
0.020000,2.538596,0.267090,0.176600,0.420000,0.500000,0.000000,1.549997
0.020000,2.538772,0.275588,0.185100,0.430000,0.500000,0.000000,1.550046
0.020000,2.538953,0.284286,0.193800,0.440000,0.500000,0.000000,1.550096
0.020000,2.539137,0.293184,0.202700,0.450000,0.500000,0.000000,1.550147
