dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.150549,2.402000,0.000079,0.007872,0.393614,19.680709,3.118249
0.020000,42.150549,2.402000,0.000394,0.023617,0.787228,19.680709,3.118252
0.020000,42.150549,2.402000,0.001102,0.047234,1.180843,19.680709,3.118259
0.020000,42.150549,2.402000,0.002362,0.078723,1.574457,19.680709,3.118272
0.020000,42.150549,2.402000,0.004330,0.118084,1.968071,19.680709,3.118291
0.020000,42.150549,2.402000,0.007164,0.165318,2.361685,19.680709,3.118319
0.020000,42.148859,2.402039,0.011021,0.220424,2.755299,19.680709,3.118358
0.020000,42.143822,2.402156,0.016059,0.283402,3.148913,19.680709,3.118408
0.020000,42.137447,2.402304,0.022436,0.354253,3.542528,19.680709,3.118471
0.020000,42.129577,2.402486,0.030308,0.432976,3.936142,19.680709,3.118550
0.020000,42.120054,2.402705,0.039834,0.519571,4.329756,19.680709,3.118644
0.020000,42.108721,2.402964,0.051170,0.614038,4.723370,19.680709,3.118756
0.020000,42.095420,2.403267,0.064474,0.716378,5.116984,19.680709,3.118888
0.020000,42.079994,2.403616,0.079904,0.826590,5.510599,19.680709,3.119040
0.020000,42.062286,2.404014,0.097616,0.944674,5.904213,19.680709,3.119214
0.020000,42.042138,2.404463,0.117769,1.070631,6.297827,19.680709,3.119411
0.020000,42.019393,2.404965,0.140520,1.204459,6.691441,19.680709,3.119634
0.020000,41.993893,2.405522,0.166026,1.346160,7.085055,19.680709,3.119882
0.020000,41.965480,2.406135,0.194445,1.495734,7.478669,19.680709,3.120157
0.020000,41.933998,2.406805,0.225935,1.653180,7.872284,19.680709,3.120460
0.020000,41.899289,2.407533,0.260651,1.818498,8.265898,19.680709,3.120793
0.020000,41.861195,2.408318,0.298753,1.991688,8.659512,19.680709,3.121156
0.020000,41.819560,2.409161,0.340398,2.172750,9.053126,19.680709,3.121550
0.020000,41.774224,2.410060,0.385742,2.361685,9.446740,19.680709,3.121976
0.020000,41.725032,2.411014,0.434944,2.558492,9.840354,19.680709,3.122434
0.020000,41.671903,2.412019,0.488082,2.755299,9.840354,-0.000000,3.122925
0.020000,41.614839,2.413070,0.545156,2.952106,9.840354,0.000000,3.123447
0.020000,41.553838,2.414160,0.606166,3.148913,9.840354,-0.000000,3.124000
0.020000,41.488902,2.415283,0.671112,3.345721,9.840354,0.000000,3.124581
0.020000,41.420029,2.416434,0.739995,3.542528,9.840354,-0.000000,3.125190
0.020000,41.347220,2.417605,0.812813,3.739335,9.840354,0.000000,3.125826
0.020000,41.270474,2.418790,0.889568,3.936142,9.840354,-0.000000,3.126487
0.020000,41.189792,2.419981,0.970259,4.132949,9.840354,0.000000,3.127172
0.020000,41.105173,2.421171,1.054886,4.329756,9.840354,-0.000000,3.127879
0.020000,41.016618,2.422353,1.143449,4.526563,9.840354,0.000000,3.128607
0.020000,40.924126,2.423520,1.235949,4.723370,9.840354,0.000000,3.129354
0.020000,40.827697,2.424663,1.332384,4.920177,9.840354,0.000000,3.130118
0.020000,40.727332,2.425776,1.432756,5.116984,9.840354,0.000000,3.130897
0.020000,40.623108,2.426849,1.536985,5.305919,9.446740,-19.680709,3.131689
0.020000,40.515184,2.427874,1.644914,5.486982,9.053126,-19.680709,3.132491
0.020000,40.403717,2.428844,1.756385,5.660172,8.659512,-19.680709,3.133300
0.020000,40.288864,2.429749,1.871242,5.825490,8.265898,-19.680709,3.134112
0.020000,40.170783,2.430584,1.989326,5.982936,7.872284,-19.680709,3.134926
0.020000,40.049630,2.431343,2.110481,6.132509,7.478669,-19.680709,3.135737
0.020000,39.925565,2.432019,2.234548,6.274210,7.085055,-19.680709,3.136543
0.020000,39.798744,2.432608,2.361370,6.408039,6.691441,-19.680709,3.137342
0.020000,39.669325,2.433107,2.490791,6.533995,6.297827,-19.680709,3.138131
0.020000,39.537465,2.433512,2.622651,6.652080,5.904213,-19.680709,3.138907
0.020000,39.403321,2.433821,2.756795,6.762292,5.510599,-19.680709,3.139667
0.020000,39.267052,2.434033,2.893064,6.864631,5.116984,-19.680709,3.140411
0.020000,39.128815,2.434146,3.031302,6.959099,4.723370,-19.680709,3.141134
0.020000,38.988767,2.434160,3.171349,7.045694,4.329756,-19.680709,3.141836
0.020000,38.847066,2.434077,3.313051,7.124417,3.936142,-19.680709,3.142514
0.020000,38.703869,2.433898,3.456247,7.195267,3.542528,-19.680709,3.143167
0.020000,38.559334,2.433625,3.600783,7.258245,3.148913,-19.680709,3.143793
0.020000,38.413619,2.433261,3.746498,7.313351,2.755299,-19.680709,3.144389
0.020000,38.266880,2.432808,3.893238,7.360585,2.361685,-19.680709,3.144956
0.020000,38.119276,2.432272,4.040843,7.399947,1.968071,-19.680709,3.145491
0.020000,37.970963,2.431656,4.189157,7.431436,1.574457,-19.680709,3.145993
