dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.150549,2.402000,0.000079,0.007872,0.393614,19.680709,3.118249
0.020000,42.150549,2.402000,0.000079,0.000000,-0.393614,-39.361418,3.118252
0.020000,42.150549,2.402000,0.000079,0.000000,0.000000,19.680709,3.118259
0.020000,42.150549,2.402000,0.000079,0.000000,0.000000,0.000000,3.118272
0.020000,42.150549,2.402000,0.000079,0.000000,0.000000,0.000000,3.118291
0.020000,42.150549,2.402000,0.000079,0.000000,0.000000,0.000000,3.118319
0.020000,42.148859,2.402039,0.001769,0.084532,4.226609,211.330470,3.118358
0.020000,42.143822,2.402156,0.006808,0.251913,8.369046,207.121812,3.118408
0.020000,42.137447,2.402304,0.013184,0.318828,3.345720,-251.166274,3.118471
0.020000,42.129577,2.402486,0.021056,0.393614,3.739332,19.680609,3.118550
0.020000,42.120054,2.402705,0.030582,0.476273,4.132950,19.680906,3.118644
0.020000,42.108721,2.402964,0.041918,0.566804,4.526564,19.680681,3.118756
0.020000,42.095420,2.403267,0.055222,0.665208,4.920172,19.680386,3.118888
0.020000,42.079994,2.403616,0.070652,0.771484,5.313799,19.681383,3.119040
0.020000,42.062286,2.404014,0.088364,0.885632,5.707402,19.680107,3.119214
0.020000,42.042138,2.404463,0.108518,1.007652,6.101019,19.680887,3.119411
0.020000,42.019393,2.404965,0.131268,1.137545,6.494630,19.680535,3.119634
0.020000,41.993893,2.405522,0.156775,1.275310,6.888255,19.681234,3.119882
0.020000,41.965480,2.406135,0.185194,1.420947,7.281859,19.680217,3.120157
0.020000,41.933998,2.406805,0.216683,1.574457,7.675478,19.680937,3.120460
0.020000,41.899289,2.407533,0.251399,1.735838,8.069087,19.680481,3.120793
0.020000,41.861195,2.408318,0.289501,1.905093,8.462706,19.680941,3.121156
0.020000,41.819560,2.409161,0.331146,2.082219,8.856324,19.680911,3.121550
0.020000,41.774224,2.410060,0.376490,2.267218,9.249928,19.680159,3.121976
0.020000,41.725032,2.411014,0.425692,2.460089,9.643548,19.681010,3.122434
0.020000,41.671903,2.412019,0.478830,2.656896,9.840354,9.840286,3.122925
0.020000,41.614839,2.413070,0.535904,2.853703,9.840355,0.000078,3.123447
0.020000,41.553838,2.414160,0.596914,3.050510,9.840350,-0.000264,3.124000
0.020000,41.488902,2.415283,0.661860,3.247317,9.840359,0.000435,3.124581
0.020000,41.420029,2.416434,0.730743,3.444124,9.840356,-0.000135,3.125190
0.020000,41.347220,2.417605,0.803561,3.640931,9.840350,-0.000296,3.125826
0.020000,41.270474,2.418790,0.880316,3.837738,9.840357,0.000377,3.126487
0.020000,41.189792,2.419981,0.961007,4.034545,9.840349,-0.000410,3.127172
0.020000,41.105173,2.421171,1.045634,4.231352,9.840358,0.000431,3.127879
0.020000,41.016618,2.422353,1.134197,4.428159,9.840355,-0.000129,3.128607
0.020000,40.924126,2.423520,1.226697,4.624966,9.840352,-0.000177,3.129354
0.020000,40.827697,2.424663,1.323132,4.821774,9.840353,0.000061,3.130118
0.020000,40.727332,2.425776,1.423504,5.018581,9.840356,0.000144,3.130897
0.020000,40.623108,2.426849,1.527733,5.211452,9.643546,-9.840515,3.131689
0.020000,40.515184,2.427874,1.635662,5.396450,9.249933,-19.680604,3.132491
0.020000,40.403717,2.428844,1.747133,5.573577,8.856318,-19.680759,3.133300
0.020000,40.288864,2.429749,1.861990,5.742831,8.462705,-19.680667,3.134112
0.020000,40.170783,2.430584,1.980074,5.904213,8.069090,-19.680758,3.134926
0.020000,40.049630,2.431343,2.101229,6.057722,7.675477,-19.680658,3.135737
0.020000,39.925565,2.432019,2.225296,6.203359,7.281863,-19.680707,3.136543
0.020000,39.798744,2.432608,2.352118,6.341124,6.888247,-19.680756,3.137342
0.020000,39.669325,2.433107,2.481539,6.471017,6.494634,-19.680656,3.138131
0.020000,39.537465,2.433512,2.613399,6.593037,6.101020,-19.680695,3.138907
0.020000,39.403321,2.433821,2.747543,6.707185,5.707406,-19.680734,3.139667
0.020000,39.267052,2.434033,2.883812,6.813461,5.313791,-19.680717,3.140411
0.020000,39.128815,2.434146,3.022050,6.911865,4.920178,-19.680682,3.141134
0.020000,38.988767,2.434160,3.162098,7.002396,4.526563,-19.680712,3.141836
0.020000,38.847066,2.434077,3.303799,7.085055,4.132949,-19.680710,3.142514
0.020000,38.703869,2.433898,3.446995,7.159842,3.739335,-19.680709,3.143167
0.020000,38.559334,2.433625,3.591531,7.226756,3.345721,-19.680688,3.143793
0.020000,38.413619,2.433261,3.737247,7.285798,2.952106,-19.680747,3.144389
0.020000,38.266880,2.432808,3.883986,7.336968,2.558493,-19.680672,3.144956
0.020000,38.119276,2.432272,4.031591,7.380266,2.164879,-19.680715,3.145491
0.020000,37.970963,2.431656,4.179905,7.415691,1.771264,-19.680715,3.145993
0.020000,37.822100,2.430966,4.328770,7.443244,1.377650,-19.680712,3.146462
0.020000,37.672843,2.430206,4.478028,7.462925,0.984036,-19.680710,3.146897
0.020000,37.523351,2.429383,4.627523,7.474733,0.590422,-19.680709,3.147296
0.020000,37.373825,2.428502,4.777052,7.476421,0.084411,-25.300554,3.147660
0.020000,37.224468,2.427571,4.926411,7.467989,-0.421601,-25.300555,3.147987
0.020000,37.075438,2.426596,5.075445,7.451685,-0.815215,-19.680710,3.148278
0.020000,36.926891,2.425584,5.223995,7.427509,-1.208829,-19.680711,3.148533
0.020000,36.778985,2.424540,5.371904,7.395460,-1.602443,-19.680724,3.148752
0.020000,36.631879,2.423473,5.519015,7.355539,-1.996057,-19.680698,3.148935
0.020000,36.485728,2.422389,5.665170,7.307745,-2.389672,-19.680707,3.149082
0.020000,36.340690,2.421294,5.810212,7.252079,-2.783286,-19.680717,3.149194
0.020000,36.196924,2.420196,5.953982,7.188541,-3.176900,-19.680715,3.149272
0.020000,36.054585,2.419099,6.096325,7.117131,-3.570514,-19.680707,3.149316
0.020000,35.913832,2.418011,6.237082,7.037849,-3.964128,-19.680710,3.149329
0.020000,35.774823,2.416936,6.376096,6.950694,-4.357743,-19.680712,3.149309
0.020000,35.637713,2.415881,6.513209,6.855667,-4.751357,-19.680712,3.149260
0.020000,35.502662,2.414851,6.648265,6.752767,-5.144971,-19.680706,3.149182
0.020000,35.369826,2.413849,6.781105,6.641995,-5.538585,-19.680719,3.149077
0.020000,35.239362,2.412881,6.911572,6.523351,-5.932199,-19.680699,3.148946
0.020000,35.111429,2.411950,7.039508,6.396835,-6.325814,-19.680707,3.148792
0.020000,34.986183,2.411059,7.164757,6.262447,-6.719428,-19.680734,3.148615
