dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.150549,4.901779,0.000006,0.000596,0.029824,1.491177,3.116768
0.020000,42.150549,4.901779,0.000030,0.001789,0.059647,1.491177,3.116772
0.020000,42.150549,4.901779,0.000084,0.003579,0.089471,1.491177,3.116780
0.020000,42.150549,4.901779,0.000179,0.005965,0.119294,1.491177,3.116795
0.020000,42.150549,4.901779,0.000328,0.008947,0.149118,1.491177,3.116818
0.020000,42.150549,4.901779,0.000543,0.012526,0.178941,1.491177,3.116852
0.020000,42.150549,4.901779,0.000835,0.016701,0.208765,1.491177,3.116898
0.020000,42.150549,4.901779,0.001217,0.021473,0.238588,1.491177,3.116958
0.020000,42.150549,4.901779,0.001700,0.026841,0.268412,1.491177,3.117033
0.020000,42.150549,4.901779,0.002296,0.032806,0.298235,1.491177,3.117126
0.020000,42.150549,4.901779,0.003018,0.039367,0.328059,1.491177,3.117239
0.020000,42.150549,4.901779,0.003877,0.046525,0.357883,1.491177,3.117374
0.020000,42.150549,4.901779,0.004885,0.054279,0.387706,1.491177,3.117531
0.020000,42.150549,4.901779,0.006054,0.062629,0.417530,1.491177,3.117714
0.020000,42.150549,4.901779,0.007396,0.071577,0.447353,1.491177,3.117924
0.020000,42.150549,4.901779,0.008923,0.081120,0.477177,1.491177,3.118163
0.020000,42.149965,4.901793,0.010647,0.091260,0.507000,1.491177,3.118432
0.020000,42.148033,4.901837,0.012580,0.101997,0.536824,1.491177,3.118734
0.020000,42.145880,4.901886,0.014733,0.113329,0.566647,1.491177,3.119071
0.020000,42.143495,4.901939,0.017119,0.125259,0.596471,1.491177,3.119444
0.020000,42.140865,4.901997,0.019749,0.137785,0.626295,1.491177,3.119855
0.020000,42.137979,4.902059,0.022636,0.150907,0.656118,1.491177,3.120306
0.020000,42.134824,4.902125,0.025791,0.164626,0.685942,1.491177,3.120799
0.020000,42.131390,4.902196,0.029227,0.178941,0.715765,1.491177,3.121335
0.020000,42.127662,4.902270,0.032955,0.193853,0.745589,1.491177,3.121917
0.020000,42.123631,4.902348,0.036987,0.209361,0.775412,1.491177,3.122546
0.020000,42.119283,4.902430,0.041335,0.225466,0.805236,1.491177,3.123225
0.020000,42.114608,4.902514,0.046012,0.242167,0.835059,1.491177,3.123954
0.020000,42.109592,4.902600,0.051028,0.259465,0.864883,1.491177,3.124737
0.020000,42.104224,4.902689,0.056396,0.277359,0.894706,1.491177,3.125574
0.020000,42.098493,4.902778,0.062128,0.295850,0.924530,1.491177,3.126467
0.020000,42.092386,4.902867,0.068236,0.314937,0.954354,1.491177,3.127418
0.020000,42.085891,4.902956,0.074732,0.334620,0.984177,1.491177,3.128430
0.020000,42.078997,4.903043,0.081627,0.354900,1.014001,1.491177,3.129503
0.020000,42.071690,4.903127,0.088934,0.375777,1.043824,1.491177,3.130640
0.020000,42.063960,4.903207,0.096664,0.397250,1.073648,1.491177,3.131842
0.020000,42.055801,4.903282,0.104824,0.418723,1.073648,-0.000000,3.133110
0.020000,42.047212,4.903349,0.113413,0.440196,1.073648,0.000000,3.134444
0.020000,42.038194,4.903407,0.122432,0.461669,1.073648,-0.000000,3.135844
0.020000,42.028746,4.903455,0.131880,0.483141,1.073648,0.000000,3.137309
0.020000,42.018868,4.903489,0.141757,0.504614,1.073648,0.000000,3.138840
0.020000,42.008561,4.903509,0.152064,0.526087,1.073648,-0.000000,3.140437
0.020000,41.997825,4.903513,0.162801,0.547560,1.073648,0.000000,3.142098
0.020000,41.986659,4.903498,0.173967,0.569033,1.073648,0.000000,3.143824
0.020000,41.975063,4.903461,0.185562,0.590506,1.073648,0.000000,3.145616
0.020000,41.963039,4.903402,0.197587,0.611979,1.073648,0.000000,3.147471
0.020000,41.950585,4.903317,0.210041,0.633452,1.073648,-0.000000,3.149391
0.020000,41.937701,4.903203,0.222925,0.654925,1.073648,0.000000,3.151376
0.020000,41.924389,4.903060,0.236238,0.676398,1.073648,0.000000,3.153423
0.020000,41.910648,4.902882,0.249981,0.697871,1.073648,0.000000,3.155535
0.020000,41.896477,4.902669,0.264153,0.719344,1.073648,-0.000000,3.157709
0.020000,41.881878,4.902418,0.278755,0.740817,1.073648,0.000000,3.159947
0.020000,41.866849,4.902125,0.293786,0.762290,1.073648,-0.000000,3.162247
0.020000,41.851393,4.901787,0.309246,0.783763,1.073648,0.000000,3.164609
0.020000,41.835507,4.901402,0.325136,0.805236,1.073648,-0.000000,3.167033
0.020000,41.819194,4.900967,0.341456,0.826709,1.073648,0.000000,3.169519
0.020000,41.802452,4.900478,0.358205,0.848182,1.073648,0.000000,3.172066
0.020000,41.785282,4.899932,0.375383,0.869655,1.073648,-0.000000,3.174673
0.020000,41.767685,4.899326,0.392991,0.891128,1.073648,0.000000,3.177340
0.020000,41.749660,4.898657,0.411028,0.912601,1.073648,0.000000,3.180067
0.020000,41.731208,4.897921,0.429495,0.934074,1.073648,-0.000000,3.182854
0.020000,41.712329,4.897114,0.448391,0.955546,1.073648,0.000000,3.185698
0.020000,41.693023,4.896234,0.467717,0.977019,1.073648,-0.000000,3.188601
0.020000,41.673291,4.895277,0.487472,0.998492,1.073648,0.000000,3.191562
0.020000,41.653134,4.894238,0.507656,1.019965,1.073648,0.000000,3.194579
0.020000,41.632550,4.893115,0.528270,1.041438,1.073648,-0.000000,3.197653
0.020000,41.611542,4.891903,0.549314,1.062911,1.073648,0.000000,3.200782
0.020000,41.590108,4.890598,0.570787,1.084384,1.073648,-0.000000,3.203966
0.020000,41.568251,4.889198,0.592689,1.105857,1.073648,0.000000,3.207204
0.020000,41.545969,4.887697,0.615021,1.127330,1.073648,0.000000,3.210496
0.020000,41.523265,4.886092,0.637783,1.148803,1.073648,-0.000000,3.213840
0.020000,41.500137,4.884378,0.660973,1.170276,1.073648,0.000000,3.217237
0.020000,41.476588,4.882553,0.684594,1.191749,1.073648,0.000000,3.220684
0.020000,41.452617,4.880611,0.708643,1.213222,1.073648,0.000000,3.224181
0.020000,41.428225,4.878548,0.733122,1.234695,1.073648,0.000000,3.227727
0.020000,41.403412,4.876361,0.758031,1.256168,1.073648,-0.000000,3.231322
0.020000,41.378180,4.874044,0.783369,1.277641,1.073648,0.000000,3.234963
0.020000,41.352529,4.871594,0.809137,1.299114,1.073648,0.000000,3.238651
0.020000,41.326460,4.869007,0.835334,1.320587,1.073648,-0.000000,3.242384
0.020000,41.299974,4.866278,0.861960,1.342060,1.073648,0.000000,3.246161
0.020000,41.273072,4.863402,0.889016,1.363533,1.073648,0.000000,3.249981
0.020000,41.245753,4.860376,0.916502,1.385006,1.073648,0.000000,3.253843
0.020000,41.218020,4.857195,0.944416,1.406479,1.073648,0.000000,3.257745
0.020000,41.189874,4.853855,0.972761,1.427951,1.073648,-0.000000,3.261686
0.020000,41.161314,4.850351,1.001534,1.449424,1.073648,0.000000,3.265666
0.020000,41.132343,4.846678,1.030738,1.470897,1.073648,0.000000,3.269682
0.020000,41.102960,4.842834,1.060370,1.492370,1.073648,0.000000,3.273734
