dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000077,0.007696,0.384793,19.239637,6.281638
0.020000,32.414825,2.432758,0.000077,0.000000,-0.384793,-38.479274,6.281671
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,19.239637,6.281744
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.281875
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282080
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282375
0.020000,32.414825,2.432758,0.000077,0.000000,0.000000,0.000000,6.282777
0.020000,32.415917,2.432758,0.001169,0.054617,2.730845,136.542267,0.000117
0.020000,32.422154,2.432760,0.007406,0.311829,12.860614,506.488421,0.000783
0.020000,32.429846,2.432770,0.015098,0.384612,3.639152,-461.073068,0.001607
0.020000,32.439161,2.432789,0.024413,0.465756,4.057170,20.900896,0.002608
0.020000,32.450244,2.432825,0.035496,0.554120,4.418229,18.052910,0.003803
0.020000,32.463249,2.432883,0.048501,0.650279,4.807921,19.484630,0.005212
0.020000,32.478333,2.432974,0.063585,0.754203,5.196225,19.415173,0.006855
0.020000,32.495648,2.433109,0.080901,0.865793,5.579491,19.163345,0.008753
0.020000,32.515346,2.433303,0.100600,0.984920,5.956367,18.843796,0.010928
0.020000,32.537588,2.433574,0.122844,1.112201,6.364023,20.382793,0.013403
0.020000,32.562519,2.433943,0.147777,1.246667,6.723327,17.965179,0.016203
0.020000,32.590296,2.434437,0.175558,1.389076,7.120447,19.856012,0.019354
0.020000,32.621074,2.435087,0.206343,1.539233,7.507837,19.369520,0.022885
0.020000,32.655001,2.435930,0.240281,1.696902,7.883436,18.779940,0.026827
0.020000,32.692234,2.437011,0.277530,1.862436,8.276726,19.664477,0.031214
0.020000,32.732922,2.438380,0.318240,2.035533,8.654822,18.904833,0.036082
0.020000,32.777217,2.440098,0.362569,2.216424,9.044552,19.486468,0.041472
0.020000,32.825265,2.442235,0.410665,2.404778,9.417704,18.657613,0.047428
0.020000,32.877224,2.444871,0.462690,2.601275,9.824843,20.356956,0.053999
0.020000,32.933231,2.448101,0.518791,2.805037,10.188118,18.163720,0.061239
0.020000,32.993442,2.452033,0.579130,3.016943,10.595319,20.360063,0.069210
0.020000,33.057988,2.456791,0.643851,3.236083,10.956967,18.082388,0.077978
0.020000,33.127013,2.462518,0.713113,3.463106,11.351156,19.709474,0.087620
