dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000077,0.007696,0.384793,19.239637,6.281638
0.020000,32.414825,2.432758,0.000385,0.023088,0.769585,19.239637,6.281671
0.020000,32.414825,2.432758,0.001077,0.046175,1.154378,19.239637,6.281744
0.020000,32.414825,2.432758,0.002309,0.076959,1.539171,19.239637,6.281875
0.020000,32.414825,2.432758,0.004233,0.115438,1.923964,19.239637,6.282080
0.020000,32.414825,2.432758,0.007003,0.161613,2.308756,19.239637,6.282375
0.020000,32.414825,2.432758,0.010774,0.215484,2.693549,19.239637,6.282777
0.020000,32.415917,2.432758,0.015700,0.277051,3.078342,19.239637,0.000117
0.020000,32.422154,2.432760,0.021933,0.346313,3.463135,19.239637,0.000783
0.020000,32.429846,2.432770,0.029629,0.423272,3.847927,19.239637,0.001607
0.020000,32.439161,2.432789,0.038941,0.507926,4.232720,19.239637,0.002608
0.020000,32.450244,2.432825,0.050023,0.600277,4.617513,19.239637,0.003803
0.020000,32.463249,2.432883,0.063029,0.700323,5.002306,19.239637,0.005212
0.020000,32.478333,2.432974,0.078113,0.808065,5.387098,19.239637,0.006855
0.020000,32.495648,2.433109,0.095429,0.923503,5.771891,19.239637,0.008753
0.020000,32.515346,2.433303,0.115130,1.046636,6.156684,19.239637,0.010928
0.020000,32.537588,2.433574,0.137371,1.177466,6.541477,19.239637,0.013403
0.020000,32.562519,2.433943,0.162306,1.315991,6.926269,19.239637,0.016203
0.020000,32.590296,2.434437,0.190088,1.462212,7.311062,19.239637,0.019354
0.020000,32.621074,2.435087,0.220871,1.616130,7.695855,19.239637,0.022885
0.020000,32.655001,2.435930,0.254810,1.777742,8.080648,19.239637,0.026827
0.020000,32.692234,2.437011,0.292058,1.947051,8.465440,19.239637,0.031214
0.020000,32.732922,2.438380,0.332769,2.124056,8.850233,19.239637,0.036082
0.020000,32.777217,2.440098,0.377097,2.308756,9.235026,19.239637,0.041472
0.020000,32.825265,2.442235,0.425196,2.501153,9.619818,19.239637,0.047428
0.020000,32.877224,2.444871,0.477220,2.701245,10.004611,19.239637,0.053999
0.020000,32.933231,2.448101,0.533323,2.909033,10.389404,19.239637,0.061239
0.020000,32.993442,2.452033,0.593658,3.124517,10.774197,19.239637,0.069210
0.020000,33.057988,2.456791,0.658380,3.347697,11.158989,19.239637,0.077978
0.020000,33.127013,2.462518,0.727643,3.578572,11.543782,19.239637,0.087620
0.020000,33.200652,2.469378,0.801600,3.817144,11.928575,19.239637,0.098222
0.020000,33.279031,2.477560,0.880406,4.063411,12.313368,19.239637,0.109878
0.020000,33.362271,2.487281,0.964214,4.317375,12.698160,19.239637,0.122698
0.020000,33.450488,2.498788,1.053178,4.579034,13.082953,19.239637,0.136805
0.020000,33.543776,2.512365,1.147452,4.848389,13.467746,19.239637,0.152336
0.020000,33.642228,2.528337,1.247190,5.125439,13.852539,19.239637,0.169449
