dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,32.414825,2.432758,0.000006,0.000593,0.029636,1.481804,6.281630
0.020000,32.414825,2.432758,0.000006,0.000000,-0.029636,-2.963607,6.281633
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,1.481804,6.281639
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281649
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281664
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281687
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281718
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281758
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281809
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281872
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.281949
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282040
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282146
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282270
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282412
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282573
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282756
0.020000,32.414825,2.432758,0.000006,0.000000,0.000000,0.000000,6.282961
0.020000,32.414857,2.432758,0.000038,0.001596,0.079806,3.990319,0.000003
0.020000,32.417230,2.432758,0.002411,0.118654,5.852918,288.655576,0.000257
0.020000,32.419845,2.432759,0.005026,0.130767,0.605611,-262.365342,0.000536
0.020000,32.422714,2.432761,0.007895,0.143457,0.634516,1.445268,0.000843
0.020000,32.425849,2.432764,0.011030,0.156723,0.663298,1.439086,0.001178
0.020000,32.429260,2.432769,0.014441,0.170562,0.691945,1.432325,0.001544
0.020000,32.432967,2.432775,0.018148,0.185366,0.740228,2.414146,0.001942
0.020000,32.436975,2.432784,0.022156,0.200393,0.751319,0.554567,0.002372
0.020000,32.441295,2.432795,0.026476,0.215966,0.778669,1.367499,0.002837
0.020000,32.445941,2.432809,0.031122,0.232319,0.817655,1.949315,0.003338
0.020000,32.450928,2.432827,0.036109,0.249347,0.851373,1.685901,0.003877
0.020000,32.456260,2.432850,0.041442,0.266628,0.864069,0.634812,0.004454
0.020000,32.461957,2.432877,0.047138,0.284843,0.910760,2.334544,0.005072
0.020000,32.468027,2.432910,0.053209,0.303509,0.933271,1.125512,0.005732
0.020000,32.474480,2.432949,0.059661,0.322629,0.955990,1.135976,0.006435
0.020000,32.481334,2.432995,0.066515,0.342716,1.004355,2.418263,0.007184
0.020000,32.488592,2.433050,0.073773,0.362903,1.009359,0.250162,0.007978
0.020000,32.496276,2.433115,0.081458,0.384217,1.065683,2.816198,0.008823
0.020000,32.504388,2.433190,0.089571,0.405641,1.071245,0.278146,0.009716
0.020000,32.512947,2.433277,0.098130,0.427973,1.116562,2.265819,0.010662
0.020000,32.521963,2.433378,0.107146,0.450813,1.142006,1.272206,0.011662
0.020000,32.531443,2.433494,0.116627,0.474027,1.160718,0.935594,0.012717
0.020000,32.541408,2.433626,0.126593,0.498290,1.213153,2.621742,0.013830
0.020000,32.551863,2.433777,0.137049,0.522829,1.226959,0.690331,0.015003
0.020000,32.562820,2.433948,0.148008,0.547920,1.254525,1.378268,0.016237
