dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.560261,18.954492,0.000078,0.007793,0.389652,19.482601,0.000000
0.020000,42.560261,18.954492,0.000390,0.023379,0.779304,19.482601,0.000000
0.020000,42.560261,18.954492,0.001091,0.046758,1.168956,19.482601,0.000000
0.020000,42.560261,18.954492,0.002338,0.077930,1.558608,19.482601,0.000000
0.020000,42.560261,18.954492,0.004286,0.116896,1.948260,19.482601,0.000000
0.020000,42.560261,18.954492,0.007092,0.163654,2.337912,19.482601,0.000000
0.020000,42.563463,18.954492,0.010910,0.218205,2.727564,19.482601,0.000000
0.020000,42.568451,18.954492,0.015898,0.280549,3.117216,19.482601,0.000000
0.020000,42.574763,18.954492,0.022210,0.350687,3.506868,19.482601,0.000000
0.020000,42.582556,18.954492,0.030003,0.428617,3.896520,19.482601,0.000000
0.020000,42.591986,18.954492,0.039433,0.514341,4.286172,19.482601,0.000000
0.020000,42.603208,18.954492,0.050655,0.607857,4.675824,19.482601,0.000000
0.020000,42.616378,18.954492,0.063825,0.709167,5.065476,19.482601,0.000000
0.020000,42.631652,18.954492,0.079099,0.818269,5.455128,19.482601,0.000000
0.020000,42.649187,18.954492,0.096634,0.935165,5.844780,19.482601,0.000000
0.020000,42.669137,18.954492,0.116584,1.059853,6.234432,19.482601,0.000000
0.020000,42.691659,18.954492,0.139106,1.192335,6.624084,19.482601,0.000000
0.020000,42.716908,18.954492,0.164355,1.332610,7.013736,19.482601,0.000000
0.020000,42.745041,18.954492,0.192488,1.480678,7.403388,19.482601,0.000000
0.020000,42.776213,18.954492,0.223660,1.636538,7.793040,19.482601,0.000000
0.020000,42.810581,18.954492,0.258028,1.800192,8.182692,19.482601,0.000000
0.020000,42.848299,18.954492,0.295746,1.971639,8.572344,19.482601,0.000000
0.020000,42.889446,18.954492,0.336893,2.143086,8.572344,0.000000,0.000000
0.020000,42.934022,18.954492,0.381469,2.314533,8.572344,-0.000000,0.000000
0.020000,42.982027,18.954492,0.429474,2.485980,8.572344,0.000000,0.000000
0.020000,43.033461,18.954492,0.480909,2.657427,8.572344,0.000000,0.000000
0.020000,43.088324,18.954492,0.535772,2.828874,8.572344,0.000000,0.000000
0.020000,43.146616,18.954492,0.594063,3.000321,8.572344,0.000000,0.000000
0.020000,43.208337,18.954492,0.655784,3.171767,8.572344,0.000000,0.000000
0.020000,43.273487,18.954492,0.720934,3.343214,8.572344,-0.000000,0.000000
0.020000,43.342066,18.954492,0.789513,3.514661,8.572344,0.000000,0.000000
0.020000,43.414074,18.954492,0.861521,3.686108,8.572344,0.000000,0.000000
0.020000,43.489510,18.954492,0.936957,3.857555,8.572344,-0.000000,0.000000
0.020000,43.568376,18.954492,1.015823,4.029002,8.572344,0.000000,0.000000
0.020000,43.650670,18.954492,1.098117,4.200449,8.572344,0.000000,0.000000
0.020000,43.736394,18.954492,1.183841,4.371896,8.572344,-0.000000,0.000000
0.020000,43.825546,18.954492,1.272993,4.543343,8.572344,0.000000,0.000000
0.020000,43.918127,18.954492,1.365574,4.714789,8.572344,0.000000,0.000000
0.020000,44.014060,18.954492,1.461507,4.878443,8.182692,-19.482601,0.000000
0.020000,44.113187,18.954492,1.560634,5.034304,7.793040,-19.482601,0.000000
0.020000,44.215354,18.954492,1.662801,5.182372,7.403388,-19.482601,0.000000
0.020000,44.320404,18.954492,1.767851,5.322647,7.013736,-19.482601,0.000000
0.020000,44.428182,18.954492,1.875629,5.455128,6.624084,-19.482601,0.000000
0.020000,44.538531,18.954492,1.985978,5.579817,6.234432,-19.482601,0.000000
0.020000,44.651297,18.954492,2.098744,5.696713,5.844780,-19.482601,0.000000
0.020000,44.766322,18.954492,2.213769,5.805815,5.455128,-19.482601,0.000000
0.020000,44.883451,18.954492,2.330898,5.907125,5.065476,-19.482601,0.000000
0.020000,45.002529,18.954492,2.449976,6.000641,4.675824,-19.482601,0.000000
0.020000,45.123399,18.954492,2.570846,6.086365,4.286172,-19.482601,0.000000
