dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.525064,4.136457,0.000078,0.007798,0.389917,19.495872,0.477550
0.020000,42.525064,4.136457,0.000390,0.023395,0.779835,19.495872,0.477603
0.020000,42.525064,4.136457,0.001092,0.046790,1.169752,19.495872,0.477722
0.020000,42.525064,4.136457,0.002340,0.077983,1.559670,19.495872,0.477934
0.020000,42.525064,4.136457,0.004289,0.116975,1.949587,19.495872,0.478265
0.020000,42.525064,4.136457,0.007096,0.163765,2.339505,19.495872,0.478743
0.020000,42.528167,4.138069,0.010918,0.218354,2.729422,19.495872,0.479393
0.020000,42.532594,4.140373,0.015909,0.280741,3.119340,19.495872,0.480242
0.020000,42.538194,4.143294,0.022225,0.350926,3.509257,19.495872,0.481319
0.020000,42.545104,4.146909,0.030024,0.428909,3.899174,19.495872,0.482649
0.020000,42.553459,4.151295,0.039460,0.514691,4.289092,19.495872,0.484262
0.020000,42.563393,4.156533,0.050689,0.608271,4.679009,19.495872,0.486185
0.020000,42.575038,4.162704,0.063868,0.709650,5.068927,19.495872,0.488446
0.020000,42.588526,4.169894,0.079153,0.818827,5.458844,19.495872,0.491076
0.020000,42.603986,4.178192,0.096700,0.935802,5.848762,19.495872,0.494104
0.020000,42.621545,4.187690,0.116663,1.060575,6.238679,19.495872,0.497561
0.020000,42.641329,4.198485,0.139201,1.193147,6.628597,19.495872,0.501478
0.020000,42.663458,4.210680,0.164467,1.333518,7.018514,19.495872,0.505889
0.020000,42.688050,4.224383,0.192619,1.481686,7.408431,19.495872,0.510825
0.020000,42.715219,4.239708,0.223813,1.637653,7.798349,19.495872,0.516323
0.020000,42.745075,4.256777,0.258203,1.801419,8.188266,19.495872,0.522417
0.020000,42.777721,4.275720,0.295947,1.972982,8.578184,19.495872,0.529146
0.020000,42.813255,4.296676,0.337201,2.152344,8.968101,19.495872,0.536547
0.020000,42.851768,4.319793,0.382119,2.339505,9.358019,19.495872,0.544659
0.020000,42.893343,4.345231,0.430859,2.534463,9.747936,19.495872,0.553524
0.020000,42.938053,4.373159,0.483576,2.737220,10.137854,19.495872,0.563183
0.020000,42.985964,4.403762,0.540426,2.947776,10.527771,19.495872,0.573678
0.020000,43.037125,4.437235,0.601565,3.166130,10.917688,19.495872,0.585054
0.020000,43.091578,4.473788,0.667149,3.392282,11.307606,19.495872,0.597353
0.020000,43.149345,4.513647,0.737334,3.626232,11.697523,19.495872,0.610619
0.020000,43.210437,4.557053,0.812276,3.867981,12.087441,19.495872,0.624894
0.020000,43.274841,4.604263,0.892131,4.117528,12.477358,19.495872,0.640219
0.020000,43.342528,4.655550,0.977055,4.374874,12.867276,19.495872,0.656632
0.020000,43.413445,4.711204,1.067204,4.640018,13.257193,19.495872,0.674166
0.020000,43.487515,4.771532,1.162734,4.912960,13.647111,19.495872,0.692849
0.020000,43.564633,4.836853,1.263800,5.193700,14.037028,19.495872,0.712702
0.020000,43.644667,4.907505,1.370560,5.482239,14.426946,19.495872,0.733738
0.020000,43.727454,4.983836,1.483168,5.778577,14.816863,19.495872,0.755955
0.020000,43.812744,5.066149,1.601703,6.074914,14.816863,0.000000,0.779324
0.020000,43.900205,5.154696,1.726165,6.371251,14.816863,-0.000000,0.803784
0.020000,43.989433,5.249660,1.856475,6.659790,14.426946,-19.495872,0.829244
0.020000,44.079961,5.351151,1.992478,6.940531,14.037028,-19.495872,0.855575
0.020000,44.171320,5.459253,2.134018,7.213473,13.647111,-19.495872,0.882637
0.020000,44.263047,5.574015,2.280939,7.478617,13.257193,-19.495872,0.910271
0.020000,44.354691,5.695458,2.433085,7.735962,12.867276,-19.495872,0.938308
0.020000,44.445817,5.823563,2.590300,7.985509,12.477358,-19.495872,0.966567
0.020000,44.536016,5.958276,2.752427,8.227258,12.087441,-19.495872,0.994863
0.020000,44.624910,6.099508,2.919312,8.461209,11.697523,-19.495872,1.023010
0.020000,44.712158,6.247133,3.090798,8.687361,11.307606,-19.495872,1.050824
0.020000,44.797459,6.400995,3.266728,8.905714,10.917688,-19.495872,1.078129
0.020000,44.880557,6.560908,3.446948,9.116270,10.527771,-19.495872,1.104759
0.020000,44.961242,6.726661,3.631301,9.319027,10.137854,-19.495872,1.130562
0.020000,45.039353,6.898023,3.819631,9.513986,9.747936,-19.495872,1.155401
0.020000,45.114776,7.074748,4.011783,9.701146,9.358019,-19.495872,1.179158
0.020000,45.187447,7.256576,4.207599,9.880508,8.968101,-19.495872,1.201729
0.020000,45.257341,7.443242,4.406925,10.052072,8.578184,-19.495872,1.223031
0.020000,45.324480,7.634474,4.609604,10.215837,8.188266,-19.495872,1.242995
0.020000,45.388923,7.830002,4.815480,10.371804,7.798349,-19.495872,1.261564
0.020000,45.450767,8.029553,5.024398,10.519973,7.408431,-19.495872,1.278698
0.020000,45.510138,8.232863,5.236201,10.660343,7.018514,-19.495872,1.294363
0.020000,45.567196,8.439667,5.450734,10.792915,6.628597,-19.495872,1.308538
0.020000,45.622125,8.649708,5.667840,10.917688,6.238679,-19.495872,1.321206
0.020000,45.675133,8.862734,5.887364,11.034664,5.848762,-19.495872,1.332353
0.020000,45.726450,9.078500,6.109149,11.143841,5.458844,-19.495872,1.341972
0.020000,45.776324,9.296764,6.333039,11.245219,5.068927,-19.495872,1.350054
0.020000,45.825023,9.517291,6.558879,11.338799,4.679009,-19.495872,1.356590
0.020000,45.867921,9.733570,6.786513,11.424581,4.289092,-19.495872,1.400025
0.020000,45.901108,9.960402,7.015785,11.502565,3.899174,-19.495872,1.450267
0.020000,45.923500,10.190046,7.246538,11.572750,3.509257,-19.495872,1.496109
0.020000,45.935964,10.421773,7.478617,11.635137,3.119340,-19.495872,1.537153
0.020000,45.939507,10.654982,7.711865,11.689725,2.729422,-19.495872,1.573182
0.020000,45.935223,10.889196,7.946128,11.736515,2.339505,-19.495872,1.604117
0.020000,45.924253,11.124054,8.181248,11.775507,1.949587,-19.495872,1.629973
0.020000,45.907755,11.359294,8.417070,11.806700,1.559670,-19.495872,1.650823
0.020000,45.886886,11.594736,8.653438,11.830095,1.169752,-19.495872,1.666764
0.020000,45.862795,11.830264,8.890196,11.845692,0.779835,-19.495872,1.677892
0.020000,45.836618,12.065805,9.127188,11.853490,0.389917,-19.495872,1.684286
0.020000,45.809486,12.301240,9.364180,11.845783,-0.385381,-38.764919,1.685997
0.020000,45.782527,12.536461,9.600941,11.830277,-0.775298,-19.495872,1.683049
0.020000,45.756852,12.771434,9.837313,11.806972,-1.165216,-19.495872,1.675429
0.020000,45.733575,13.006109,10.073142,11.775870,-1.555133,-19.495872,1.663098
0.020000,45.713812,13.240403,10.308270,11.736969,-1.945051,-19.495872,1.645987
0.020000,45.698684,13.474182,10.542543,11.690269,-2.334968,-19.495872,1.624017
0.020000,45.689311,13.707246,10.775803,11.635772,-2.724886,-19.495872,1.597113
0.020000,45.686803,13.939316,11.007895,11.573476,-3.114803,-19.495872,1.565235
0.020000,45.692236,14.170007,11.238664,11.503381,-3.504721,-19.495872,1.528405
0.020000,45.706626,14.398827,11.467953,11.425488,-3.894638,-19.495872,1.486746
0.020000,45.730884,14.625164,11.695606,11.339797,-4.284555,-19.495872,1.440526
0.020000,45.765768,14.848290,11.921467,11.246308,-4.674473,-19.495872,1.390185
0.020000,45.811831,15.067386,12.145380,11.145020,-5.064390,-19.495872,1.336361
0.020000,45.869371,15.281572,12.367189,11.035934,-5.454308,-19.495872,1.279875
0.020000,45.938395,15.489957,12.586739,10.919049,-5.844225,-19.495872,1.221699
0.020000,46.018608,15.691697,12.803873,10.794367,-6.234143,-19.495872,1.162882
0.020000,46.109429,15.886056,13.018436,10.661885,-6.624060,-19.495872,1.104466
0.020000,46.210035,16.072444,13.230271,10.521606,-7.013978,-19.495872,1.047397
0.020000,46.319416,16.250447,13.439222,10.373528,-7.403895,-19.495872,0.992464
0.020000,46.436453,16.419836,13.645134,10.217652,-7.793812,-19.495872,0.940257
0.020000,46.559973,16.580547,13.847850,10.053977,-8.183730,-19.495872,0.891167
0.020000,46.682231,16.732497,14.047215,9.882504,-8.573647,-19.495872,0.900423
0.020000,46.803032,16.886662,14.243073,9.703233,-8.963565,-19.495872,0.910978
0.020000,46.920382,17.038870,14.435266,9.516163,-9.353482,-19.495872,0.916168
0.020000,47.035002,17.188360,14.623641,9.321295,-9.743400,-19.495872,0.916362
0.020000,47.147520,17.334452,14.808040,9.118629,-10.133317,-19.495872,0.911863
0.020000,47.258475,17.476526,14.988308,8.908164,-10.523235,-19.495872,0.902924
0.020000,47.368318,17.614016,15.164289,8.689901,-10.913152,-19.495872,0.889762
0.020000,47.477409,17.746392,15.335826,8.463840,-11.303069,-19.495872,0.872576
0.020000,47.586017,17.873167,15.502764,8.229980,-11.692987,-19.495872,0.851562
0.020000,47.694313,17.993889,15.664947,7.988322,-12.082904,-19.495872,0.826932
0.020000,47.802375,18.108150,15.822219,7.738865,-12.472822,-19.495872,0.798929
0.020000,47.910176,18.215589,15.974424,7.481611,-12.862739,-19.495872,0.767846
0.020000,48.017590,18.315908,16.121406,7.216558,-13.252657,-19.495872,0.734035
0.020000,48.124390,18.408875,16.263008,6.943706,-13.642574,-19.495872,0.697916
0.020000,48.230254,18.494344,16.399076,6.663056,-14.032492,-19.495872,0.659975
0.020000,48.334776,18.572261,16.529453,6.374608,-14.422409,-19.495872,0.620756
0.020000,48.437478,18.642673,16.653982,6.078362,-14.812326,-19.495872,0.580843
0.020000,48.537897,18.705768,16.772586,5.782024,-14.816863,-0.226826,0.540807
