dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,42.525064,4.136457,0.000078,0.007798,0.389917,19.495872,0.477550
0.020000,42.525064,4.136457,0.000078,0.000000,-0.389917,-38.991745,0.477603
0.020000,42.525064,4.136457,0.000078,0.000000,0.000000,19.495872,0.477722
0.020000,42.525064,4.136457,0.000078,0.000000,0.000000,0.000000,0.477934
0.020000,42.525064,4.136457,0.000078,0.000000,0.000000,0.000000,0.478265
0.020000,42.525064,4.136457,0.000078,0.000000,0.000000,0.000000,0.478743
0.020000,42.528167,4.138069,0.003575,0.174840,8.742009,437.100463,0.479393
0.020000,42.532594,4.140373,0.008565,0.249529,3.734454,-250.377750,0.480242
0.020000,42.538194,4.143294,0.014882,0.315816,3.314346,-21.005403,0.481319
0.020000,42.545104,4.146909,0.022680,0.389923,3.705357,19.550561,0.482649
0.020000,42.553459,4.151295,0.032117,0.471824,4.095035,19.483884,0.484262
0.020000,42.563393,4.156533,0.043346,0.561469,4.482235,19.360011,0.486185
0.020000,42.575038,4.162704,0.056526,0.658974,4.875269,19.651683,0.488446
0.020000,42.588526,4.169894,0.071810,0.764234,5.263010,19.387040,0.491076
0.020000,42.603986,4.178192,0.089356,0.877295,5.653057,19.502374,0.494104
0.020000,42.621545,4.187690,0.109320,0.998199,6.045173,19.605793,0.497561
0.020000,42.641329,4.198485,0.131857,1.126854,6.432730,19.377866,0.501478
0.020000,42.663458,4.210680,0.157124,1.263346,6.824624,19.594696,0.505889
0.020000,42.688050,4.224383,0.185276,1.407591,7.212253,19.381439,0.510825
0.020000,42.715219,4.239708,0.216469,1.559680,7.604426,19.608651,0.516323
0.020000,42.745075,4.256777,0.250860,1.719523,7.992155,19.386435,0.522417
0.020000,42.777721,4.275720,0.288604,1.887205,8.384135,19.599029,0.529146
0.020000,42.813255,4.296676,0.329857,2.062645,8.771994,19.392946,0.536547
0.020000,42.851768,4.319793,0.374776,2.245930,9.164211,19.610851,0.544659
0.020000,42.893343,4.345231,0.423515,2.436969,9.551991,19.388971,0.553524
0.020000,42.938053,4.373159,0.476232,2.635832,9.943124,19.556647,0.563183
0.020000,42.985964,4.403762,0.533081,2.842482,10.332496,19.468618,0.573678
0.020000,43.037125,4.437235,0.594220,3.056941,10.722959,19.523127,0.585054
0.020000,43.091578,4.473788,0.659803,3.279173,11.111620,19.433069,0.597353
0.020000,43.149345,4.513647,0.729988,3.509223,11.502479,19.542956,0.610619
0.020000,43.210437,4.557053,0.804930,3.747084,11.893042,19.528150,0.624894
0.020000,43.274841,4.604263,0.884784,3.992719,12.281772,19.436505,0.640219
0.020000,43.342528,4.655550,0.969707,4.246143,12.671166,19.469706,0.656632
0.020000,43.413445,4.711204,1.059855,4.507385,13.062128,19.548077,0.674166
0.020000,43.487515,4.771532,1.155383,4.776425,13.452011,19.494146,0.692849
0.020000,43.564633,4.836853,1.256448,5.053247,13.841077,19.453302,0.712702
0.020000,43.644667,4.907505,1.363205,5.337869,14.231127,19.502512,0.733738
0.020000,43.727454,4.983836,1.475811,5.630290,14.621009,19.494076,0.755955
0.020000,43.812744,5.066149,1.594343,5.926607,14.815888,9.743994,0.779324
0.020000,43.900205,5.154696,1.718802,6.222924,14.815822,-0.003325,0.803784
0.020000,43.989433,5.249660,1.849109,6.515341,14.620844,-9.748904,0.829244
0.020000,44.079961,5.351151,1.985108,6.799960,14.230980,-19.493180,0.855575
0.020000,44.171320,5.459253,2.126643,7.076783,13.841154,-19.491306,0.882637
0.020000,44.263047,5.574015,2.273560,7.345810,13.451329,-19.491235,0.910271
0.020000,44.354691,5.695458,2.425700,7.607039,13.061479,-19.492513,0.938308
0.020000,44.445817,5.823563,2.582910,7.860472,12.671623,-19.492824,0.966567
0.020000,44.536016,5.958276,2.745032,8.106111,12.281936,-19.484330,0.994863
0.020000,44.624910,6.099508,2.911911,8.343956,11.892289,-19.482353,1.023010
0.020000,44.712158,6.247133,3.083391,8.574007,11.502526,-19.488161,1.050824
0.020000,44.797459,6.400995,3.259317,8.796263,11.112795,-19.486541,1.078129
0.020000,44.880557,6.560908,3.439531,9.010725,10.723121,-19.483685,1.104759
0.020000,44.961242,6.726661,3.623879,9.217393,10.333394,-19.486372,1.130562
0.020000,45.039353,6.898023,3.812204,9.416260,9.943331,-19.503127,1.155401
0.020000,45.114776,7.074748,4.004351,9.607339,9.553973,-19.467922,1.179158
0.020000,45.187447,7.256576,4.200163,9.790620,9.164058,-19.495738,1.201729
0.020000,45.257341,7.443242,4.399485,9.966099,8.773953,-19.505281,1.223031
0.020000,45.324480,7.634474,4.602161,10.133788,8.384437,-19.475798,1.242995
0.020000,45.388923,7.830002,4.808035,10.293670,7.994099,-19.516884,1.261564
0.020000,45.450767,8.029553,5.016950,10.445761,7.604561,-19.476879,1.278698
0.020000,45.510138,8.232863,5.228751,10.590049,7.214383,-19.508941,1.294363
0.020000,45.567196,8.439667,5.443282,10.726544,6.824762,-19.481021,1.308538
0.020000,45.622125,8.649708,5.660386,10.855226,6.434083,-19.533963,1.321206
0.020000,45.675133,8.862734,5.879909,10.976120,6.044692,-19.469564,1.332353
0.020000,45.726450,9.078500,6.101693,11.089212,5.654615,-19.503806,1.341972
0.020000,45.776324,9.296764,6.325583,11.194498,5.264301,-19.515744,1.350054
0.020000,45.825023,9.517291,6.551423,11.291992,4.874702,-19.479919,1.356590
0.020000,45.867921,9.733570,6.771915,11.024616,-13.368815,-912.175872,1.400025
0.020000,45.901108,9.960402,7.001162,11.462361,21.887250,1762.803255,1.450267
0.020000,45.923500,10.190046,7.231895,11.536642,3.714077,-908.658632,1.496109
0.020000,45.935964,10.421773,7.463958,11.603128,3.324281,-19.489788,1.537153
