dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000008,0.000758,0.037896,1.894819,0.001831
0.020000,0.000000,0.000000,0.000008,0.000000,-0.037896,-3.789637,0.001821
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,1.894819,0.001800
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001762
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001703
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001617
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001501
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001349
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.001157
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000922
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000644
0.020000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000323
0.020000,0.000128,-0.000000,0.000135,0.006387,0.319358,15.967895,6.283145
0.020000,0.001424,-0.000000,0.001432,0.064824,2.921854,130.124821,6.282739
0.020000,0.002857,-0.000001,0.002864,0.071633,0.340426,-129.071412,6.282290
0.020000,0.004426,-0.000003,0.004433,0.078437,0.340201,-0.011252,6.281798
0.020000,0.006131,-0.000006,0.006138,0.085249,0.340587,0.019277,6.281264
0.020000,0.007973,-0.000010,0.007980,0.092112,0.343198,0.130577,6.280686
0.020000,0.009951,-0.000016,0.009959,0.098907,0.339706,-0.174630,6.280065
0.020000,0.012065,-0.000023,0.012073,0.105711,0.340228,0.026114,6.279402
0.020000,0.014317,-0.000032,0.014324,0.112577,0.343277,0.152449,6.278695
0.020000,0.016704,-0.000044,0.016711,0.119357,0.339023,-0.212709,6.277945
0.020000,0.019228,-0.000058,0.019236,0.126206,0.342429,0.170304,6.277152
0.020000,0.021888,-0.000075,0.021896,0.133014,0.340415,-0.100685,6.276316
0.020000,0.024685,-0.000096,0.024693,0.139836,0.341078,0.033173,6.275436
0.020000,0.027618,-0.000120,0.027626,0.146662,0.341310,0.011587,6.274513
0.020000,0.030687,-0.000148,0.030695,0.153479,0.340872,-0.021919,6.273547
0.020000,0.033893,-0.000180,0.033901,0.160297,0.340896,0.001206,6.272537
0.020000,0.037236,-0.000218,0.037244,0.167133,0.341793,0.044879,6.271484
0.020000,0.040714,-0.000260,0.040722,0.173917,0.339191,-0.130121,6.270387
0.020000,0.044329,-0.000309,0.044338,0.180793,0.343828,0.231837,6.269247
0.020000,0.048080,-0.000363,0.048090,0.187580,0.339328,-0.224996,6.268062
0.020000,0.051968,-0.000424,0.051978,0.194395,0.340734,0.070297,6.266835
0.020000,0.055992,-0.000493,0.056003,0.201250,0.342757,0.101160,6.265563
0.020000,0.060152,-0.000569,0.060164,0.208049,0.339939,-0.140902,6.264247
0.020000,0.064449,-0.000653,0.064461,0.214853,0.340208,0.013440,6.262887
0.020000,0.068882,-0.000746,0.068895,0.221703,0.342521,0.115680,6.261484
0.020000,0.073451,-0.000849,0.073465,0.228527,0.341180,-0.067049,6.260036
0.020000,0.078157,-0.000961,0.078172,0.235338,0.340539,-0.032056,6.258544
0.020000,0.082998,-0.001084,0.083015,0.242152,0.340712,0.008647,6.257007
