dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.000020,0.001957,0.097834,4.891697,0.001827
0.020000,0.000000,0.000000,0.000098,0.005870,0.195668,4.891697,0.001803
0.020000,0.000000,0.000000,0.000274,0.011740,0.293502,4.891697,0.001747
0.020000,0.000000,0.000000,0.000587,0.019567,0.391336,4.891697,0.001649
0.020000,0.000000,0.000000,0.001076,0.029350,0.489170,4.891697,0.001496
0.020000,0.000000,0.000000,0.001781,0.041090,0.587004,4.891697,0.001276
0.020000,0.000000,0.000000,0.002739,0.054787,0.684838,4.891697,0.000975
0.020000,0.000000,0.000000,0.003992,0.070440,0.782671,4.891697,0.000583
0.020000,0.000000,0.000000,0.005577,0.088051,0.880505,4.891697,0.000086
0.020000,0.001681,-0.000000,0.007533,0.107617,0.978339,4.891697,6.282659
0.020000,0.004049,-0.000003,0.009901,0.129141,1.076173,4.891697,6.281916
0.020000,0.006866,-0.000007,0.012718,0.152621,1.174007,4.891697,6.281033
0.020000,0.010173,-0.000016,0.016025,0.178058,1.271841,4.891697,6.279996
0.020000,0.014009,-0.000031,0.019860,0.205451,1.369675,4.891697,6.278792
0.020000,0.018411,-0.000053,0.024263,0.234801,1.467509,4.891697,6.277409
0.020000,0.023419,-0.000086,0.029272,0.266108,1.565343,4.891697,6.275834
0.020000,0.029074,-0.000133,0.034927,0.299372,1.663177,4.891697,6.274055
0.020000,0.035413,-0.000197,0.041266,0.334592,1.761011,4.891697,6.272058
0.020000,0.042477,-0.000283,0.048330,0.371769,1.858845,4.891697,6.269831
0.020000,0.050283,-0.000397,0.056137,0.408946,1.858845,-0.000000,6.267367
0.020000,0.058832,-0.000544,0.064688,0.446123,1.858845,-0.000000,6.264665
0.020000,0.068125,-0.000730,0.073982,0.483300,1.858845,0.000000,6.261723
0.020000,0.078160,-0.000961,0.084020,0.520477,1.858845,-0.000000,6.258542
0.020000,0.088938,-0.001245,0.094801,0.557653,1.858845,-0.000000,6.255121
0.020000,0.100457,-0.001590,0.106326,0.594830,1.858845,0.000000,6.251458
0.020000,0.112719,-0.002003,0.118594,0.632007,1.858845,0.000000,6.247553
0.020000,0.125721,-0.002493,0.131606,0.669184,1.858845,-0.000000,6.243405
0.020000,0.139464,-0.003071,0.145362,0.706361,1.858845,0.000000,6.239013
0.020000,0.153948,-0.003744,0.159861,0.743538,1.858845,0.000000,6.234376
0.020000,0.169170,-0.004525,0.175103,0.780715,1.858845,-0.000000,6.229493
0.020000,0.185131,-0.005424,0.191089,0.817892,1.858845,0.000000,6.224365
0.020000,0.201829,-0.006452,0.207819,0.855069,1.858845,-0.000000,6.218990
0.020000,0.219263,-0.007622,0.225292,0.892245,1.858845,0.000000,6.213369
0.020000,0.237431,-0.008946,0.243509,0.929422,1.858845,0.000000,6.207500
0.020000,0.256333,-0.010438,0.262469,0.966599,1.858845,0.000000,6.201385
0.020000,0.275965,-0.012110,0.282173,1.003776,1.858845,-0.000000,6.195023
0.020000,0.296327,-0.013978,0.302620,1.040953,1.858845,0.000000,6.188415
0.020000,0.317416,-0.016055,0.323811,1.078130,1.858845,-0.000000,6.181561
0.020000,0.339229,-0.018358,0.345745,1.115307,1.858845,0.000000,6.174463
0.020000,0.361764,-0.020902,0.368423,1.152484,1.858845,0.000000,6.167122
0.020000,0.385017,-0.023702,0.391844,1.189661,1.858845,0.000000,6.159539
0.020000,0.408985,-0.026776,0.416009,1.226838,1.858845,0.000000,6.151718
0.020000,0.433666,-0.030141,0.440918,1.264014,1.858845,0.000000,6.143660
0.020000,0.459053,-0.033814,0.466570,1.301191,1.858845,-0.000000,6.135369
0.020000,0.485144,-0.037812,0.492966,1.338368,1.858845,0.000000,6.126848
0.020000,0.511933,-0.042155,0.520105,1.375545,1.858845,0.000000,6.118102
0.020000,0.539416,-0.046860,0.547987,1.412722,1.858845,0.000000,6.109135
0.020000,0.567587,-0.051947,0.576614,1.449899,1.858845,0.000000,6.099952
0.020000,0.596439,-0.057434,0.605983,1.487076,1.858845,0.000000,6.090560
0.020000,0.625967,-0.063341,0.636097,1.524253,1.858845,-0.000000,6.080965
0.020000,0.656164,-0.069686,0.666954,1.561430,1.858845,0.000000,6.071175
0.020000,0.687024,-0.076490,0.698554,1.598607,1.858845,0.000000,6.061197
0.020000,0.718537,-0.083771,0.730898,1.635783,1.858845,0.000000,6.051041
0.020000,0.750697,-0.091550,0.763985,1.672960,1.858845,-0.000000,6.040715
0.020000,0.783495,-0.099845,0.797816,1.710137,1.858845,0.000000,6.030231
0.020000,0.816923,-0.108676,0.832391,1.747314,1.858845,-0.000000,6.019598
0.020000,0.850971,-0.118061,0.867709,1.784491,1.858845,0.000000,6.008830
0.020000,0.885629,-0.128020,0.903770,1.821668,1.858845,0.000000,5.997939
0.020000,0.920890,-0.138572,0.940575,1.858845,1.858845,0.000000,5.986937
0.020000,0.956741,-0.149733,0.978124,1.896022,1.858845,0.000000,5.975839
0.020000,0.993173,-0.161522,1.016416,1.933199,1.858845,0.000000,5.964660
0.020000,1.030176,-0.173955,1.055452,1.970375,1.858845,0.000000,5.953414
0.020000,1.067738,-0.187049,1.095231,2.007552,1.858845,-0.000000,5.942118
0.020000,1.105848,-0.200820,1.135754,2.044729,1.858845,0.000000,5.930789
0.020000,1.144497,-0.215284,1.177021,2.081906,1.858845,0.000000,5.919442
0.020000,1.183672,-0.230453,1.219030,2.119083,1.858845,-0.000000,5.908096
0.020000,1.223363,-0.246341,1.261784,2.156260,1.858845,0.000000,5.896768
0.020000,1.263559,-0.262962,1.305281,2.193437,1.858845,0.000000,5.885478
0.020000,1.304250,-0.280326,1.349521,2.230614,1.858845,0.000000,5.874242
0.020000,1.345423,-0.298445,1.394505,2.267791,1.858845,0.000000,5.863079
0.020000,1.387070,-0.317327,1.440233,2.304968,1.858845,0.000000,5.852009
0.020000,1.429180,-0.336981,1.486704,2.342144,1.858845,0.000000,5.841051
0.020000,1.471744,-0.357414,1.533919,2.379321,1.858845,0.000000,5.830222
0.020000,1.514752,-0.378633,1.581877,2.416498,1.858845,0.000000,5.819543
0.020000,1.558197,-0.400643,1.630579,2.453675,1.858845,0.000000,5.809031
0.020000,1.602069,-0.423447,1.680024,2.490852,1.858845,0.000000,5.798705
0.020000,1.646362,-0.447048,1.730213,2.528029,1.858845,0.000000,5.788584
0.020000,1.691070,-0.471447,1.781145,2.565206,1.858845,-0.000000,5.778686
0.020000,1.736185,-0.496645,1.832821,2.602383,1.858845,0.000000,5.769028
0.020000,1.781705,-0.522641,1.885240,2.639560,1.858845,-0.000000,5.759628
0.020000,1.827623,-0.549432,1.938403,2.676736,1.858845,0.000000,5.750503
0.020000,1.873938,-0.577014,1.992310,2.713913,1.858845,0.000000,5.741671
0.020000,1.920648,-0.605384,2.046960,2.751090,1.858845,0.000000,5.733147
0.020000,1.967751,-0.634534,2.102353,2.788267,1.858845,0.000000,5.724949
0.020000,2.015248,-0.664458,2.158491,2.825444,1.858845,0.000000,5.717093
0.020000,2.063139,-0.695147,2.215371,2.862621,1.858845,0.000000,5.709594
0.020000,2.111428,-0.726591,2.272995,2.899798,1.858845,0.000000,5.702467
0.020000,2.160118,-0.758779,2.331363,2.936975,1.858845,0.000000,5.695729
0.020000,2.209214,-0.791699,2.390474,2.974152,1.858845,0.000000,5.689395
0.020000,2.258722,-0.825336,2.450329,3.011329,1.858845,0.000000,5.683479
0.020000,2.308651,-0.859677,2.510928,3.048505,1.858845,-0.000000,5.677997
0.020000,2.359008,-0.894705,2.572269,3.085682,1.858845,0.000000,5.672964
0.020000,2.409806,-0.930401,2.634355,3.122859,1.858845,0.000000,5.668396
0.020000,2.461055,-0.966747,2.697184,3.160036,1.858845,0.000000,5.664309
