dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.001904,-1.039998,0.000008,0.000779,0.038966,1.948283,0.001831
0.020000,0.001894,-1.039998,0.000018,0.000508,-0.013578,-2.627199,0.001821
0.020000,0.001871,-1.039998,0.000041,0.001142,0.031734,2.265627,0.001799
0.020000,0.001830,-1.039998,0.000081,0.002031,0.044428,0.634692,0.001760
0.020000,0.001767,-1.039998,0.000145,0.003173,0.057122,0.634704,0.001699
0.020000,0.001676,-1.039999,0.000236,0.004570,0.069817,0.634724,0.001611
0.020000,0.001551,-1.039999,0.000361,0.006220,0.082512,0.634754,0.001492
0.020000,0.001389,-1.039999,0.000523,0.008124,0.095208,0.634794,0.001335
0.020000,0.001183,-1.039999,0.000729,0.010282,0.107905,0.634847,0.001138
0.020000,0.000929,-1.040000,0.000983,0.012694,0.120603,0.634913,0.000893
0.020000,0.000622,-1.040000,0.001290,0.015360,0.133303,0.634993,0.000598
0.020000,0.000256,-1.040000,0.001656,0.018280,0.146004,0.635087,0.000246
0.020000,0.000358,-1.040000,0.001757,0.005063,-0.660871,-40.343748,6.283019
0.020000,0.001388,-1.040000,0.002787,0.051498,2.321735,149.130280,6.282540
0.020000,0.002569,-1.040002,0.003969,0.059094,0.379828,-97.095346,6.281991
0.020000,0.003914,-1.040004,0.005313,0.067206,0.405603,1.288754,6.281365
0.020000,0.005432,-1.040007,0.006831,0.075899,0.434611,1.450385,6.280659
0.020000,0.007132,-1.040012,0.008532,0.085044,0.457275,1.133181,6.279867
0.020000,0.009027,-1.040019,0.010427,0.094748,0.485190,1.395776,6.278984
0.020000,0.011126,-1.040029,0.012526,0.104948,0.510009,1.240968,6.278005
0.020000,0.013440,-1.040042,0.014839,0.115689,0.537067,1.352873,6.276925
0.020000,0.015978,-1.040059,0.017377,0.126908,0.560916,1.192452,6.275739
0.020000,0.018747,-1.040082,0.020146,0.138430,0.576109,0.759671,6.274444
0.020000,0.021745,-1.040110,0.023144,0.149910,0.574006,-0.105155,6.273041
0.020000,0.024972,-1.040145,0.026372,0.161376,0.573276,-0.036524,6.271528
0.020000,0.028428,-1.040188,0.029828,0.172834,0.572947,-0.016421,6.269906
0.020000,0.032114,-1.040241,0.033514,0.184284,0.572495,-0.022607,6.268175
0.020000,0.036028,-1.040303,0.037429,0.195723,0.571924,-0.028552,6.266334
0.020000,0.040170,-1.040377,0.041572,0.207148,0.571239,-0.034235,6.264383
