dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000079,0.007878,0.393877,19.693848,2.933832
0.020000,36.820000,19.450000,0.000394,0.023633,0.787754,19.693848,2.933751
0.020000,36.820000,19.450000,0.001103,0.047265,1.181631,19.693848,2.933571
0.020000,36.820000,19.450000,0.002363,0.078775,1.575508,19.693848,2.933250
0.020000,36.820000,19.450000,0.004333,0.118163,1.969385,19.693848,2.932749
0.020000,36.819469,19.450113,0.007169,0.165428,2.363262,19.693848,2.932028
0.020000,36.815694,19.450918,0.011029,0.220571,2.757139,19.693848,2.931048
0.020000,36.810764,19.451975,0.016070,0.283591,3.151016,19.693848,2.929771
0.020000,36.804527,19.453321,0.022451,0.354489,3.544893,19.693848,2.928159
0.020000,36.796830,19.454997,0.030329,0.433265,3.938770,19.693848,2.926175
0.020000,36.787521,19.457046,0.039860,0.519918,4.332647,19.693848,2.923784
0.020000,36.776449,19.459513,0.051204,0.614448,4.726524,19.693848,2.920951
0.020000,36.763463,19.462448,0.064517,0.716856,5.120401,19.693848,2.917646
0.020000,36.748415,19.465906,0.079957,0.827142,5.514278,19.693848,2.913838
0.020000,36.731158,19.469945,0.097681,0.945305,5.908155,19.693848,2.909500
0.020000,36.711543,19.474632,0.117848,1.071345,6.302032,19.693848,2.904609
0.020000,36.689428,19.480037,0.140614,1.205264,6.695908,19.693848,2.899145
0.020000,36.664670,19.486240,0.166137,1.347059,7.089785,19.693848,2.893092
0.020000,36.637129,19.493326,0.194575,1.496732,7.483662,19.693848,2.886438
0.020000,36.606669,19.501390,0.226085,1.654283,7.877539,19.693848,2.879178
0.020000,36.573154,19.510534,0.260825,1.819712,8.271416,19.693848,2.871312
0.020000,36.536454,19.520870,0.298953,1.993017,8.665293,19.693848,2.862847
0.020000,36.496443,19.532518,0.340625,2.174201,9.059170,19.693848,2.853797
0.020000,36.452998,19.545607,0.385999,2.363262,9.453047,19.693848,2.844184
0.020000,36.405999,19.560275,0.435234,2.560200,9.846924,19.693848,2.834039
