dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,36.820000,19.450000,0.000079,0.007878,0.393877,19.693848,2.933832
0.020000,36.820000,19.450000,0.000079,0.000000,-0.393877,-39.387697,2.933751
0.020000,36.820000,19.450000,0.000079,0.000000,0.000000,19.693848,2.933571
0.020000,36.820000,19.450000,0.000079,0.000000,0.000000,0.000000,2.933250
0.020000,36.820000,19.450000,0.000079,0.000000,0.000000,0.000000,2.932749
0.020000,36.819469,19.450113,0.000622,0.027144,1.357182,67.859089,2.932028
0.020000,36.815694,19.450918,0.004482,0.193000,8.292819,346.781857,2.931048
0.020000,36.810764,19.451975,0.009523,0.252081,2.954056,-266.938156,2.929771
0.020000,36.804527,19.453321,0.015904,0.319040,3.347949,19.694666,2.928159
0.020000,36.796830,19.454997,0.023782,0.393877,3.741830,19.694020,2.926175
0.020000,36.787521,19.457046,0.033313,0.476591,4.135698,19.693417,2.923784
0.020000,36.776449,19.459513,0.044657,0.567182,4.529589,19.694569,2.920951
0.020000,36.763463,19.462448,0.057970,0.665651,4.923451,19.693066,2.917646
0.020000,36.748415,19.465906,0.073410,0.771998,5.317343,19.694609,2.913838
0.020000,36.731158,19.469945,0.091135,0.886222,5.711175,19.691595,2.909500
0.020000,36.711543,19.474632,0.111301,1.008324,6.105095,19.696000,2.904609
0.020000,36.689428,19.480037,0.134067,1.138303,6.498941,19.692302,2.899145
0.020000,36.664670,19.486240,0.159590,1.276160,6.892861,19.696024,2.893092
0.020000,36.637129,19.493326,0.188028,1.421891,7.286581,19.686008,2.886438
0.020000,36.606669,19.501390,0.219538,1.575505,7.680690,19.705428,2.879178
0.020000,36.573154,19.510534,0.254278,1.736991,8.074287,19.679843,2.871312
0.020000,36.536454,19.520870,0.292405,1.906360,8.468463,19.708792,2.862847
0.020000,36.496443,19.532518,0.334077,2.083599,8.861954,19.674572,2.853797
0.020000,36.452998,19.545607,0.379452,2.268723,9.256197,19.712148,2.844184
0.020000,36.405999,19.560275,0.428686,2.461718,9.649764,19.678348,2.834039
0.020000,36.355333,19.576667,0.481938,2.662595,10.043832,19.703380,2.823402
0.020000,36.300889,19.594936,0.539365,2.871349,10.437702,19.693520,2.812322
0.020000,36.242564,19.615243,0.601124,3.087976,10.831358,19.682799,2.800858
0.020000,36.180255,19.637753,0.667374,3.312486,11.225478,19.706023,2.789081
0.020000,36.113867,19.662633,0.738272,3.544877,11.619575,19.704845,2.777069
0.020000,36.043305,19.690055,0.813974,3.785129,12.012561,19.649295,2.764915
0.020000,35.968479,19.720188,0.894640,4.033275,12.407315,19.737696,2.752719
0.020000,35.889300,19.753200,0.980426,4.289298,12.801174,19.692926,2.740594
0.020000,35.805676,19.789252,1.071489,4.553186,13.194362,19.659436,2.728661
0.020000,35.717517,19.828497,1.167989,4.824969,13.589180,19.740871,2.717055
0.020000,35.624728,19.871075,1.270081,5.104621,13.982583,19.670142,2.705919
0.020000,35.527204,19.917110,1.377924,5.392149,14.376420,19.691868,2.695406
0.020000,35.424835,19.966707,1.491675,5.687560,14.770536,19.705793,2.685682
0.020000,35.317565,20.019909,1.611414,5.986916,14.967803,9.863381,2.676930
0.020000,35.205392,20.076690,1.737139,6.286259,14.967135,-0.033401,2.669345
0.020000,35.088362,20.136950,1.868772,6.581675,14.770830,-9.815264,2.663135
0.020000,34.966561,20.200504,2.006157,6.869210,14.376730,-19.705017,2.658513
0.020000,34.840050,20.267118,2.149134,7.148866,13.982814,-19.695794,2.655694
0.020000,34.708855,20.336503,2.297547,7.420644,13.588878,-19.696772,2.654901
0.020000,34.572971,20.408312,2.451238,7.684541,13.194866,-19.700629,2.656366
0.020000,34.432361,20.482133,2.610049,7.940556,12.800763,-19.705127,2.660332
0.020000,34.286952,20.557487,2.773823,8.188689,12.406624,-19.706944,2.667062
0.020000,34.136644,20.633817,2.942401,8.428933,12.012218,-19.720317,2.676837
0.020000,33.981306,20.710481,3.115627,8.661296,11.618141,-19.703869,2.689964
0.020000,33.820785,20.786741,3.293342,8.885760,11.223194,-19.747349,2.706773
0.020000,33.654911,20.861754,3.475389,9.102334,10.828681,-19.725623,2.727619
0.020000,33.483514,20.934560,3.661609,9.311003,10.433466,-19.760787,2.752873
0.020000,33.306433,21.004072,3.851844,9.511772,10.038447,-19.750952,2.782910
0.020000,33.123547,21.069070,4.045937,9.704626,9.642708,-19.786905,2.818084
0.020000,32.934802,21.128203,4.243728,9.889569,9.247154,-19.777708,2.858687
0.020000,32.740247,21.180001,4.445060,10.066594,8.851266,-19.794423,2.904902
0.020000,32.540081,21.222909,4.649774,10.235711,8.455841,-19.771254,2.956728
0.020000,32.334687,21.255346,4.857713,10.396933,8.061082,-19.737919,3.013908
0.020000,32.124674,21.275781,5.068718,10.550260,7.666375,-19.735348,3.075865
